,회사명,거래소코드,회계년도,누적수익성비율,TMD,abs(영업현금흐름-당기순이익)/매출액,순운전자본비율,금융비용부담률,WW지수
0,(주)CMG제약,58820,2022,0.042202007,0.094793245,0.064795552,53.07,-2.37,-53.75923864
1,(주)ES큐브,50120,2022,0.133634608,0.196123446,1.039274603,26.91,0.16,-43.8331915
2,(주)가비아,79940,2022,0.324818162,0.91490333,0.119567308,35.69,-0.19,-63.82798058
3,(주)가온칩스,399720,2022,0.284062803,0.115193543,0.034648323,55.5,-1.13,-50.42784774
4,(주)강스템바이오텍,217730,2022,-1.702414632,0.303477293,0.08048586,32.51,-2.8,-47.5179471
5,(주)강원에너지,114190,2022,-0.059830173,0.226728641,0.102899972,4.22,0.68,-48.56255523
6,(주)고려시멘트,198440,2022,0.281577393,0.365630762,0.077304914,21.84,-0.18,-49.903132
7,(주)고바이오랩,348150,2022,-1.202089889,0.148903896,0.588488713,75.47,-3.89,-60.25600034
8,(주)고영테크놀러지,98460,2022,0.702989129,0.098831536,0.036250726,58.26,-0.32,-62.6777332
9,(주)골드앤에스,35290,2022,-3.114790877,0.017443468,0.598798609,65.47,2.05,-41.03164823
10,(주)골드퍼시픽,38530,2022,-0.361504511,0.423729211,0.340257965,42.72,0.64,-57.94721541
11,(주)골프존,215000,2022,0.516971204,0.305657782,0.036221041,25.36,0,-67.20531248
12,(주)골프존뉴딘홀딩스,121440,2022,0.373420934,1.641893155,0.143280376,0.77,1.38,-65.25964873
13,(주)공구우먼,366030,2022,0.553909934,0.014724264,0.013938351,69.2,-1.12,-55.33049017
14,(주)광림,14200,2022,-0.216923663,1.273658488,0.177858202,15.14,4.62,-54.05346617
15,(주)광무,29480,2022,-0.051775366,0.499374418,0.355237085,44.56,6,-59.92480593
16,(주)구영테크,53270,2022,0.193315842,2.662192335,0.066150513,-13.23,1.54,-60.74954812
17,(주)국보디자인,66620,2022,0.61741035,1.045030675,0.007336385,22.59,-0.3,-58.68493685
18,(주)국순당,43650,2022,0.79842109,0.162439438,0.112210027,35.17,-0.95,-59.93616651
19,(주)국영지앤엠,6050,2022,0.243768234,0.348963932,0.094545512,22.86,0.18,-47.31597703
20,(주)국전약품,307750,2022,0.123943763,0.319463304,0.143629895,36.82,0.74,-52.86678269
21,(주)그래디언트,35080,2022,0.229227422,3.821693848,0.088994897,21.51,-0.07,-68.26644628
22,(주)그리티,204020,2022,0.392725588,0.334590423,0.007294782,60.11,-0.27,-55.7944218
23,(주)그린플러스,186230,2022,0.035763489,0.406055073,0.146216584,16.35,1.7,-49.68888448
24,(주)글로벌스탠다드테크놀로지,83450,2022,0.719601638,0.276425601,0.051520227,53.85,-0.23,-60.86534411
25,(주)금화피에스시,36190,2022,0.7272825,0.593327536,0.075857265,37.26,-1.03,-59.12740682
26,(주)기가레인,49080,2022,-0.109224095,0.25910349,0.17322662,29.64,1.84,-48.24176809
27,(주)기산텔레콤,35460,2022,-0.190116724,0.819800832,0.109360943,39.77,0.82,-48.53560561
28,(주)까스텔바작,308100,2022,0.076734776,1.582512855,0.120156733,11.6,2.32,-48.810017
30,(주)나노,187790,2022,-0.20923847,1.601069127,0.271910785,0.77,1.71,-48.49995504
31,(주)나노브릭,286750,2022,-0.941214103,0.663531257,0.18251856,-2.66,10.92,-42.39197384
32,(주)나노신소재,121600,2022,0.360145209,0.01768192,0.00299079,70.78,-1.99,-59.70796744
33,(주)나노엔텍,39860,2022,0.368648956,0.035284076,0.095991591,56.46,-1.02,-47.95097041
34,(주)나래나노텍,137080,2022,0.141885734,0.981152577,0.223273512,4.74,1.27,-56.20149928
35,(주)나무가,190510,2022,0.085834128,0.340963727,0.087924551,21.97,0.18,-56.7258341
36,(주)나스미디어,89600,2022,0.301558805,1.045863353,0.045297059,33.59,-1.51,-60.16701867
37,(주)나이벡,138610,2022,-0.52551726,0.203525039,0.425796031,40.81,11.05,-51.0798419
38,(주)나이스디앤비,130580,2022,0.676764739,0.191347613,0.027757891,48.16,-1.08,-57.88183384
39,(주)나인테크,267320,2022,-0.034406146,0.996523428,0.060246797,2.65,2.51,-52.59728794
40,(주)내츄럴엔도텍,168330,2022,-1.019643799,0.031287721,0.440756935,26.73,0.27,-44.81955434
41,(주)네오리진,94860,2022,-0.311064112,0.158217236,0.009429848,36.02,0.9,-48.84275464
42,(주)네오셈,253590,2022,0.326649492,0.52962208,0.04388467,27.03,2.13,-61.20887544
43,(주)네오오토,212560,2022,0.518864388,1.113425145,0.113848349,9.19,0.09,-58.96309509
44,(주)네오위즈,95660,2022,0.680242534,0.124462947,0.101956431,29.68,-0.3,-58.45358343
