,거래소코드,시가총액
0,091990,9178054.676
1,247540,9007503.7824
2,066970,6249177.826
3,293490,3673874.0651
4,028300,3307631.2476
5,263750,2694694.11725
6,086520,2596628.146
7,253450,2585030.828
8,068760,2522262.0606
9,035900,2406729.9576
10,058470,2370188.535
11,035760,2295982.4238
12,278280,2183000.0
13,048260,2058214.2276
14,196170,1970587.215
15,041510,1825805.2267
16,357780,1694949.5314
17,145020,1670797.8795
18,237690,1647648.69
19,034230,1601759.2096
20,005290,1539864.0953
21,214370,1472865.3
22,096530,1420547.0368
23,393890,1359654.5013
24,056190,1307078.864
25,240810,1214826.54975
26,365340,1213266.6603
27,214150,1191891.3168
28,032190,1185385.0
29,064760,1104455.0
30,298380,1099128.922
31,078600,1099122.103
32,141080,1092804.44985
33,048410,1087306.1992
34,403870,1085501.625
35,195940,1070911.68795
36,100090,1070023.7412
37,112040,1066294.1511
38,032500,1055253.3995
39,067630,1024879.126
40,025900,1004116.5841
41,000250,997240.1958
42,137400,985830.9333
43,213420,970899.0989
44,007390,955216.629
45,022100,950217.05625
46,215200,944205.648
47,003100,885060.0
48,098460,875348.12625
49,003380,856843.00065
50,225570,851606.1673
51,086900,848000.128
52,222800,842542.08235
53,121600,840745.8075
54,200130,836082.6914
55,348370,831727.769
56,039030,820482.03
57,122870,818020.39065
58,067160,817277.9337
59,095660,814145.91705
60,140860,791361.1401
61,090460,773725.30855
62,078340,766838.632
63,064550,758822.5554
64,144510,744986.2196
65,119860,742171.7688
66,030190,740720.804
67,086450,738036.0
68,299900,737648.31225
69,085660,731488.134
70,215600,716983.86125
71,215000,707866.812
72,214450,706823.907
73,383310,694078.6662
74,376300,679237.3728
75,053800,667924.1285
76,194480,662516.7939
77,178320,657661.235
78,166090,645912.4398
79,039200,633292.8825
80,036540,632349.865035
81,052020,626425.81645
82,189300,624489.492
83,074600,615139.2
84,950160,612432.5445
85,272290,609807.4374
86,287410,607471.50144
87,218410,601355.4433
88,084850,594161.8708
89,046890,588884.54
90,016790,581131.4932
91,277810,578216.82685
92,025980,577345.05868
93,101490,565245.62845
94,222080,556621.308
95,095340,545473.41585
96,182400,545019.9623
97,069080,538490.981
98,060250,538152.1874
99,290650,524020.9821
100,085370,520983.6305
101,323990,519865.45
102,036930,511441.6472
103,101670,511433.7379
104,030960,509762.0
105,084370,507590.3303
106,230240,499093.962
107,036830,498944.5328
108,290670,497638.2
109,348210,496340.1989
110,068240,492179.3698
111,217270,487309.515
112,043150,487219.5968
113,205470,483222.27375
114,049070,477300.0
115,091700,477237.5334
116,082270,472316.7786
117,095700,470211.1634
118,235980,469045.46375
119,230360,467718.01905
120,006730,467493.7167
121,095500,465149.985
122,298540,464701.7592
