회사명,거래소코드,회계년도,자산(*)(요약)(IFRS)(백만원),이익잉여금(결손금)(요약)(IFRS)(백만원),자산(*)(요약)(IFRS연결)(백만원),이익잉여금(결손금)(요약)(IFRS연결)(백만원),순운전자본비율(IFRS),순운전자본비율(IFRS연결),부채(*)(요약)(IFRS)(백만원),부채(*)(요약)(IFRS연결)(백만원),금융비용부담률(IFRS),금융비용부담률(IFRS연결),영업활동으로 인한 현금흐름(간접법)(*)(요약)(IFRS)(백만원),당기순이익(손실)(요약)(IFRS)(백만원),매출액(수익)(요약)(IFRS)(백만원),영업활동으로 인한 현금흐름(간접법)(*)(요약)(IFRS연결)(백만원),당기순이익(손실)(요약)(IFRS연결)(백만원),매출액(수익)(요약)(IFRS연결)(백만원)
(주)CMG제약,058820,2022/12,213260,9000,,,53.07,,28307,,-2.37,,4938,-388,82197,,,
(주)ES큐브,050120,2022/12,77328,-13384,121705,16264,9.57,26.91,6250,11306,0.14,0.16,4303,5705,52850,-53485,24683,75214
(주)가비아,079940,2022/12,138893,61687,368323,119638,9.49,35.69,69460,125696,-1.15,-0.19,23885,7352,77419,70190,41595,239154
(주)가온칩스,399720,2022/12,73187,20844,73181,20788,54.99,55.5,18740,18792,-1.13,-1.13,5962,4475,43321,5920,4419,43321
(주)강스템바이오텍,217730,2022/12,68851,-136387,80592,-137201,56,32.51,17418,33331,-14.53,-2.8,-18436,-19765,5915,-18864,-20176,16301
(주)강원에너지,114190,2022/12,53999,-6919,84439,-5052,31.18,4.22,23548,52121,0.15,0.68,-3038,1589,68799,-3889,3456,71380
(주)고려시멘트,198440,2022/12,137163,38622,,,21.84,,27829,,-0.18,,-13165,-7761,69905,,,
(주)고바이오랩,348150,2022/12,108743,-145278,123930,-148975,59.74,75.47,23803,28475,-15.27,-3.89,-357,-14755,7476,-16556,-23386,11606
(주)고영테크놀러지,098460,2022/12,383013,276916,391686,275351,61.23,58.26,77093,86512,-0.39,-0.32,25900,35505,241870,29302,39284,275360
(주)골드앤에스,035290,2022/12,17606,-58236,18721,-58312,70.13,65.47,2964,4169,2.05,2.05,-572,-6254,9489,-572,-6254,9489
(주)골드퍼시픽,038530,2022/12,82411,-29814,82472,-29814,41.94,42.72,15613,15674,0.64,0.64,4267,-7665,33658,3784,-7665,33648
(주)골프존,215000,2022/12,517542,297014,589528,304769,21.54,25.36,155239,216365,-0.11,0,117004,113019,566684,133925,111558,617514
(주)골프존뉴딘홀딩스,121440,2022/12,786859,376941,1008824,376716,1.95,0.77,105865,323534,0.56,1.38,13955,88462,101004,17981,88010,488755
(주)공구우먼,366030,2022/12,63198,35006,,,69.2,,3901,,-1.12,,10510,11328,58687,,,
(주)광림,014200,2022/12,229511,-12327,278084,-60323,18.52,15.14,56320,116107,0.63,4.62,3357,-78527,156106,10028,-26781,206957
(주)광무,029480,2022/12,135976,-7251,135972,-7040,47.15,44.56,55880,55876,5.95,6,-34662,-7441,78141,-35153,-7366,78221
(주)구영테크,053270,2022/12,154122,32487,240120,46419,-3.94,-13.23,88440,156694,2.16,1.54,8019,2971,116247,22115,3976,274208
(주)국보디자인,066620,2022/12,244675,149060,273481,168850,16.93,22.59,119073,127755,-0.27,-0.3,28221,19277,334734,23644,20868,378388
(주)국순당,043650,2022/12,239922,197048,253846,202676,31.27,35.17,18055,19494,-0.9,-0.95,3553,1889,71300,3804,-4569,74619
(주)국영지앤엠,006050,2022/12,66153,16126,,,22.86,,18144,,0.18,,-4155,1858,63599,,,
(주)국전약품,307750,2022/12,194229,24315,196097,24305,37.53,36.82,102582,103774,0.72,0.74,-5775,8681,103720,-6019,8877,103711
(주)그래디언트,035080,2022/12,571913,418471,1769400,405595,37,21.51,13705,887158,-34.12,-0.07,-68287,245283,8766,19831,338864,3584846
(주)그리티,204020,2022/12,73706,31850,88502,34757,61.33,60.11,8430,20156,-0.37,-0.27,-2005,1026,139574,795,1839,143116
(주)그린플러스,186230,2022/12,89217,3533,105974,3790,17.41,16.35,28816,45254,-0.38,1.7,12031,-2978,78522,8620,-3517,83007
(주)글로벌스탠다드테크놀로지,083450,2022/12,217365,158666,251831,181218,53.75,53.85,43118,50483,-0.28,-0.23,27176,44114,297240,31484,47602,312848
(주)금화피에스시,036190,2022/12,342876,269321,400011,290921,22.67,37.26,67559,102349,-2.79,-1.03,4253,27415,221256,8939,27778,248348
(주)기가레인,049080,2022/12,88278,-7578,91738,-10020,31.73,29.64,25256,30791,0.66,1.84,-971,-6729,57073,1162,-8318,54726
(주)기산텔레콤,035460,2022/12,39068,-19634,74449,-14154,35,39.77,9421,34776,-0.36,0.82,472,1096,24016,-3773,3642,67803
(주)까스텔바작,308100,2022/12,120956,15107,118877,9122,11.72,11.6,54091,57975,2.25,2.32,-318,-6020,59556,-1843,-9264,61761
(주)꿈비,407400,2022/12,16022,5524,15964,5446,19.25,19.13,7884,7903,0.6,0.6,-3343,1318,26911,-3332,1319,27182
(주)나노,187790,2022/12,56959,-18020,69925,-14631,5.49,0.77,35124,45216,1.79,1.71,5405,-8616,51916,5890,-12275,66805
(주)나노브릭,286750,2022/12,28147,-26471,28136,-26482,-4.4,-2.66,17992,17992,10.93,10.92,-1084,-2609,7139,-1096,-2399,7139
(주)나노신소재,121600,2022/12,213881,77778,213761,76985,67.77,70.78,14112,14866,-2.06,-1.99,20369,19007,77628,19419,19180,79912
(주)나노엔텍,039860,2022/12,66846,24230,63277,23327,59.08,56.46,4843,5628,-1.14,-1.02,7665,4609,32556,8044,4665,35201
(주)나래나노텍,137080,2022/12,185334,26213,185445,26312,4.55,4.74,77500,77476,1.27,1.27,-17092,2443,88004,-17135,2522,88040
