회사명,거래소코드,회계년도,proba,target_3,정리
(주)ES큐브,50120,2019,91.63916324,0,TMD
(주)ES큐브,50120,2021,96.71140229,0,TMD
(주)강스템바이오텍,217730,2019,92.25340359,0,바이오
(주)골드앤에스,35290,2019,99.99996953,0,1예측
(주)골드앤에스,35290,2020,99.6039632,1,1
(주)골드퍼시픽,38530,2016,99.88966186,0,주가조작
(주)골드퍼시픽,38530,2019,99.31724277,0,주가조작
(주)골프존뉴딘홀딩스,121440,2015,99.4060596,0,"자회사편입, 일시적Proba증가"
(주)광무,29480,2013,92.51723784,0,관리종목
(주)내츄럴엔도텍,168330,2018,94.85683944,0,바이오
(주)내츄럴엔도텍,168330,2019,97.20379116,0,바이오
(주)넵튠,217270,2021,98.85299222,0,적자합병
(주)노블엠앤비,106520,2020,98.90080688,0,거래정지(불성실공시)
(주)녹원씨엔아이,65560,2016,99.98649923,0,상폐기업
(주)녹원씨엔아이,65560,2021,95.03364117,0,상폐기업
(주)다우데이타,32190,2012,99.99978516,0,주가조작
(주)다우데이타,32190,2013,98.908398,0,주가조작
(주)다우데이타,32190,2016,96.08861276,0,주가조작
(주)다우데이타,32190,2017,99.99520738,0,주가조작
(주)다우데이타,32190,2018,99.99999995,0,주가조작
(주)다우데이타,32190,2019,100,0,주가조작
(주)다우데이타,32190,2020,100,0,주가조작
(주)다우데이타,32190,2021,100,0,주가조작
(주)드림티엔터테인먼트,220110,2018,98.38234586,1,1
(주)디아크,78590,2020,98.23448146,0,거래정지(감사의견거절)
(주)디아크,78590,2021,99.99986936,0,거래정지(감사의견거절)
(주)디에스앤엘,141020,2020,100,0,거래정지(감사의견거절)
(주)디에스앤엘,141020,2021,100,1,1
(주)디와이디,219550,2021,99.9989123,0,관리종목
(주)렉스엘이앤지,4790,2012,98.86684525,1,1
(주)렉스엘이앤지,4790,2013,99.92065511,1,1
(주)리드,197210,2019,99.99993682,1,1
(주)마이스코,88700,2012,99.61149687,1,1
(주)마이크로디지탈,305090,2020,95.22264122,0,바이오
(주)모다,149940,2018,100,1,1
(주)모다,149940,2019,99.99999997,1,1
(주)모두투어네트워크,80160,2021,98.72026531,0,여행사(코로나)
(주)모린스,110310,2013,99.99874034,1,1
(주)모베이스전자,12860,2019,97.05526406,0,3년연속적자
(주)무궁화인포메이션테크놀로지,38340,2017,92.47050594,0,상장폐지실질검사
(주)무궁화인포메이션테크놀로지,38340,2020,93.12638353,0,1예측
(주)무궁화인포메이션테크놀로지,38340,2021,99.83843557,1,1
(주)미래SCI,28040,2014,95.4023738,0,불성실공시법인
(주)미래SCI,28040,2019,99.7642056,1,1
(주)바른손,18700,2015,90.22376406,0,관리종목
(주)바른손이앤에이,35620,2012,90.38095207,0,관리종목
(주)바른손이앤에이,35620,2013,90.50211644,0,관리종목
(주)바른손이앤에이,35620,2014,99.99999998,0,관리종목
(주)바른손이앤에이,35620,2018,99.47425092,0,관리종목
(주)베스파,299910,2021,99.99160562,1,1
(주)블레이드엔터테인먼트,44480,2020,91.75924468,0,관리종목
(주)비덴트,121800,2021,100,0,2023년상장폐지(불성실공시)
(주)비츠로시스,54220,2019,100,1,1
(주)삼우이엠씨,26250,2012,99.99299096,1,1
(주)상지카일룸,42940,2016,97.65732407,0,3년연속적자
(주)상지카일룸,42940,2018,93.02363142,0,관리종목
(주)상지카일룸,42940,2021,91.18273493,0,불성실공시법인
(주)서남,294630,2021,98.38544309,0,불성실공시법인
(주)서진오토모티브,122690,2018,98.24322989,0,관리종목
(주)서진오토모티브,122690,2019,99.61985904,0,관리종목
(주)서진오토모티브,122690,2020,93.49943456,0,관리종목
(주)세토피아,222810,2019,99.94319149,0,불성실공시법인
(주)셀루메드,49180,2016,99.94533119,0,관리종목
(주)셀루메드,49180,2019,94.4652883,0,상장폐지실질검사
(주)셀리버리,268600,2019,99.78029721,0,바이오
(주)셀리버리,268600,2020,99.62939786,0,상장폐지실질검사
(주)스킨앤스킨,159910,2020,99.47887367,0,상장폐지실질검사
(주)스틸플라워,87220,2017,99.51052134,1,1
(주)승화프리텍,111610,2012,98.65648739,0,1예측
(주)승화프리텍,111610,2014,99.99794368,1,1
(주)시너지이노베이션,48870,2015,99.99999662,1,1
(주)시스웍,269620,2021,95.145267,0,상장폐지실질검사
(주)신테카바이오,226330,2021,100,0,바이오
(주)싸이토젠,217330,2021,100,0,거래정지(불성실공시)
(주)아라온테크,41060,2012,91.84494809,1,1
(주)아리온테크놀로지,58220,2020,99.99974195,1,1
(주)아미노로직스,74430,2012,98.48936483,0,바이오
(주)아미노로직스,74430,2013,99.65150825,0,바이오
(주)아스타,246720,2019,99.99999428,0,바이오
(주)아스타,246720,2020,99.99964842,0,바이오
(주)아스타,246720,2021,90.88304997,0,바이오
(주)아이씨디,40910,2014,92.84775247,0,급격한적자
(주)아이앤씨테크놀로지,52860,2015,92.35959595,0,관리종목
(주)아이엠텍,226350,2018,99.36032276,0,1예측
