,번호,회사명,거래소코드,회계년도,공시제목
625,35,디패션,30420,2010,상장폐지기업
633,27,지앤알,43630,2010,상장폐지기업
632,28,유니텍전자,39040,2010,상장폐지기업
631,29,세븐코스프,17160,2010,상장폐지기업
630,30,맥스브로,88810,2010,상장폐지기업
629,31,넥서스투자,19430,2010,상장폐지기업
628,32,지노시스템,33850,2010,상장폐지기업
627,33,콜마파마,38710,2010,상장폐지기업
626,34,나이스메탈,72530,2010,상장폐지기업
589,71,더체인지,54120,2010,상장폐지기업
624,36,훈영,17170,2010,상장폐지기업
623,37,티엘씨레저,14590,2010,상장폐지기업
620,40,에듀패스,31950,2010,상장폐지기업
619,41,헤파호프,39350,2010,상장폐지기업
618,42,에코솔루션,52510,2010,상장폐지기업
617,43,다산리츠,105380,2010,상장폐지기업
616,44,글로웍스,34600,2010,상장폐지기업
613,47,이룸지엔지,50640,2010,상장폐지기업
594,66,아시아미디어홀딩스,52810,2010,상장폐지기업
595,65,네프로아이티,950030,2010,상장폐지기업
597,63,클라스타,37550,2010,상장폐지기업
598,62,대양글로벌,40180,2010,상장폐지기업
599,61,제일저축은행,24100,2010,상장폐지기업
600,60,제일창투,26540,2010,상장폐지기업
634,26,뉴젠아이씨티,54150,2010,상장폐지기업
601,59,토자이홀딩스,37700,2010,상장폐지기업
603,57,에코페트로시스템,42870,2010,상장폐지기업
607,53,히스토스템,36840,2010,상장폐지기업
609,51,케이에스알,66340,2010,상장폐지기업
610,50,세계투어,47600,2010,상장폐지기업
602,58,선팩테크,54010,2010,상장폐지기업
635,25,엔빅스,54170,2010,상장폐지기업
636,24,오라바이오틱스,16160,2010,상장폐지기업
637,23,알티전자,32290,2010,상장폐지기업
592,68,네스테크,37540,2010,상장폐지기업
586,74,그린기술투자,25340,2010,상장폐지기업
587,73,알덱스,25970,2010,상장폐지기업
657,3,네이쳐글로벌,88020,2010,상장폐지기업
655,5,세실,84450,2010,상장폐지기업
654,6,에스브이에이치,46240,2010,상장폐지기업
652,8,핸디소프트,32380,2010,상장폐지기업
647,13,경윤하이드로,19120,2010,상장폐지기업
585,75,엘앤피아너스,61140,2010,상장폐지기업
645,15,스톰이앤에프,43680,2010,상장폐지기업
646,14,중앙디자인,30030,2010,상장폐지기업
638,22,포휴먼,49690,2010,상장폐지기업
639,21,한와이어리스,37020,2010,상장폐지기업
640,20,제이콤,60750,2010,상장폐지기업
590,70,에스티씨라이프,26220,2010,상장폐지기업
642,18,셀런,13240,2010,상장폐지기업
643,17,엠엔에프씨,48640,2010,상장폐지기업
644,16,대선조선,31990,2010,상장폐지기업
641,19,봉신,5350,2010,상장폐지기업
556,104,블루젬디앤씨,53040,2011,상장폐지기업
553,107,JH코오스,65310,2011,상장폐지기업
552,108,평안물산,37240,2011,상장폐지기업
551,109,케이비물산,8540,2011,상장폐지기업
549,111,허메스홀딩스,12400,2011,상장폐지기업
547,113,한림창투,21060,2011,상장폐지기업
545,115,엔스퍼트,98400,2011,상장폐지기업
544,116,한국저축은행,25610,2011,상장폐지기업
543,117,솔로몬저축은행,7800,2011,상장폐지기업
542,118,디에이치패션,45260,2011,상장폐지기업
550,110,클루넷,67130,2011,상장폐지기업
546,114,그린손해보험,470,2011,상장폐지기업
540,120,배명금속,11800,2011,상장폐지기업
541,119,금강제강,105070,2011,상장폐지기업
514,146,중앙건설,15110,2011,상장폐지기업
515,145,알에스넷,46430,2011,상장폐지기업
516,144,큐리어스,45050,2011,상장폐지기업
517,143,넷웨이브,47730,2011,상장폐지기업
518,142,어울림 네트,42820,2011,상장폐지기업
526,134,진흥저축은행,7200,2011,상장폐지기업
527,133,서울저축은행,16560,2011,상장폐지기업
529,131,인스프리트,73130,2011,상장폐지기업
531,129,SSCP,71660,2011,상장폐지기업
532,128,유아이에너지,50050,2011,상장폐지기업
533,127,성융광전투자,900150,2011,상장폐지기업
534,126,무한투자,34510,2011,상장폐지기업
535,125,연합과기,900030,2011,상장폐지기업
537,123,어울림엘시스,33280,2011,상장폐지기업
538,122,어울림정보,38320,2011,상장폐지기업
539,121,엔케이바이오,19260,2011,상장폐지기업
558,102,아인스M&M,40740,2011,상장폐지기업
559,101,폴리플러스,65610,2011,상장폐지기업
578,82,씨티엘테크,88960,2011,상장폐지기업
561,99,비앤비성원,15200,2011,상장폐지기업
560,100,보광티에스,66690,2011,상장폐지기업
0,1,대한해운,5880,2011,회생절차개시결정
582,78,지앤디윈텍,61050,2011,상장폐지기업
581,79,에이원마이크로,37380,2011,상장폐지기업
13,14,범양건영,2410,2011,회생절차개시결정
566,94,코아에스앤아이,52350,2011,상장폐지기업
572,88,대국,42340,2011,상장폐지기업
570,90,아이스테이션,56010,2011,상장폐지기업
569,91,엘앤씨피,15390,2011,상장폐지기업
568,92,평산,89480,2011,상장폐지기업
562,98,에이프로테크놀로지,45470,2011,상장폐지기업
567,93,미주제강,2670,2011,상장폐지기업
