848,시간,회사명,종목코드,공시제목,제출인
847,2021-12-31 17:54,동양,001520,관리종목지정(동양3우선주(신형)),유가증권시장본부
846,2021-12-31 17:53,SK네트웍스,001740,관리종목지정(SK네트웍스1우선주),유가증권시장본부
845,2021-12-31 17:49,신원,009270,관리종목지정(신원1우선주),유가증권시장본부
844,2021-12-31 17:49,현대비앤지스틸,004560,관리종목지정(현대비앤지스틸1우선주),유가증권시장본부
843,2021-12-31 17:49,KG스틸,016380,관리종목지정(KG동부제철1우선주),유가증권시장본부
842,2021-12-31 14:47,KODEX MSCI EM선물(H),291890,ETF 관리종목 지정,유가증권시장본부
841,2021-12-27 19:06,CNT85,056730,"관리종목지정사유일부해제(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정 사유 해소)",코스닥시장본부
840,2021-12-17 18:11,태성,323280,관리종목지정(SPAC 상장예비심사청구서 미제출 등),코스닥시장본부
839,2021-12-17 18:09,케이비제18호스팩,323940,관리종목지정(SPAC 상장예비심사청구서 미제출 등),코스닥시장본부
838,2021-12-14 17:44,에스에이치엔엘,050320,관리종목지정사유일부해제(회생절차 개시신청 사유 해소),코스닥시장본부
837,2021-12-09 16:54,에스에이치엔엘,050320,관리종목지정사유추가(회생절차 개시신청),코스닥시장본부
836,2021-12-06 17:20,코센,009730,관리종목지정사유일부해제(회생절차 개시신청 사유 해소),코스닥시장본부
835,2021-12-03 17:57,현진소재,053660,관리종목지정사유추가(회생절차 개시신청 ),코스닥시장본부
834,2021-12-03 17:29,에스에이치엔엘,050320,관리종목지정사유일부해제(회생절차 개시신청 사유 해소),코스닥시장본부
833,2021-11-30 18:43,에이치엔티,176440,관리종목지정사유추가(상장적격성 실질심사 대상 결정),코스닥시장본부
832,2021-11-30 18:02,디에스앤엘,141020,관리종목지정사유추가(자본잠식률 50% 이상 등),코스닥시장본부
831,2021-11-30 17:58,에스엠벡셀,010580,관리종목지정사유변경,유가증권시장본부
830,2021-11-29 18:16,에스에이치엔엘,050320,관리종목지정사유추가(회생절차 개시신청),코스닥시장본부
829,2021-11-25 17:27,비츠로시스,054220,"관리종목지정사유추가(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정)",코스닥시장본부
828,2021-11-24 18:38,유안타제4호스팩,313750,관리종목지정사유추가(상장폐지사유 발생),코스닥시장본부
827,2021-11-24 18:11,한화에스비아이스팩,317320,관리종목지정사유추가(상장폐지사유 발생),코스닥시장본부
826,2021-11-18 19:01,아리온,058220,관리종목지정사유일부해제(회생절차 개시신청 사유 해소),코스닥시장본부
825,2021-11-18 18:54,휴엠앤씨,263920,관리종목지정사유추가(상장폐지사유 발생),코스닥시장본부
824,2021-11-16 18:40,좋은사람들,033340,관리종목지정사유추가(회생절차 개시신청),코스닥시장본부
823,2021-11-16 18:14,나노캠텍,091970,관리종목지정(상장적격성 실질심사 대상 결정),코스닥시장본부
822,2021-11-15 20:23,매직마이크로,127160,관리종목지정사유추가(분기보고서 미제출),코스닥시장본부
821,2021-11-15 17:58,현진소재,053660,관리종목지정사유일부해제(회생절차 개시신청 사유 해소),코스닥시장본부
820,2021-11-11 17:48,오리엔트바이오,002630,관리종목지정해제,유가증권시장본부
819,2021-11-10 18:09,멜파스,096640,관리종목지정(파산신청),코스닥시장본부
818,2021-11-08 17:36,GRT,900290,관리종목 해제(상장폐지 사유 해소),코스닥시장본부
817,2021-10-26 17:47,GV,045890,관리종목지정사유추가(회생절차 개시신청),코스닥시장본부
816,2021-10-25 17:51,멜파스,096640,관리종목 해제(파산신청 사유 해소),코스닥시장본부
815,2021-10-25 14:12,좋은사람들,033340,관리종목지정사유일부해제(회생절차 개시신청 사유 해소),코스닥시장본부
814,2021-10-22 18:15,케이비17호스팩,317030,관리종목지정사유추가(상장폐지사유 발생 ),코스닥시장본부
813,2021-10-22 18:11,참존글로벌,158310,관리종목지정사유추가(상장폐지사유 발생),코스닥시장본부
812,2021-10-22 18:06,유안타제4호스팩,313750,관리종목지정(SPAC 상장예비심사청구서 미제출 등),코스닥시장본부
811,2021-10-22 18:02,협진,138360,관리종목지정사유추가(상장폐지사유 발생),코스닥시장본부
810,2021-10-22 17:43,한화에스비아이스팩,317320,관리종목지정(SPAC 상장예비심사청구서 미제출 등),코스닥시장본부
809,2021-10-21 18:08,연이비앤티,090740,관리종목지정(상장적격성 실질심사 대상 결정),코스닥시장본부
808,2021-10-21 17:00,테크엘,064520,관리종목지정사유일부해제(주식분산기준미달 사유 해소),코스닥시장본부
