,회사명,거래소코드,회계년도,누적수익성비율,TMD,abs(영업현금흐름-당기순이익)/매출액,순운전자본비율,금융비용부담률,WW지수,target_3,Z,proba,정리
5,(주)CMG제약,58820,2017,-0.031012704,0.017107794,0.021354969,64.2,-2.72,-51.86792567,0,-6.343530241,0.175499937,0
6,(주)CMG제약,58820,2018,0.020187096,0.02254859,0.103840369,63.71,-1.01,-51.38647897,0,-5.975702463,0.253328358,0
7,(주)CMG제약,58820,2019,0.026294846,0.020472917,0.003889258,73.49,-1.86,-53.06978234,0,-6.761921151,0.115566715,0
8,(주)CMG제약,58820,2020,0.028860132,0.017719295,0.042336333,67.74,-1.27,-50.99262812,0,-6.159511665,0.210882846,0
9,(주)CMG제약,58820,2021,0.044137065,0.027169722,0.035465995,56.11,-2.54,-52.75582019,0,-6.419266703,0.162719887,0
12,(주)ES큐브,50120,2014,-0.030081961,0.137188143,0.078812416,71.03,-1.43,-48.27979198,0,-5.488340866,0.411767317,0
15,(주)ES큐브,50120,2017,0.235116912,0.385757717,0.016029766,44.7,1.01,-49.88781197,0,-5.523451698,0.397617174,0
20,(주)가비아,79940,2012,0.340090328,0.488742831,0.055113093,20.11,-5.46,-58.22561283,0,-7.102898258,0.082204071,0
21,(주)가비아,79940,2013,0.38017779,0.354285139,0.04679099,24.57,-3.97,-57.12801678,0,-7.024889271,0.088867556,0
22,(주)가비아,79940,2014,0.382296233,0.265066063,0.117751641,26.07,-0.32,-58.15419518,0,-6.833432578,0.107599534,0
23,(주)가비아,79940,2015,0.410355722,0.217439899,0.117055287,37.14,-0.42,-57.67251967,0,-7.003273685,0.090807628,0
24,(주)가비아,79940,2016,0.38397577,0.377553525,0.075289443,31.68,-0.36,-58.39126666,0,-7.005584272,0.090598241,0
25,(주)가비아,79940,2017,0.396339863,0.421448939,0.092713693,27.52,-0.28,-58.709914,0,-6.934345216,0.097281318,0
26,(주)가비아,79940,2018,0.39754756,0.4327369,0.050719346,31.87,-0.28,-58.14042095,0,-7.002000151,0.090923243,0
27,(주)가비아,79940,2019,0.353338402,0.579582702,0.106866163,21.9,0.03,-60.7982691,0,-6.998661267,0.091227055,0
28,(주)가비아,79940,2020,0.316008076,0.487779817,0.155763258,28.1,-0.29,-62.38483559,0,-7.293457359,0.067951102,0
29,(주)가비아,79940,2021,0.307306623,0.538319195,0.079419087,32,-0.04,-61.98899133,0,-7.413321526,0.060280035,0
