,회사명,거래소코드,회계년도,차입금의존도,부채비율,순운전자본비율,산업군,총자본정상영업이익률,자기자본순이익률,총자본순이익률,매출액총이익률,금융비용부담률,자본금회전률,유형자산회전율,자기자본회전률,타인자본회전률,총자본회전률,합계_기말인원(명),대주주지분율,유형자산증가율,매출액증가율,자기자본증가율,총자본증가율,정상영업이익증가율,누적수익성비율,현금흐름 대 자산,현금흐름 대 매출액,TMD,시총/총자산,EBIT/총자산,당기전기영업손익,FINDEP,WW지수,EBITDA마진율,target_1,target_2,target_3,abs(영업현금흐름-당기순이익)/매출액
0,(주)CMG제약,058820,2012,30.58,80.77,70.6,제조업,-9.96,-26.84,-15.78,28.34,2.53,0.59,1.71,0.66,0.93,0.39,134.0,30.29,-4.130613926658426,-8.432852636322668,75.17467006765,109.1485075993408,-757.1875,-0.917209497793654,-0.0275443020242347,-0.0967702245462934,0.2905801949626506,1.5376824297821672,-0.0963262590180009,-1783.0,2144.0950000000003,-46.24254257222829,-16.318794217163948,0,0,0,0.312949861581052
1,(주)CMG제약,058820,2013,2.53,14.11,58.5,제조업,1.4,0.74,0.52,38.7,1.65,0.53,2.03,0.51,1.26,0.36,136.0,26.8,16.09541205544214,25.51215010765918,55.097970941090814,-2.0925264411290887,118.80646695197336,-0.9336290308157316,-0.0704487328528249,-0.193069306930693,0.0856492707123412,1.443961853450897,0.0112853898020138,-1707.5,6667.3240000000005,-48.00865850505957,9.45902362513479,0,0,0,0.2075776884619155
2,(주)CMG제약,058820,2014,2.66,18.5,33.72,제조업,0.78,0.32,0.28,37.07,-0.65,0.53,1.54,0.46,2.85,0.4,164.0,26.8,74.3081906524757,11.523380060778356,0.0122456476927158,3.8542020639207344,-44.121365360303415,-0.9022869738926776,0.0124853619893917,0.0318639300312046,0.1147541165079688,1.3605376763794172,0.0007577323138389,616.5,8695.915,-46.75942694214216,8.398277150265898,0,0,0,0.024919790796818
3,(주)CMG제약,058820,2015,0.01,20.78,30.82,제조업,-4.49,-7.62,-6.37,36.26,-0.11,0.62,1.48,0.56,2.88,0.47,156.0,26.29,-5.373261123500053,18.850261503977496,-4.481358284186682,-2.6434525039608734,-681.9004524886877,-0.9978950347584596,0.0426299683370774,0.0891206271725464,0.0522041058607195,3.2955474650204306,-0.0650947234358693,-1065.0,-1735.567,-46.84059762043732,-2.517676207381111,0,0,0,0.2240958508986021
4,(주)ES큐브,050120,2012,0.33,16.11,38.68,도매 및 소매업,0.19,0.29,-0.78,28.02,-0.65,4.79,17.59,1.4,8.72,1.21,236.0,19.99,-26.240148354195643,4.8538778568752345,1.5644906487285326,-16.574436252861545,102.43835616438358,-0.002182273886176,0.112894861933365,0.0933519143842347,0.0800363596482819,1.7336876526511389,-0.0022038805583164,-1780.5,-4491.119,-47.71609712930752,8.504243268835648,0,0,0,0.0997659502242232
5,(주)ES큐브,050120,2014,4.74,14.07,71.03,도매 및 소매업,0.33,1.15,-1.19,21.42,-1.43,2.44,19.86,0.97,7.57,0.86,27.0,16.44,5.604042259990813,-24.125808488489174,17.12451618993675,20.09843438414867,114.67811158798284,-0.0300819614216067,0.0510315834098777,0.0649797570850202,0.1371881426456779,0.899247328658235,-0.0336324454179325,-497.0,-2837.36,-48.27979197973157,3.409761583445794,0,0,0,0.0788124156545209
6,(주)ES큐브,050120,2015,3.47,12.01,64.37,도매 및 소매업,-7.24,1.56,-4.11,27.8,-0.54,2.31,19.76,0.85,6.51,0.75,39.0,16.44,-14.39756415832971,-5.1889338731444,0.0523897799629241,-1.7522786688334628,-2474.2690058479534,0.0271125494426465,-0.0499460625674217,-0.065902782720091,0.1018579111256204,1.0530706262135925,-0.0643833153541891,-1944.5,3098.039,-46.15345381527865,6.389509643441747,0,0,0,0.0111735819514625
7,(주)ES큐브,050120,2017,27.01,45.42,44.7,도매 및 소매업,2.13,2.41,1.65,27.1,1.01,1.15,3.83,0.49,1.07,0.34,35.0,19.16,64.55266138165345,4.249176120621774,1.5635460834635124,0.6912946322445681,4.072188801480796,0.2351169115702791,0.0218241226910437,0.064650590275835,0.3857577172197081,0.8096961585388887,0.0227968118460318,2205.0,405.9699999999998,-49.88781197110197,8.063587534269569,0,0,0,0.0160297655681754
8,(주)ES큐브,050120,2018,31.99,58.92,6.62,도매 및 소매업,-1.11,-5.54,-5.61,22.89,2.29,0.81,2.52,0.47,0.9,0.31,30.0,19.16,30.781142463867862,-5.54467632742125,-2.8399961547440844,6.17515959657009,-153.84615384615387,0.1931851535608506,-0.0119895758287305,-0.0399241795995735,0.749590513495749,0.4945820998834841,-0.0660671878752301,519.0,1805.476,-50.01119398769137,4.4451486790664605,0,0,0,0.1413635825139201
9,(주)가비아,079940,2012,15.52,44.62,20.11,정보통신업,10.15,21.3,12.54,41.64,-5.46,10.6,2.3,1.28,3.24,0.92,211.0,25.25,70.81583818682559,30.695130490736013,21.12152221263305,31.239030698648275,-6.857352401906858,0.3400903278784679,0.155141063992023,0.1915056908685452,0.4887428309214364,0.6312333267640331,0.0892134436037304,7900.5,11981.644,-58.22561282553102,9.6255321613716,0,0,0,0.0551130933418286
10,(주)가비아,079940,2013,11.69,32.99,24.57,정보통신업,7.97,15.65,10.77,44.98,-3.97,10.6,1.89,1.11,2.89,0.8,228.0,25.26,-2.077496431780938,2.342958093197023,16.37967596912376,7.0221127338846845,-7.690288713910761,0.3801777904440376,0.1404456818406024,0.1812920934970852,0.354285138694975,0.7001778601571834,0.0970832282886299,7327.0,-7376.948,-57.12801677579227,10.348845435508515,0,0,0,0.0467909898692625
11,(주)가비아,079940,2014,9.13,30.51,26.07,정보통신업,8.83,8.18,7.12,43.71,-0.32,11.97,2.17,1.12,3.52,0.85,247.0,25.18,0.1376592528611531,13.803837229045222,10.072886297376094,8.015915642709166,19.178276940574357,0.3822962331547329,0.1646371164150024,0.2017107618858166,0.2650660629554974,0.881830362883585,0.0759660659197921,7708.5,-10189.44,-58.15419518320372,9.149654366421323,0,0,0,0.1177516411378555
12,(주)가비아,079940,2015,5.72,24.95,37.14,정보통신업,11.15,11.99,8.38,45.36,-0.42,13.54,2.48,1.15,4.16,0.9,262.0,25.18,-0.4905792608965201,13.945941913666202,11.37067938021454,6.634599772690372,35.38112847429321,0.4103557221979026,0.1832664014769418,0.2101277700793243,0.2174398985644707,0.9184201568299044,0.091071734454997,9866.0,-12726.17,-57.67251967100557,9.285142227411102,0,0,0,0.1170552870189527
13,(주)가비아,079940,2016,7.47,31.1,31.68,정보통신업,10.87,10.68,8.82,46.17,-0.36,15.1,2.55,1.14,4.02,0.89,268.0,24.51,17.07885256115069,11.489487064779755,14.098173515981737,19.71317637654403,10.5736188210415,0.3839757704873725,0.142062211340493,0.174898951839419,0.3775535248517512,0.6283806017631581,0.0854869353005238,11949.0,-4909.893,-58.391266664741146,7.814922831501581,0,0,0,0.0752894430362403
14,(주)가비아,079940,2017,7.2,33.52,27.52,정보통신업,9.81,8.88,7.46,48.1,-0.28,17.17,2.62,1.19,3.67,0.9,275.0,24.65,5.159409559946323,13.739613814971763,4.111430715357678,6.030350485305691,1.2989082795441869,0.3963398634008832,0.1532804030498639,0.1759193928651327,0.4214489389146864,0.5956865948434208,0.0790655480833389,12630.5,-11117.175,-58.70991400343598,6.264804075100243,0,0,0,0.0927136932316852
15,(주)가비아,079940,2018,7.83,32.62,31.87,정보통신업,12.77,12.58,10.77,48.92,-0.28,19.02,2.72,1.2,3.64,0.9,280.0,24.79,8.041450321217988,10.764253385878265,14.30473387589217,13.538456924795511,43.07740717432348,0.3975475597757542,0.1444126755634207,0.1698931079485426,0.4327369002635491,0.5684520720280506,0.1151999788696588,15450.0,-10995.013,-58.1404209543738,6.375458330743894,0,0,0,0.0507193462183829
16,(주)강스템바이오텍,217730,2018,23.79,53.83,39.53,제조업,-19.43,-37.79,-23.75,12.84,8.23,0.99,0.65,0.25,0.38,0.15,89.0,17.07,14.44553632171744,0.3503777510128107,94.35095171963074,55.075319392360015,0.3748509115692622,-0.7153728447686969,-0.1568024701478263,-1.2522640480087288,0.0564183342730272,6.202470511244091,-0.175191955624778,-11716.0,13085.345,-47.10785852661765,-106.67386797599563,0,0,0,0.3073649754500818
17,(주)강원에너지,114190,2012,13.56,147.2,30.82,제조업,13.01,24.85,10.05,19.75,-0.73,20.09,24.11,2.95,2.0,1.19,101.0,38.58,12.883435582822086,111.99649562949246,47.36756183168721,66.1572255626501,76.19119878603945,0.2877837280691926,-0.0352349369244213,-0.0295385597956251,1.1382862527573727,0.5231239776826727,0.1155638710255663,9100.5,4018.047,-60.60955154013201,11.26276638709132,0,0,0,0.1138338139023771
18,(주)강원에너지,114190,2013,4.35,57.9,48.31,제조업,4.0,9.57,4.85,23.18,-1.18,8.71,11.01,1.24,1.27,0.63,112.0,46.65,8.40126811594203,-52.41802932253853,27.054946272294227,-18.840888211700918,-72.14710188614245,0.3999944782650709,0.234342430391629,0.3350901087621641,0.9510800521677504,0.3855599913032675,0.0390524702861639,7422.5,-16173.901,-55.39032008620008,7.146365053986302,0,0,0,0.2576735555950336
19,(주)강원에너지,114190,2014,0.0,32.89,48.05,제조업,2.33,2.33,1.61,21.2,-1.44,7.61,6.96,1.07,2.39,0.74,147.0,53.04,108.9826613745561,1.618602080495845,9.957059092791596,-7.458483455501719,-49.721706864564005,0.4433157313762343,-0.2177869268176258,-0.2835997746741516,0.547717746260406,0.4518776665473313,0.004325904710761,2430.0,20833.148,-47.831665782233046,4.257493055690449,0,0,0,0.3054136477535401
20,(주)강원에너지,114190,2015,11.7,51.03,51.57,제조업,0.52,0.18,0.12,17.15,-0.49,6.06,3.6,0.82,1.6,0.54,133.0,52.87,28.42862854858057,-10.279520599832948,12.16968976112598,27.47546167845103,-72.50922509225092,0.3489123184759586,0.1111553178791673,0.2056550260884626,0.6595822061387375,0.5122599213639608,0.0007840200334671,1036.5,-5565.698,-49.76720296744328,3.1809521747602245,0,0,0,0.2034467080906709
21,(주)강원에너지,114190,2016,12.96,40.11,53.93,제조업,-1.61,-1.99,-1.38,16.59,-0.68,5.54,3.06,0.76,1.66,0.52,126.0,52.87,15.130759651307596,-8.44789885037563,-2.6420896366464017,-9.677381607124053,-393.2885906040268,0.3725627372485004,-0.2044903934600386,-0.3732589211814505,0.5287450102471204,0.5414551958231308,-0.0085506626763574,-432.0,18129.743,-46.41374222378207,-0.8749733960791733,0,0,0,0.3466550003547189
22,(주)강원에너지,114190,2017,11.78,92.91,36.89,제조업,-6.56,-12.58,-7.57,1.05,-0.08,10.76,5.44,1.59,2.45,0.96,137.0,52.4,4.056246619794483,93.99579066852696,-12.318248652181016,20.718514775804216,-326.3157894736842,0.2419429270543792,-0.0397836422369847,-0.0451880294996038,1.181567856343255,0.4076030511166679,-0.0865967653655866,-3450.0,4905.882,-52.48333688554438,-5.995879807399281,0,0,0,0.0334613274821722
23,(주)강원에너지,114190,2018,26.05,86.93,28.72,제조업,0.37,4.19,1.83,6.86,1.51,11.22,5.7,1.74,1.94,0.92,119.0,42.25,-4.028066528066528,4.71749862863412,3.9355733598327225,0.7158265274364395,106.10127035247808,0.2696651961724527,-0.1084009973786842,-0.1184215121354985,1.036496715164687,0.4486637154487138,0.0106664109285425,-2624.0,10223.768,-49.84122725912052,1.2208718933705838,0,0,0,0.1383155811652406
24,(주)고려시멘트,198440,2018,11.04,47.42,15.96,제조업,3.15,5.67,3.82,14.77,-0.49,27.47,1.77,1.05,2.16,0.7,112.0,72.05,1.828771841923968,-2.1492128678986995,11.779982944414296,10.05764484561882,27.17031146454606,0.2831648854842124,0.0135568501689705,0.020157153516135,0.4943606530892476,0.6506974148678423,0.0460964269192469,3428.0,2487.508,-57.21751599866863,7.381528632717776,0,0,0,0.0340071814959895
25,(주)고영테크놀러지,098460,2012,0.0,23.92,60.23,제조업,22.53,19.91,15.99,57.02,-0.55,24.54,7.05,1.41,5.78,1.13,202.0,18.9,3.3639143730886847,25.206952200717517,19.789437398560818,18.78721007746592,13.931247011317147,0.5813240188869108,0.110283303661274,0.105691660021142,0.0792929835537417,2.434506980029414,0.1861695951699047,20132.0,-9674.864,-60.04322831849952,20.699078281189145,0,0,0,0.0354592830251664
26,(주)고영테크놀러지,098460,2013,0.0,23.02,63.72,제조업,14.96,15.35,12.42,55.34,-0.54,24.99,7.37,1.23,5.26,1.0,224.0,18.46,-4.650115770517108,3.765694256412159,17.88827472092661,17.02918182521867,-21.778669029520124,0.5914495006283484,0.1098204246312586,0.1187010178458129,0.0904158950315691,2.069498398538263,0.1297456842383755,19108.0,-12770.406,-57.47670499814605,17.769764885659903,0,0,0,0.005808602092884
27,(주)고영테크놀러지,098460,2014,0.29,22.35,62.22,제조업,21.44,20.68,16.84,57.81,-0.45,25.52,8.21,1.33,5.89,1.09,284.0,18.09,34.63069139966273,27.64626506885428,17.814279902359644,17.17044778093789,67.8590592022894,0.6404177250917301,0.1806590460062094,0.1792425091010921,0.0450111208403296,4.057861295512278,0.1941151566469094,22464.0,-18346.341,-60.49162260353835,21.45081209745169,0,0,0,0.0244469336320358
28,(주)고영테크놀러지,098460,2015,0.17,20.83,63.47,제조업,15.6,18.99,15.66,61.0,-0.37,21.56,7.36,1.18,5.48,0.97,307.0,18.73,-1.2325266796933714,2.145057406888826,13.502827297448958,12.092859158904885,-16.711063754217722,0.6922093945536265,0.104300696219265,0.1135609715977629,0.0519477261164558,3.31810048061791,0.1520918052600435,25802.5,-14973.944,-59.29133617354309,20.180913477354974,0,0,0,0.0477163066125671
29,(주)고영테크놀러지,098460,2016,0.06,24.07,65.3,제조업,18.75,20.61,16.79,62.83,-0.25,25.16,7.89,1.19,5.27,0.97,315.0,18.16,20.945568913914677,17.744544357933982,19.61726855091424,22.82730488864269,41.50959488272921,0.6919398732068819,0.1498301054217639,0.1701747441703435,0.0612686281563372,3.166427935486185,0.1817846362001014,28317.0,-23791.636,-59.19500832846969,20.039716171694007,0,0,0,0.0028464323550298
30,(주)고영테크놀러지,098460,2017,0.0,27.21,62.9,제조업,21.86,16.76,13.36,64.65,-0.17,29.74,8.27,1.28,4.98,1.02,340.0,17.47,6.274641389145207,18.379570881404472,2.574586056921942,5.169100199363472,31.837632594021212,0.7635996822720472,0.0971750476348272,0.0980532922913521,0.0388719790097158,5.502204883361679,0.1660323478243919,38466.5,-17919.358,-56.42155047436326,24.14738726157871,0,0,0,0.0334023376227448
31,(주)고영테크놀러지,098460,2018,0.0,23.55,67.04,제조업,18.99,21.86,17.47,62.5,-0.47,34.81,8.15,1.23,4.91,0.98,408.0,21.04,30.70487015549767,17.131421209722227,40.01438162127984,35.98902571549704,5.106402432055591,0.6793832128689632,0.0779942592785038,0.0913693437275669,0.0471044670136265,4.046656647877331,0.1851364765157189,44866.0,-4956.008000000002,-63.16617562034256,21.08506395644161,0,0,0,0.0862477908055531
32,(주)골드퍼시픽,038530,2012,10.27,30.24,51.73,도매 및 소매업,2.54,1.14,0.89,30.08,0.33,0.92,1.12,0.47,1.67,0.37,70.0,16.75,-13.177755710029793,-6.638782593218831,5.029775538250115,8.69185411661935,-57.87949015063732,0.0620521063559038,-0.1521666331792914,-0.433133161757697,0.2421759187943463,0.958674891500904,0.0090081039448128,1226.5,5207.626,-42.97386247903341,29.39919931369745,0,0,0,0.4574397102278143
