,회사명,거래소코드,회계년도,차입금의존도,부채비율,순운전자본비율,산업군,총자본정상영업이익률,자기자본순이익률,총자본순이익률,매출액총이익률,금융비용부담률,자본금회전률,유형자산회전율,재고자산회전률,자기자본회전률,타인자본회전률,총자본회전률,외국인지분율,대주주지분율,유형자산증가율,매출액증가율,자기자본증가율,총자본증가율,정상영업이익증가율,업력,누적수익성비율,이자부담률,부채상환계수,현금흐름 대 자산,현금흐름 대 매출액,TMD,시총/총자산,EBIT/총자산,당기전기영업손익,FINDEP,EBITDA마진율,PBR변화율,ROA변화율,target_1,target_2,target_3,현금흐름/총부채비율,영업현금흐름-단기차입금,abs(영업현금흐름-당기순이익)/매출액
0,(주)DB하이텍,000990,2019,23.21,68.91,18.97,제조업,16.82,17.4,9.71,36.43,1.25,3.63,1.33,17.05,1.34,1.7,0.75,39.6,19.46,3.180213196780293,20.639673439626826,15.44774996776458,2.0961357068785427,60.44533732178101,66.0,0.3449788316542534,19.378418828762047,3.5432151425202294,0.147928624562628,0.1994981521297571,0.3625254015291879,1.1253671434212822,0.1432275069107072,147142.5,-71980.158,32.37672649538775,120.34026670537918,15.18386714116253,0.0,0.0,0.0,0.3625931086644801,130528.0,0.0699032469012256
1,(주)HJ중공업,097230,2020,40.01,585.57,1.5,건설업,2.21,27.71,3.36,7.69,2.96,4.07,2.8,6.39,6.0,0.83,0.73,20.92,16.14,-3.0919321039737158,4.117510902525924,30.61666816330196,-11.187941812517256,-38.41887427092403,13.0,-0.5551779857830167,1.2176372884874909,0.3374052535441527,0.1205430623263615,0.1559450765561102,3.074066894465455,0.2778523361480134,0.0178831326591775,67734.0,-260294.0,4.150039951291857,12.420967116622863,-71.45284621920136,0.0,0.0,0.0,0.1411285416350917,264454.0,0.1097454616216981
2,(주)HJ중공업,097230,2021,36.53,452.13,-0.04,건설업,-4.76,-37.18,-6.11,-1.2,2.36,4.1,2.25,10.86,4.54,0.89,0.75,20.08,66.85,54.92217722589239,0.6319675200419858,35.00029687221682,8.72350269274861,-311.1042243700246,14.0,-0.5696115604493643,-1.9124316534565335,-0.4558243379080774,-0.0463824124740696,-0.0648291388617383,2.9173374562606864,0.2806955870362513,-0.051420488370962,-28681.0,115540.0,-5.287917249720485,-18.64013034153939,-281.84523809523813,0.0,0.0,0.0,-0.0566410219784551,-110633.0,0.0171171709642714
3,(주)SH에너지화학,002360,2019,7.1,24.66,61.61,제조업,-2.55,-2.84,-2.51,4.73,-0.2,2.53,4.45,7.22,1.38,6.79,1.15,34.65,31.12,10.488300103185434,-23.282261885957983,-6.064085168562781,0.8012414750684036,-249.02427415516425,61.0,0.2948078044986063,0.7663076923076924,0.0274435261707989,0.1303072535165618,0.1141757719040418,0.2153914468808055,0.9184903464704738,-0.0312034096065339,-515.0,-10745.105,0.0707262181139201,-1.2866666666666704,-253.0487804878049,0.0,0.0,0.0,0.6586664482306684,12582.0,0.1361135368078777
4,(주)SH에너지화학,002360,2020,9.63,30.38,55.43,제조업,-6.52,-7.29,-5.77,1.16,-0.12,1.68,2.68,7.1,0.99,3.62,0.78,33.63,31.12,10.164487557992407,-33.55910062263494,-9.082828282828284,-4.9094120697478445,-150.78249760459917,62.0,0.2540368277989382,-22.572758620689655,-1.2374480151228735,0.0359075300152526,0.0450290647974012,0.2947088683911107,0.7907211717238852,-0.0774048416370561,-5491.5,1863.08,-4.896424602496154,-9.958984038020152,-129.8804780876494,0.0,0.0,0.0,0.1540880503144654,714.0,0.1192511540434262
5,(주)SH에너지화학,002360,2021,9.24,30.4,54.5,제조업,0.29,0.69,0.52,7.1,-0.07,2.51,3.95,12.76,1.54,5.06,1.18,32.81,31.06,-6.615073288120761,49.386647290135066,1.9231623855657276,1.935973141781061,104.36831380539992,63.0,0.2606475018599169,16.5578,0.389595294117647,-0.0316729221175467,-0.027102616557703,0.2579228286682675,0.9039038969647828,0.0052913591186083,-3754.5,3801.247,2.3687500894121687,14.328228618902122,109.01213171577122,0.0,0.0,0.0,-0.1358551452133381,-7289.0,0.031473083360753
6,(주)SIMPAC,009160,2019,18.96,53.93,10.26,제조업,1.64,2.17,1.39,10.41,0.35,13.15,1.39,4.34,0.98,1.77,0.63,8.61,60.01,-26.228622761529223,40.48133110785201,1.4164442697450537,-0.38210431667867,9.321950740849768,46.0,0.4122118071813719,6.153737939620292,0.1521294472485534,0.0551722310077656,0.087122313031145,1.234885531608653,0.2837238599947581,0.0172893604615207,10666.0,-14998.371,4.597221479474987,19.010996866000465,-89.32411674347158,0.0,0.0,0.0,0.1574700567346081,-89230.0,0.0650615575990792
7,(주)SIMPAC,009160,2020,19.63,58.9,14.13,제조업,1.1,7.54,4.82,10.3,0.6,11.18,1.49,3.33,0.81,1.43,0.52,7.83,59.99,-13.51059148432521,-14.93239708429729,5.16574303879237,8.559573346526372,-30.105017502917157,47.0,0.4210881105905777,6.064673434856176,0.1234151229254183,-0.0231161108835473,-0.0465830105804631,1.6910492569279507,0.2191994125960628,0.032084234169472,9464.0,20626.617,4.898311663108869,-20.248775581799396,246.7625899280576,0.0,0.0,0.0,-0.0623618693558538,-159243.0,0.1398938947092217
8,(주)SIMPAC,009160,2021,19.86,65.23,23.34,제조업,12.97,17.98,11.07,26.01,-0.09,18.74,2.73,4.06,1.21,1.95,0.75,8.06,59.99,-2.9483361331268942,67.55260849006322,17.81864107968775,22.508741614424952,1266.405547707718,48.0,0.4404669906889718,25.389789739276704,0.5006903986598924,0.0705767080367126,0.1039896380664031,0.8501771137521892,0.4643370985906137,0.121467400329927,57094.5,-59605.219,14.773810669594283,120.26579806243136,129.6680497925311,0.0,0.0,0.0,0.1787798646537677,-113553.0,0.0441850335963511
9,(주)SNT에너지,100840,2019,0.02,36.31,41.19,제조업,5.23,6.31,4.63,16.73,-0.49,56.84,1.73,20.9,0.87,2.4,0.64,2.54,55.93,6.506636250518458,52.90504314917286,5.914578252823467,18.82793816194055,1023.5729386892178,11.0,0.6061450087901359,1646.8939999999998,177.085376344086,-0.1199920933701111,-0.1878102631171863,0.5984005780987443,0.4451458916971401,0.0458015495796607,7791.0,42393.215,7.72004481383041,74.03780356886082,634.9206349206349,0.0,0.0,0.0,-0.4504620988959097,-40065.0,0.2602436634837596
