,회사명,거래소코드,회계년도,차입금의존도,부채비율,순운전자본비율,산업군,총자본정상영업이익률,자기자본순이익률,총자본순이익률,매출액총이익률,금융비용부담률,자본금회전률,유형자산회전율,재고자산회전률,자기자본회전률,타인자본회전률,총자본회전률,외국인지분율,대주주지분율,유형자산증가율,매출액증가율,자기자본증가율,총자본증가율,정상영업이익증가율,업력,누적수익성비율,이자부담률,부채상환계수,현금흐름 대 자산,현금흐름 대 매출액,TMD,시총/총자산,EBIT/총자산,당기전기영업손익,FINDEP,EBITDA마진율,PBR변화율,ROA변화율,target_1,target_2,target_3,현금흐름/총부채비율,영업현금흐름-단기차입금,abs(영업현금흐름-당기순이익)/매출액
0,(주)DB하이텍,000990,2012,58.88,298.0,-21.27,제조업,-1.33,-10.47,-2.66,16.38,7.81,2.7,0.82,7.56,1.97,0.67,0.5,7.45,37.29,-9.68675797402036,6.984585741811175,-5.573228765638086,-3.443493316342019,63.79606025492468,59.0,-0.4710806690534698,1.9181789748391336,0.1862306442566195,0.063810564411296,0.1250486639832358,3.086583624295243,0.2425801456784898,-0.011301182029013,-29386.0,-44923.428,16.298089325068638,-4.104437987110464,64.95388669301713,0.0,0.0,0.0,0.0852234842454739,68735.0,0.1780983300213613
1,(주)DB하이텍,000990,2013,62.73,416.9,-23.99,제조업,-0.87,-33.51,-7.49,18.08,11.47,2.22,0.75,6.51,1.99,0.57,0.45,7.07,37.29,-7.200144735325487,-16.424559823692505,-29.610887852234324,-8.582385737915189,38.477787735245165,60.0,-0.0599220326684253,1.3119492820555885,0.1749118835712286,0.0268152064641456,0.0574802734976263,2.5551066329468006,0.3156578800293275,-0.024898147378287,-12616.5,7911.722999999998,15.82171211458384,68.99963977644799,-181.57894736842104,0.0,0.0,0.0,0.0332472309593678,21929.0,0.2256760478944895
2,(주)DB하이텍,000990,2014,66.85,715.95,-13.08,제조업,4.46,-47.32,-7.54,24.11,11.58,2.55,0.92,8.02,3.49,0.66,0.56,3.72,37.4,-6.957581284195963,14.980395016121454,-41.05061121231508,-6.945914179245497,574.0401623140152,61.0,-0.1473808404501272,1.880659709390844,0.3803997787478323,0.0488162481203236,0.0846864112111999,4.220474519513076,0.2079016411998655,-0.0183728526506355,17974.5,-17540.415,22.41051190908162,3.96745729057237,-0.667556742323095,0.0,0.0,0.0,0.0556346291371876,40531.0,0.2203329822200458
3,(주)DB하이텍,000990,2016,42.8,188.6,9.6,제조업,17.49,29.65,8.96,37.51,4.85,3.47,1.43,9.68,2.59,1.12,0.78,13.46,19.06,2.73117755186255,15.983468222833954,34.582790476152994,0.2178452313729632,37.976618201313926,63.0,0.0665887033600901,6.419687324231733,1.40334013301291,0.2516363680584197,0.3211733967974752,0.9141290592765924,0.7148929799582281,0.1241085986973912,148698.5,-156057.027,32.477901803036964,-17.38259342414736,-30.38073038073037,0.0,0.0,0.0,0.3850568563325068,233058.0,0.2069068991385777
4,(주)DB하이텍,000990,2017,35.77,118.07,20.97,제조업,14.46,27.62,11.12,37.3,3.19,3.05,1.23,8.98,1.7,1.15,0.69,20.15,19.63,1.4361850717818665,-12.080865043847169,33.30662119754209,0.7257883904259168,-16.95374301157585,64.0,0.1793659848423111,8.979127185203952,3.3404079612931605,0.1842384584350737,0.2694037996992959,1.0107792360314862,0.535654155989581,0.1228913698965039,157811.5,-107232.836,31.28318410917148,-43.38488408511317,24.10714285714284,0.0,0.0,0.0,0.3402824103925835,171838.0,0.1073192906678749
5,(주)DB하이텍,000990,2018,28.6,91.0,21.24,제조업,10.97,17.12,8.43,32.17,1.93,3.01,1.16,11.35,1.32,1.28,0.65,28.31,19.77,7.560384256084325,-1.5386810800632007,22.50865514986902,7.302472657102816,-21.09151855860889,65.0,0.269027522798148,10.793443506376862,4.068277325148389,0.1690935310079191,0.2694601205177512,1.0548390425231438,0.4516730641498536,0.1025246265004209,128094.0,-70798.697,26.933655471036737,-26.14452926993545,-24.190647482014384,0.0,0.0,0.0,0.3549086672623007,164453.0,0.1397249876359485
6,(주)HJ중공업,097230,2012,56.24,283.85,-2.64,건설업,0.78,-2.95,-0.78,7.49,6.86,10.56,0.84,8.72,1.42,0.51,0.37,8.39,37.38,-7.7241596448238194,-11.834000288431708,-8.106283960986648,-6.417614556864885,-50.99375775649694,5.0,0.11246598947046,0.3287636495368214,0.0334469872070947,-0.0128154606168811,-0.0331033503457197,8.067478641120607,0.0916624582978554,0.0234194110850066,80444.0,152848.0,2.491920391288811,-26.670236389910585,41.35338345864662,0.0,0.0,0.0,-0.0173302527098349,-439039.0,0.0122295405165065
7,(주)HJ중공업,097230,2013,56.46,307.77,-7.42,건설업,-1.05,-11.28,-2.87,2.57,6.21,8.6,0.89,6.13,1.51,0.51,0.38,9.27,35.12,-3.213325613135366,-0.7836602637802488,-4.46034895623241,1.492552952555112,-231.4850512151793,6.0,0.0829370891580441,-0.430936170698051,-0.0286975398908145,-0.0480815168494858,-0.1270477171721804,6.041710259788822,0.1249257304201961,-0.0176882083149855,-8330.0,368092.0,-2.9879324298305368,44.78078371231369,-267.948717948718,0.0,0.0,0.0,-0.0637039509902206,-855372.0,0.0518530320743624
8,(주)HJ중공업,097230,2014,52.96,311.31,-3.02,건설업,-2.2,-18.64,-4.56,-0.67,6.13,5.88,0.91,4.01,1.57,0.51,0.38,2.96,32.82,-3.727771712307256,-0.3564564841197766,-4.022091546176383,-3.188432079042652,-108.39394026504156,7.0,0.0376236962705191,-0.4515878599674907,-0.0392587987722925,-0.0368354773917188,-0.0945655818198049,10.770853617165876,0.0702708299859789,-0.0237889094203592,-107281.0,285059.0,-2.9542221737275947,-43.26132913095822,-58.88501742160277,0.0,0.0,0.0,-0.0486677306742944,-727675.0,0.0243916955154593
9,(주)HJ중공업,097230,2015,51.58,332.17,-16.92,건설업,-1.28,-17.73,-4.21,3.56,4.7,6.09,1.15,4.07,2.12,0.66,0.5,2.78,32.87,1.179999267632578,23.61393867854344,-12.999181222013432,-8.587675595074343,45.25753855491489,8.0,-0.0037870455955285,-0.4275561726836657,-0.027872996044653,0.0435440078571178,0.0826670621122378,11.395745681913729,0.0674470831430568,-0.0261015173035978,-112179.0,-209598.0,-2.1743728801373017,0.84851367298005,7.675438596491221,0.0,0.0,0.0,0.0566529433917107,-402807.0,0.1664183897597571
10,(주)HJ중공업,097230,2016,59.62,487.19,-5.04,건설업,-1.42,-29.53,-5.99,2.12,4.42,5.4,1.09,3.63,2.49,0.63,0.5,7.64,31.69,-12.115353049922446,-9.700035917499529,-34.590808489619604,-11.12786803315233,0.0642560161270001,9.0,-0.1004157928219426,0.5548083438908694,0.0414366479681062,-0.0069938650773599,-0.013067706594921,12.22103695665236,0.0678910175014991,-0.0497060381275321,-79344.5,99722.0,2.6774171418252988,36.76531262160994,-42.28028503562946,0.0,0.0,0.0,-0.0084294041131493,-551326.0,0.1058138373445004
11,(주)HJ중공업,097230,2017,58.98,628.81,-34.12,건설업,-2.47,-37.73,-5.87,0.87,4.05,4.62,1.17,3.54,3.33,0.61,0.52,4.64,31.68,-25.44578902619411,-12.830509396357478,-35.52178716530586,-19.971771898371223,-47.11859705745155,10.0,-0.1838382277605365,0.9838208706133236,0.0426022930801686,0.0916312366951889,0.1571825630812367,10.33933764981543,0.0834472523846143,-0.0347116652066784,-98006.0,-354938.0,4.326933663470502,52.556225063247744,2.003338898163608,0.0,0.0,0.0,0.106203489943537,141672.0,0.2705359101648484
12,(주)MH에탄올,023150,2012,56.9,238.69,-23.53,제조업,4.06,1.01,0.21,17.97,7.51,13.56,0.81,3.94,1.45,0.64,0.45,0.13,54.6,-4.549198841442351,33.45539801272748,-7.005414020202967,0.1333760534100307,804.1459369817579,34.0,0.2835116753233224,1.480709472849782,0.1011132162286518,-0.0365067789799532,-0.082084058358988,4.893205889950917,0.1440254193145119,0.0437694402690756,3027.5,7801.396000000001,12.501104269843394,8.911771814387876,106.4814814814815,0.0,0.0,0.0,-0.0518013261815263,-73278.0,0.0868859590416276
13,(주)MH에탄올,023150,2013,57.67,182.66,-24.74,제조업,2.28,16.85,5.32,12.67,5.07,14.11,0.87,3.76,1.45,0.7,0.47,0.02,54.6,-1.9918710503605133,4.069067059295945,15.64594989666818,-3.4884586192014044,-44.79090242112986,35.0,0.3487409212169809,3.044467961728037,0.1498383230115015,0.0471402797267498,0.0982958199356913,4.004395604395604,0.1613748862742679,0.0325217042668352,4231.0,-3501.814,16.88162379421222,-6.492676756351677,2433.333333333333,0.0,0.0,0.0,0.0729489810528325,-58262.0,0.0146945337620578
14,(주)MH에탄올,023150,2014,34.38,62.03,-3.38,제조업,8.13,-0.38,-0.19,24.24,2.46,10.88,0.92,5.03,0.99,0.84,0.46,3.34,51.79,-48.75374586357245,-21.2475884244373,15.043804210434557,-34.05064071920924,190.531561461794,36.0,0.5225813994271351,6.153226221079692,0.3166982005821646,0.0603144911439761,0.1053201045239261,0.5965072273271795,0.6417984852984159,0.0688373180569357,5877.5,-2359.194,19.54601502531439,127.98700050846894,-103.57142857142858,0.0,0.0,0.0,0.1575459598118854,-23291.0,0.1094643148783276
15,(주)SH에너지화학,002360,2012,27.55,59.82,20.26,제조업,2.1,0.61,0.2,7.8,0.65,3.48,5.88,15.32,2.98,4.96,1.86,31.88,32.85,-1.309452137266707,11.974550975988546,-0.5533245455381502,-0.975064701893784,-47.599615938550166,54.0,0.0186131738836917,3.875685039370079,0.1905066377675426,-0.0082553766033368,-0.0044135086362464,0.3523813434292118,1.0621422165107532,0.0275147073006075,3174.5,3208.625,2.537829337458108,215.352517822795,-88.8888888888889,0.0,0.0,0.0,-0.0220567394161148,-24923.0,0.005501417891209
16,(주)SH에너지화학,002360,2013,25.33,58.75,21.65,제조업,6.0,7.35,4.3,7.74,0.52,4.16,7.15,17.73,3.45,5.82,2.17,31.62,31.12,-2.1961262772609427,19.573085846867748,7.271774479431575,6.557045038094319,194.27393495190103,55.0,0.0615988921974133,7.636341866226259,0.3222949848395079,0.0538515146304156,0.0256562834178481,0.5081976511765257,0.7282247148584926,0.0622686421272705,4303.5,-4416.745,3.987551312566836,-31.89492947845427,2049.9999999999995,0.0,0.0,0.0,0.1455123502078747,-21032.0,0.0057909896857428
