,회사명,거래소코드,회계년도,설립일,WW지수,WWC변수,부채,MWW지수,MK지수,SA지수,매출액증가율차분
0,(주)CMG제약,058820,2012,2001,-46.24254257222829,-46.24254257222829,100.0,-46.23886532910999,-46.23886532910999,-2.473789600859105,-22.192972215538077
1,(주)CMG제약,058820,2013,2001,-48.00865850505957,-48.00865850505957,0.0,-48.00865850505957,-48.00865850505957,-2.4381041328243493,22.15908229562983
2,(주)CMG제약,058820,2014,2001,-46.75942694214216,-46.75942694214216,1543.0,-46.70362512358461,-46.70362512358461,-2.3903613241114834,-8.307367263205439
3,(주)CMG제약,058820,2015,2001,-46.840597620437315,-46.840597620437315,6.0,-46.84037474176468,-46.84037474176468,-2.3558590438307783,-4.232536934773884
4,(주)CMG제약,058820,2016,2001,-50.74552462896719,-50.74552462896719,0.0,-50.74552462896719,-50.74552462896719,-2.158649781619227,8.104781098644667
5,(주)CMG제약,058820,2017,2001,-51.86792566602695,-51.86792566602695,0.0,-51.86792566602695,-51.86792566602695,-2.1219984578932976,23.411321599671908
6,(주)CMG제약,058820,2018,2001,-51.386478967341645,-51.386478967341645,0.0,-51.386478967341645,-51.386478967341645,-2.0707023082460476,13.837133359534034
7,(주)CMG제약,058820,2019,2001,-53.06978234043515,-53.06978234043515,0.0,-53.06978234043515,-53.06978234043515,-1.8816856562863762,5.688570166632942
8,(주)CMG제약,058820,2020,2001,-50.992628118213666,-50.992628118213666,0.0,-50.992628118213666,-50.992628118213666,-1.8367058438316126,-20.399475452042115
9,(주)CMG제약,058820,2021,2001,-52.75582019006427,-52.75582019006427,0.0,-52.75582019006427,-52.75582019006427,-1.7906744468445426,-6.555206219279405
10,(주)ES큐브,050120,2012,1977,-47.716097129307514,-47.716097129307514,154.0,-47.70910953153732,-47.70910953153732,-1.5549647624898182,-2.4811101809037104
11,(주)ES큐브,050120,2013,1977,-46.25384219276806,-46.25384219276806,153.0,-46.24702603595191,-46.24702603595191,-1.5115259367578529,-12.545870817814652
12,(주)ES큐브,050120,2014,1977,-48.27979197973157,-48.27979197973157,2685.0,-48.18019295478987,-48.18019295478987,-1.435574000150519,-19.161961997877423
13,(주)ES큐브,050120,2015,1977,-46.15345381527865,-46.15345381527865,1931.0,-46.08054658766269,-46.08054658766269,-1.399170116755713,-17.79811124632822
14,(주)ES큐브,050120,2016,1977,-49.86333337809768,-49.86333337809768,29800.0,-50.410473586341865,-49.83937103321107,-1.2126297531650718,-17.66027608092006
15,(주)ES큐브,050120,2017,1977,-49.88781197110197,-49.88781197110197,28600.0,-50.40739796437814,-49.86401413934887,-1.1708541488547257,-3.838028016349436
16,(주)ES큐브,050120,2018,1977,-50.01119398769137,-50.01119398769137,35468.0,-49.427166450802076,-49.38794239338019,-1.1152383030053339,-13.572431734738055
17,(주)ES큐브,050120,2019,1977,-58.6459258760791,-58.6459258760791,66609.0,-58.56984393780438,-58.457140013535216,-0.6157856626459839,18.032933194734085
18,(주)ES큐브,050120,2020,1977,-60.71630296418525,-60.71630296418525,2990.0,-60.7075197947466,-60.7075197947466,-0.4012617992353833,73.99366162451356
19,(주)ES큐브,050120,2021,1977,-61.645390859374096,-61.645390859374096,2545.0,-61.64045473482989,-61.64045473482989,-0.17856182509292373,35.99989711314128
20,(주)가비아,079940,2012,1999,-58.22561282553102,-1593452.0256128255,13228.0,-58.37603337805609,-58.13788803228801,-2.3047966541424167,28.96171926758774
21,(주)가비아,079940,2013,1999,-57.12801677579227,-1591628.1280167757,10667.0,-57.13568193346894,-57.009080230100565,-2.2483528476322268,-3.1325408619920196
22,(주)가비아,079940,2014,1999,-58.15419518320372,-1616429.1541951832,9000.0,-58.16165378037857,-58.06202823240001,-2.1891887457402883,8.707284149742714
23,(주)가비아,079940,2015,1999,-57.672519671005574,-2424623.4725196706,6010.0,-57.772241792777145,-57.662327630503874,-2.132832989524482,-0.25388166258791256
24,(주)가비아,079940,2016,1999,-58.391266664741146,-2424624.191266665,9400.0,-58.47473447398938,-58.35454082867192,-2.0451318563637924,1.1943216432950932
25,(주)가비아,079940,2017,1999,-58.70991400343598,-2424624.509914004,9600.0,-58.61230036451648,-58.58553533449017,-1.9890077235781172,1.3536238415958053
26,(주)가비아,079940,2018,1999,-58.140420954373795,-2424623.940420955,11860.0,-58.067897661474255,-58.021929264540795,-1.913031127104621,-10.681834624188111
27,(주)가비아,079940,2019,1999,-60.798269103541955,-3232815.1982691037,18108.0,-60.848879359849604,-60.72846728677891,-1.7895138976988567,3.439955601166669
28,(주)가비아,079940,2020,1999,-62.38483558563372,-4849193.984835585,36244.0,-62.538637720043866,-62.31538072552411,-1.6643432487436254,7.163550406643038
29,(주)가비아,079940,2021,1999,-61.988991329182966,-5711067.988991329,38404.0,-62.084967008980165,-61.9038775510355,-1.5721006774317647,4.426703780856572
30,(주)가온칩스,399720,2021,2012,-49.1118629361828,-49.1118629361828,1008.0,-49.169084572708634,-49.1118629361828,-2.634666967286156,78.14019552784089
31,(주)강스템바이오텍,217730,2016,2010,-42.93494113997412,-42.93494113997412,780.0,-42.94644992965415,-42.923432350294085,-2.7103128368671667,-57.04899764732401
32,(주)강스템바이오텍,217730,2017,2010,-79.26769171727848,-79.26769171727848,6170.0,-79.37224901722126,-79.18271110328241,-2.671282178044878,980.8227718882443
33,(주)강스템바이오텍,217730,2018,2010,-47.10785852661765,-47.10785852661765,17410.0,-46.86306797001464,-46.73570917011302,-2.5402834609632676,-5.864973481132662
