회사명,거래소코드,회계년도,당기순이익(손실)(요약)(IFRS)(백만원),당기순이익(손실)(요약)(IFRS연결)(백만원),자산(*)(요약)(IFRS)(백만원),자산(*)(요약)(IFRS연결)(백만원),부채(*)(요약)(IFRS)(백만원),부채(*)(요약)(IFRS연결)(백만원)
(주)CMG제약,058820,2011/12,-1264,-1508,27549,27305,9258,9271
(주)CMG제약,058820,2012/12,-6893,-6660,56989,57108,25386,25517
(주)CMG제약,058820,2013/12,335,296,55962,55913,6913,6915
(주)CMG제약,058820,2014/12,172,158,58127,58068,9060,9066
(주)CMG제약,058820,2015/12,-3649,-3650,56592,56533,9719,9726
(주)CMG제약,058820,2016/12,1693,1728,110980,110980,9872,9872
(주)CMG제약,058820,2017/12,2835,2835,109568,109568,11624,11624
(주)CMG제약,058820,2018/12,6065,6065,114380,114380,10398,10398
(주)CMG제약,058820,2019/12,3051,3051,192243,192243,12085,12085
(주)CMG제약,058820,2020/12,215,,195356,,14225,
(주)CMG제약,058820,2021/12,3165,,199175,,14472,
(주)ES큐브,050120,2011/12,-2933,-4796,45233,55477,6089,16231
(주)ES큐브,050120,2012/12,517,-359,44676,46282,4795,6422
(주)ES큐브,050120,2013/12,-14749,-16456,47510,47138,3797,4765
(주)ES큐브,050120,2014/12,-2412,-615,44914,56612,3688,6984
(주)ES큐브,050120,2015/12,3610,-2307,47124,55620,2251,5966
(주)ES큐브,050120,2016/12,17469,21541,104460,105165,34628,33469
(주)ES큐브,050120,2017/12,1219,1738,104850,105892,33452,33075
(주)ES큐브,050120,2018/12,-3836,-6121,108482,112431,41963,41682
(주)ES큐브,050120,2019/12,-12739,-13768,136065,463959,82079,389920
(주)ES큐브,050120,2020/12,-29081,-25292,81995,714890,9046,645392
(주)ES큐브,050120,2021/12,5695,5376,76173,1082732,10875,966877
(주)가비아,079940,2011/12,3262,7015,37296,64954,12997,16289
(주)가비아,079940,2012/12,5738,9419,51796,85245,20631,26299
(주)가비아,079940,2013/12,3787,9506,52152,91231,17329,22631
(주)가비아,079940,2014/12,3077,6753,55984,98544,17837,23034
(주)가비아,079940,2015/12,4288,8530,57657,105082,15187,20985
(주)가비아,079940,2016/12,3544,10178,61161,125797,15747,29845
(주)가비아,079940,2017/12,2494,9670,64986,133383,17323,33486
(주)가비아,079940,2018/12,2763,15341,69316,151441,19483,37253
(주)가비아,079940,2019/12,4655,21102,82965,199916,28881,64957
(주)가비아,079940,2020/12,4758,23752,98083,260025,39723,86822
(주)가비아,079940,2021/12,4413,24999,107497,302958,43753,98368
(주)가온칩스,399720,2018/12,,,,,,
(주)가온칩스,399720,2019/12,,,,,,
(주)가온칩스,399720,2020/12,1852,,25532,,14657,
(주)가온칩스,399720,2021/12,6183,,36993,,15131,
(주)강스템바이오텍,217730,2013/12,,,,,,
(주)강스템바이오텍,217730,2014/12,,,,,,
(주)강스템바이오텍,217730,2015/12,-5754,,24983,,3746,
(주)강스템바이오텍,217730,2016/12,-8300,,47442,,24465,
(주)강스템바이오텍,217730,2017/12,-10856,-11532,44509,47199,19841,22717
(주)강스템바이오텍,217730,2018/12,-13501,-14294,66185,73194,18240,25613
(주)강스템바이오텍,217730,2019/12,-25002,-26394,98626,113644,27781,44924
(주)강스템바이오텍,217730,2020/12,-19492,-19746,68097,82505,16666,33866
(주)강스템바이오텍,217730,2021/12,-20437,-21827,90180,103148,20041,37145
(주)강원에너지,114190,2011/11,5755,,53719,,29217,
(주)강원에너지,114190,2012/12,8975,,89258,,53150,
(주)강원에너지,114190,2013/12,3922,,72441,,26564,
(주)강원에너지,114190,2014/12,1123,,67038,,16592,
(주)강원에너지,114190,2015/12,886,102,80939,85457,26058,28874
(주)강원에너지,114190,2016/12,-762,-1125,70850,77187,17104,22098
(주)강원에너지,114190,2017/12,-6291,-6452,87781,93179,40664,44876
(주)강원에너지,114190,2018/12,1978,1709,89620,93846,40333,43642
(주)강원에너지,114190,2019/12,-33461,-35647,55106,56602,32202,35478
(주)강원에너지,114190,2020/12,-14039,-12875,32998,32969,15787,15872
(주)강원에너지,114190,2021/12,5796,,41538,,12945,
(주)고려시멘트,198440,2014/12,,,,,,
(주)고려시멘트,198440,2015/12,,,,,,
(주)고려시멘트,198440,2016/12,,,,,,
(주)고려시멘트,198440,2017/12,1004,,115882,,38488,
(주)고려시멘트,198440,2018/12,4646,,127537,,41026,
(주)고려시멘트,198440,2019/12,3396,,127036,,38590,
(주)고려시멘트,198440,2020/12,4445,,115338,,22975,
(주)고려시멘트,198440,2021/12,4639,,146783,,29633,
(주)고바이오랩,348150,2019/12,-44215,-44067,34574,35322,88331,88945
(주)고바이오랩,348150,2020/12,-56315,-55072,55675,58537,1541,3146
(주)고바이오랩,348150,2021/12,-17475,-15382,100242,105285,12857,14697
(주)고영테크놀러지,098460,2011/12,16581,15634,87018,87006,16635,17383
(주)고영테크놀러지,098460,2012/12,14836,15222,103020,103352,18929,19951
(주)고영테크놀러지,098460,2013/12,14817,13933,121329,120952,21278,22632
(주)고영테크놀러지,098460,2014/12,22776,22111,141873,141720,23525,25885
(주)고영테크놀러지,098460,2015/12,23272,23531,160171,158858,26600,27382
(주)고영테크놀러지,098460,2016/12,28063,29724,194333,195121,36760,37854
(주)고영테크놀러지,098460,2017/12,28907,26734,205696,205207,40860,43890
(주)고영테크놀러지,098460,2018/12,42430,42310,279985,279059,50714,53193
(주)고영테크놀러지,098460,2019/12,34703,29560,308020,305481,55999,61813
(주)고영테크놀러지,098460,2020/12,7447,9161,303115,302574,50453,56516
(주)고영테크놀러지,098460,2021/12,38621,39586,366775,368329,81334,87930
(주)골드앤에스,035290,2011/12,1101,1002,46347,46677,23709,24240
(주)골드앤에스,035290,2012/12,-6036,-6467,51063,51951,24810,26433
(주)골드앤에스,035290,2013/12,-16378,-16837,34509,51443,24696,38315
(주)골드앤에스,035290,2014/12,-8059,-9319,28884,46528,19800,34446
(주)골드앤에스,035290,2015/12,-9396,-9503,23598,24102,8606,8942
(주)골드앤에스,035290,2016/12,388,390,18296,18672,4194,4403
(주)골드앤에스,035290,2017/12,-8063,-7976,16995,17174,3890,3828
(주)골드앤에스,035290,2018/12,-4046,-4380,42473,42473,28606,28693
(주)골드앤에스,035290,2019/12,-24883,-24883,16096,16096,21097,21188
(주)골드앤에스,035290,2020/12,1636,1636,20634,20634,6146,6236
(주)골드앤에스,035290,2021/12,771,771,26145,26145,10878,10969
(주)골드퍼시픽,038530,2011/12,990,,27474,,5644,
(주)골드퍼시픽,038530,2012/12,255,,29862,,6933,
(주)골드퍼시픽,038530,2013/12,-8456,-9381,30518,33688,13401,17497
(주)골드퍼시픽,038530,2014/12,-7307,-7390,31936,41949,15034,25381
(주)골드퍼시픽,038530,2015/12,-12526,-10216,27496,28573,7380,7380
(주)골드퍼시픽,038530,2016/12,-23433,,11122,,9232,
(주)골드퍼시픽,038530,2017/12,-965,,26568,,21203,
(주)골드퍼시픽,038530,2018/12,-4380,-4472,37288,37825,17202,17739
(주)골드퍼시픽,038530,2019/12,-31604,,72946,,51876,
(주)골드퍼시픽,038530,2020/12,-1498,,71420,,11682,
(주)골드퍼시픽,038530,2021/12,-19466,,87389,,24405,
(주)골프존,215000,2015/12,33263,36533,171629,178132,66566,69278
(주)골프존,215000,2016/12,35913,36536,177636,187914,61749,67266
(주)골프존,215000,2017/12,75544,79392,239012,253672,57617,64291
(주)골프존,215000,2018/12,21663,20419,254579,254058,57142,59138
(주)골프존,215000,2019/12,19705,16214,304861,312587,99331,112544
(주)골프존,215000,2020/12,36329,37497,348043,367294,119466,141723
(주)골프존,215000,2021/12,74185,76442,453214,483601,164518,191699
(주)골프존뉴딘홀딩스,121440,2011/12,47592,46487,373246,378054,25142,29086
(주)골프존뉴딘홀딩스,121440,2012/12,72099,73355,512615,540923,101615,129286
(주)골프존뉴딘홀딩스,121440,2013/12,4493,2803,589947,637840,162390,213296
(주)골프존뉴딘홀딩스,121440,2014/12,63571,79234,586599,762037,112963,275651
(주)골프존뉴딘홀딩스,121440,2015/12,890007,871101,585663,767325,33960,215965
(주)골프존뉴딘홀딩스,121440,2016/12,-20256,2876,561893,760773,55052,232686
(주)골프존뉴딘홀딩스,121440,2017/12,-21779,-21585,536245,756501,56170,255588
(주)골프존뉴딘홀딩스,121440,2018/12,-7654,-7527,563387,774743,78906,288773
(주)골프존뉴딘홀딩스,121440,2019/12,-30342,-34848,537526,776385,87457,329187
(주)골프존뉴딘홀딩스,121440,2020/12,27194,28482,562129,795769,93885,326288
(주)골프존뉴딘홀딩스,121440,2021/12,134031,135857,702772,939418,105004,338058
(주)공구우먼,366030,2017/12,,,,,,
(주)공구우먼,366030,2018/12,,,,,,
(주)공구우먼,366030,2019/12,,,,,,
(주)공구우먼,366030,2020/12,4346,,23980,,2726,
(주)공구우먼,366030,2021/12,8764,,31551,,4432,
(주)광림,014200,2011/12,2583,,86353,,29676,
(주)광림,014200,2012/12,586,,89766,,26264,
(주)광림,014200,2013/12,1631,,101593,,36796,
(주)광림,014200,2014/12,1138,-238,120284,244886,54025,115916
(주)광림,014200,2015/12,9224,,146339,,65439,
(주)광림,014200,2016/12,437,-1897,152080,229597,61859,116091
(주)광림,014200,2017/12,86196,-23602,369582,208058,193026,100368
(주)광림,014200,2018/12,-58294,-28446,236379,187813,115448,97737
(주)광림,014200,2019/12,-68291,-14007,193569,252468,132820,161696
(주)광림,014200,2020/12,-10061,-23824,234833,212123,86736,130510
(주)광림,014200,2021/12,-9719,-23012,272822,268834,68597,143054
(주)광무,029480,2011/12,-51537,-50127,85836,75946,36540,38115
(주)광무,029480,2012/12,-15113,-10689,60163,55789,23645,26281
(주)광무,029480,2013/12,-33154,-28721,28890,35385,17544,26598
(주)광무,029480,2014/12,-860,,27863,,19357,
(주)광무,029480,2015/12,-2728,,21133,,13389,
(주)광무,029480,2016/12,96,,29090,,21037,
(주)광무,029480,2017/12,-3353,,28951,,15398,
(주)광무,029480,2018/12,-4875,-5121,26017,28432,16322,17703
(주)광무,029480,2019/12,-6275,-6421,57157,63140,34955,40296
(주)광무,029480,2020/12,-19142,-19326,37073,38625,12870,14403
(주)광무,029480,2021/12,-880,-758,99477,104044,48864,53084
(주)구스앤홈,329050,2017/12,,,,,,
(주)구스앤홈,329050,2018/12,,,,,,
(주)구스앤홈,329050,2019/12,,,,,,
(주)구스앤홈,329050,2020/12,,,,,,
(주)구영테크,053270,2011/12,986,-648,94941,149471,66978,112838
(주)구영테크,053270,2012/12,1250,1633,109441,161163,80138,124476
(주)구영테크,053270,2013/12,1137,2180,97549,149230,66787,110206
(주)구영테크,053270,2014/12,1327,2237,101546,155857,59346,103644
(주)구영테크,053270,2015/12,3196,4159,102761,161331,58695,104930
(주)구영테크,053270,2016/12,3920,2542,108895,166748,62465,108968
(주)구영테크,053270,2017/12,1239,1357,139584,187010,92482,131199
(주)구영테크,053270,2018/12,3912,5921,146492,202573,88631,133745
(주)구영테크,053270,2019/12,1558,3387,141035,206570,82366,134866
(주)구영테크,053270,2020/12,902,727,151133,211767,92403,142260
