회사명,거래소코드,회계년도,금융원가(요약)(IFRS)(백만원),금융수익(요약)(IFRS)(백만원),법인세비용차감전순이익(손실)(요약)(IFRS)(백만원),금융원가(요약)(IFRS연결)(백만원),금융수익(요약)(IFRS연결)(백만원),법인세비용차감전순이익(손실)(요약)(IFRS연결)(백만원)
(주)CMG제약,058820,2011/12,2018,38,-1264,2188,40,-1508
(주)CMG제약,058820,2012/12,1695,143,-6893,1290,131,-6660
(주)CMG제약,058820,2013/12,1283,956,350,1267,947,311
(주)CMG제약,058820,2014/12,216,340,172,216,330,158
(주)CMG제약,058820,2015/12,80,110,-3649,80,110,-3650
(주)CMG제약,058820,2016/12,233,167,1642,233,167,1642
(주)CMG제약,058820,2017/12,11,1142,2870,11,1142,2870
(주)CMG제약,058820,2018/12,16,1123,3656,16,1123,3656
(주)CMG제약,058820,2019/12,246,2151,3837,246,2151,3837
(주)CMG제약,058820,2020/12,1657,2365,569,,,
(주)CMG제약,058820,2021/12,1653,5713,3549,,,
(주)ES큐브,050120,2011/12,1502,1852,-2933,1563,1922,-4596
(주)ES큐브,050120,2012/12,1227,1179,517,1339,1329,-112
(주)ES큐브,050120,2013/12,2252,2109,-14749,2609,2339,-16159
(주)ES큐브,050120,2014/12,929,2394,-2412,955,2526,-333
(주)ES큐브,050120,2015/12,1072,2415,3610,1751,3262,-2070
(주)ES큐브,050120,2016/12,1386,1961,17469,1598,1816,21717
(주)ES큐브,050120,2017/12,2329,1835,1062,2450,1849,1813
(주)ES큐브,050120,2018/12,2111,3445,-3841,2471,3829,-6070
(주)ES큐브,050120,2019/12,7309,2087,-12563,7702,2132,-15381
(주)ES큐브,050120,2020/12,22197,11072,-29081,23048,11009,-22811
(주)ES큐브,050120,2021/12,1103,1830,2991,1614,1929,360
(주)가비아,079940,2011/12,364,249,3818,401,1090,8870
(주)가비아,079940,2012/12,494,3891,6624,548,4394,11451
(주)가비아,079940,2013/12,1573,2712,4263,859,3316,11314
(주)가비아,079940,2014/12,406,270,3203,472,998,8012
(주)가비아,079940,2015/12,1141,307,4748,335,1002,10237
(주)가비아,079940,2016/12,152,228,3683,228,708,11234
(주)가비아,079940,2017/12,264,233,2472,286,909,11169
(주)가비아,079940,2018/12,159,444,3060,722,1346,18070
(주)가비아,079940,2019/12,251,841,4906,1070,1602,24758
(주)가비아,079940,2020/12,436,1128,5956,2580,3038,27523
(주)가비아,079940,2021/12,83,1160,6267,710,3032,32508
(주)가온칩스,399720,2018/12,,,,,,
(주)가온칩스,399720,2019/12,,,,,,
(주)가온칩스,399720,2020/12,721,627,1877,,,
(주)가온칩스,399720,2021/12,494,881,6591,,,
(주)강스템바이오텍,217730,2013/12,,,,,,
(주)강스템바이오텍,217730,2014/12,,,,,,
(주)강스템바이오텍,217730,2015/12,1070,479,-5754,,,
(주)강스템바이오텍,217730,2016/12,2176,389,-10904,,,
(주)강스템바이오텍,217730,2017/12,3023,5983,-9467,3060,5984,-10125
(주)강스템바이오텍,217730,2018/12,1645,464,-13173,1714,474,-14063
(주)강스템바이오텍,217730,2019/12,3158,2461,-25002,1117,2491,-26302
(주)강스템바이오텍,217730,2020/12,4034,1460,-19492,860,1483,-19756
(주)강스템바이오텍,217730,2021/12,820,821,-20437,1145,828,-21811
(주)강원에너지,114190,2011/11,89,745,7246,,,
(주)강원에너지,114190,2012/12,410,1421,11326,,,
(주)강원에너지,114190,2013/12,667,3055,5217,,,
(주)강원에너지,114190,2014/12,457,1308,1141,,,
