회사명,거래소코드,회계년도,매출액(수익)(요약)(IFRS)(백만원),연구개발비(IFRS)(천원),매출액(수익)(요약)(IFRS연결)(백만원),연구개발비(IFRS연결)(천원)
(주)CMG제약,058820,2011/12,17752,23703,17752,23703
(주)CMG제약,058820,2012/12,16255,120052,16255,120052
(주)CMG제약,058820,2013/12,20322,134454,20402,134454
(주)CMG제약,058820,2014/12,22753,116533,22753,116533
(주)CMG제약,058820,2015/12,27042,831910,27042,831910
(주)CMG제약,058820,2016/12,32970,397519,32970,397519
(주)CMG제약,058820,2017/12,41536,1795891,41536,1795891
(주)CMG제약,058820,2018/12,49865,777797,49865,777797
(주)CMG제약,058820,2019/12,58623,1993412,58623,1993412
(주)CMG제약,058820,2020/12,64460,3089681,,
(주)CMG제약,058820,2021/12,69475,3261605,,
(주)ES큐브,050120,2011/12,41700,2481560,53380,2481560
(주)ES큐브,050120,2012/12,44178,1355428,55971,1355428
(주)ES큐브,050120,2013/12,45823,2358093,58597,2358093
(주)ES큐브,050120,2014/12,37188,878870,44460,878870
(주)ES큐브,050120,2015/12,36887,0,42153,1060388
(주)ES큐브,050120,2016/12,34818,0,34289,140435
(주)ES큐브,050120,2017/12,37105,0,35746,0
(주)ES큐브,050120,2018/12,31309,0,33764,452197
(주)ES큐브,050120,2019/12,28527,0,43708,0
(주)ES큐브,050120,2020/12,30293,0,80672,0
(주)ES큐브,050120,2021/12,41106,0,125787,0
(주)가비아,079940,2011/12,33793,306874,52839,719100
(주)가비아,079940,2012/12,38482,479876,69058,1019486
(주)가비아,079940,2013/12,40508,809715,70676,2215924
(주)가비아,079940,2014/12,43906,160297,80432,2192163
(주)가비아,079940,2015/12,48447,101126,91649,2536832
(주)가비아,079940,2016/12,49431,113382,102179,3274580
(주)가비아,079940,2017/12,52366,776111,116218,4699364
(주)가비아,079940,2018/12,55198,446294,128728,4633946
(주)가비아,079940,2019/12,58254,0,148307,0
(주)가비아,079940,2020/12,64097,0,169045,0
(주)가비아,079940,2021/12,71873,0,200443,5865930
(주)가온칩스,399720,2018/12,,,,
(주)가온칩스,399720,2019/12,,,,
(주)가온칩스,399720,2020/12,17098,1393896,,
(주)가온칩스,399720,2021/12,32236,1808167,,
(주)강스템바이오텍,217730,2013/12,,,,
(주)강스템바이오텍,217730,2014/12,,,,
(주)강스템바이오텍,217730,2015/12,1485,3798708,,
(주)강스템바이오텍,217730,2016/12,843,5529149,,
(주)강스템바이오텍,217730,2017/12,5394,6658015,9133,6714811
(주)강스템바이오텍,217730,2018/12,1001,6879882,9165,6181361
(주)강스템바이오텍,217730,2019/12,282,12523954,6005,12415383
(주)강스템바이오텍,217730,2020/12,295,12529580,9138,12638595
(주)강스템바이오텍,217730,2021/12,3757,14792068,12405,14652929
(주)강원에너지,114190,2011/11,50223,1388076,,
(주)강원에너지,114190,2012/12,106471,1983774,,
(주)강원에너지,114190,2013/12,50661,1844262,,
(주)강원에너지,114190,2014/12,51481,1907669,,
(주)강원에너지,114190,2015/12,48853,1748860,46189,1748860
(주)강원에너지,114190,2016/12,44449,2026155,42287,2026155
(주)강원에너지,114190,2017/12,83113,0,82035,0
(주)강원에너지,114190,2018/12,85905,0,85905,0
(주)강원에너지,114190,2019/12,42550,0,42550,0
(주)강원에너지,114190,2020/12,38345,0,38345,0
(주)강원에너지,114190,2021/12,44163,0,,
(주)고려시멘트,198440,2014/12,,,,
(주)고려시멘트,198440,2015/12,,,,
(주)고려시멘트,198440,2016/12,,,,
(주)고려시멘트,198440,2017/12,87660,0,,
(주)고려시멘트,198440,2018/12,85776,0,,
(주)고려시멘트,198440,2019/12,70922,0,,
(주)고려시멘트,198440,2020/12,70183,0,,
(주)고려시멘트,198440,2021/12,65673,0,,
(주)고바이오랩,348150,2019/12,577,2822117,577,4318898
(주)고바이오랩,348150,2020/12,4591,6850621,4591,8881835
(주)고바이오랩,348150,2021/12,2893,7279354,2893,12495873
(주)고영테크놀러지,098460,2011/12,80201,5151703,86131,5848913
(주)고영테크놀러지,098460,2012/12,100791,6445541,107842,6445541
(주)고영테크놀러지,098460,2013/12,103934,7279228,111903,7279228
(주)고영테크놀러지,098460,2014/12,135532,9955799,142840,9955799
(주)고영테크놀러지,098460,2015/12,138555,13874808,145904,13852455
(주)고영테크놀러지,098460,2016/12,153255,18591618,171794,18591618
(주)고영테크놀러지,098460,2017/12,188935,23075326,203369,23075326
(주)고영테크놀러지,098460,2018/12,219818,30047991,238209,30047991
(주)고영테크놀러지,098460,2019/12,209481,31476309,222057,30246314
(주)고영테크놀러지,098460,2020/12,157078,33394725,179545,32158466
(주)고영테크놀러지,098460,2021/12,230144,44559695,247301,43208999
(주)골드앤에스,035290,2011/12,47523,0,47523,0
(주)골드앤에스,035290,2012/12,43889,0,43889,0
(주)골드앤에스,035290,2013/12,36608,0,39549,0
(주)골드앤에스,035290,2014/12,29429,0,31287,0
(주)골드앤에스,035290,2015/12,22198,0,22198,0
(주)골드앤에스,035290,2016/12,15893,0,15893,0
(주)골드앤에스,035290,2017/12,12802,0,12802,0
(주)골드앤에스,035290,2018/12,8680,570892,8680,570892
(주)골드앤에스,035290,2019/12,7643,300698,7643,300698
(주)골드앤에스,035290,2020/12,4139,0,4139,0
(주)골드앤에스,035290,2021/12,13507,0,13507,0
(주)골드퍼시픽,038530,2011/12,11237,111530,,
(주)골드퍼시픽,038530,2012/12,10491,109303,,
(주)골드퍼시픽,038530,2013/12,6489,100252,7168,87752
(주)골드퍼시픽,038530,2014/12,4855,30896,16486,180041
(주)골드퍼시픽,038530,2015/12,6121,0,18635,76177
(주)골드퍼시픽,038530,2016/12,9588,0,,
(주)골드퍼시픽,038530,2017/12,5031,0,,
(주)골드퍼시픽,038530,2018/12,5581,0,5708,0
(주)골드퍼시픽,038530,2019/12,11323,0,,
(주)골드퍼시픽,038530,2020/12,14335,0,,
(주)골드퍼시픽,038530,2021/12,8722,0,,
(주)골프존,215000,2015/12,184085,0,201560,0
(주)골프존,215000,2016/12,196865,0,216964,0
(주)골프존,215000,2017/12,171859,0,200105,0
(주)골프존,215000,2018/12,191571,0,198705,0
(주)골프존,215000,2019/12,239052,0,247018,0
(주)골프존,215000,2020/12,281031,0,298524,0
(주)골프존,215000,2021/12,413299,0,440308,0
(주)골프존뉴딘홀딩스,121440,2011/12,209788,0,215794,0
(주)골프존뉴딘홀딩스,121440,2012/12,276342,0,289629,0
(주)골프존뉴딘홀딩스,121440,2013/12,340005,0,365126,0
(주)골프존뉴딘홀딩스,121440,2014/12,387066,0,429590,596440
(주)골프존뉴딘홀딩스,121440,2015/12,29389,0,164536,149963
(주)골프존뉴딘홀딩스,121440,2016/12,27652,0,243275,0
(주)골프존뉴딘홀딩스,121440,2017/12,23500,0,213757,2900189
(주)골프존뉴딘홀딩스,121440,2018/12,16100,0,223037,3620102
(주)골프존뉴딘홀딩스,121440,2019/12,26897,0,228936,2672997
(주)골프존뉴딘홀딩스,121440,2020/12,57481,0,292026,1576327
(주)골프존뉴딘홀딩스,121440,2021/12,80140,0,417687,1665869
(주)공구우먼,366030,2017/12,,,,
(주)공구우먼,366030,2018/12,,,,
(주)공구우먼,366030,2019/12,,,,
(주)공구우먼,366030,2020/12,32683,0,,
(주)공구우먼,366030,2021/12,47320,0,,
(주)광림,014200,2011/12,106495,0,,
(주)광림,014200,2012/12,85323,0,,
(주)광림,014200,2013/12,103442,0,,
(주)광림,014200,2014/12,92554,0,231446,185071
(주)광림,014200,2015/12,237223,462162,,
(주)광림,014200,2016/12,87303,0,87303,0
(주)광림,014200,2017/12,99421,0,135192,214932
(주)광림,014200,2018/12,75493,0,136595,282835
(주)광림,014200,2019/12,93241,0,145864,278259
(주)광림,014200,2020/12,104253,0,161220,159741
(주)광림,014200,2021/12,136953,0,188435,996968
(주)광무,029480,2011/12,50359,0,51755,0
(주)광무,029480,2012/12,40407,0,41179,0
(주)광무,029480,2013/12,10105,0,20534,0
(주)광무,029480,2014/12,38410,0,,
(주)광무,029480,2015/12,17648,0,,
(주)광무,029480,2016/12,26430,0,,
(주)광무,029480,2017/12,21541,0,,
(주)광무,029480,2018/12,20707,0,23075,0
(주)광무,029480,2019/12,25244,0,36484,0
(주)광무,029480,2020/12,25007,0,25176,0
(주)광무,029480,2021/12,18173,0,18920,0
(주)구스앤홈,329050,2017/12,,,,
(주)구스앤홈,329050,2018/12,,,,
(주)구스앤홈,329050,2019/12,,,,
(주)구스앤홈,329050,2020/12,,,,
(주)구영테크,053270,2011/12,62528,0,147832,0
(주)구영테크,053270,2012/12,65451,0,155789,0
(주)구영테크,053270,2013/12,76283,0,172747,0
(주)구영테크,053270,2014/12,77800,45952,170529,0
(주)구영테크,053270,2015/12,87109,96323,172083,0
(주)구영테크,053270,2016/12,75320,6841,148302,0
(주)구영테크,053270,2017/12,74298,4039,149833,0
(주)구영테크,053270,2018/12,81929,48921,195238,0
(주)구영테크,053270,2019/12,93133,0,230853,0
(주)구영테크,053270,2020/12,84841,0,196661,0
(주)구영테크,053270,2021/12,101637,0,203398,0
(주)국보디자인,066620,2011/12,123203,0,130690,0
