회사명,거래소코드,회계년도,단기차입금(요약)(IFRS)(백만원),유동성장기부채(요약)(IFRS)(백만원),단기차입금(요약)(IFRS연결)(백만원),유동성장기부채(요약)(IFRS연결)(백만원)
(주)CMG제약,058820,2011/12,2134,2000,0,2000
(주)CMG제약,058820,2012/12,2133,0,100,0
(주)CMG제약,058820,2013/12,0,0,0,0
(주)CMG제약,058820,2014/12,0,1538,5,1538
(주)CMG제약,058820,2015/12,0,0,6,0
(주)CMG제약,058820,2016/12,0,0,0,0
(주)CMG제약,058820,2017/12,0,0,0,0
(주)CMG제약,058820,2018/12,0,0,0,0
(주)CMG제약,058820,2019/12,0,0,0,0
(주)CMG제약,058820,2020/12,0,0,,
(주)CMG제약,058820,2021/12,0,0,,
(주)ES큐브,050120,2011/12,0,0,100,0
(주)ES큐브,050120,2012/12,0,0,154,0
(주)ES큐브,050120,2013/12,0,0,153,0
(주)ES큐브,050120,2014/12,0,0,568,0
(주)ES큐브,050120,2015/12,0,0,0,0
(주)ES큐브,050120,2016/12,0,1200,0,1200
(주)ES큐브,050120,2017/12,0,1200,0,1200
(주)ES큐브,050120,2018/12,0,25200,0,25200
(주)ES큐브,050120,2019/12,0,1200,2726,1200
(주)ES큐브,050120,2020/12,0,0,0,0
(주)ES큐브,050120,2021/12,1500,0,1500,0
(주)가비아,079940,2011/12,0,2827,0,2827
(주)가비아,079940,2012/12,1000,787,2774,787
(주)가비아,079940,2013/12,0,4167,1000,4167
(주)가비아,079940,2014/12,3000,825,3500,825
(주)가비아,079940,2015/12,0,0,510,0
(주)가비아,079940,2016/12,0,0,2200,0
(주)가비아,079940,2017/12,0,5500,2400,5500
(주)가비아,079940,2018/12,5500,0,8215,330
(주)가비아,079940,2019/12,3000,0,6645,0
(주)가비아,079940,2020/12,5000,0,8600,0
(주)가비아,079940,2021/12,5000,358,11100,1179
(주)가온칩스,399720,2018/12,,,,
(주)가온칩스,399720,2019/12,,,,
(주)가온칩스,399720,2020/12,0,0,,
(주)가온칩스,399720,2021/12,0,0,,
(주)강스템바이오텍,217730,2013/12,,,,
(주)강스템바이오텍,217730,2014/12,,,,
(주)강스템바이오텍,217730,2015/12,288,0,,
