회사명,거래소코드,회계년도,통계청 한국표준산업분류 코드 10차(대분류),통계청 한국표준산업분류 10차(대분류)
(주)CMG제약,058820,2011/12,21,제조업
(주)CMG제약,058820,2012/12,21,제조업
(주)CMG제약,058820,2013/12,21,제조업
(주)CMG제약,058820,2014/12,21,제조업
(주)CMG제약,058820,2015/12,21,제조업
(주)CMG제약,058820,2016/12,21,제조업
(주)CMG제약,058820,2017/12,21,제조업
(주)CMG제약,058820,2018/12,21,제조업
(주)CMG제약,058820,2019/12,21,제조업
(주)CMG제약,058820,2020/12,21,제조업
(주)CMG제약,058820,2021/12,21,제조업
(주)ES큐브,050120,2011/12,46,도매 및 소매업
(주)ES큐브,050120,2012/12,46,도매 및 소매업
(주)ES큐브,050120,2013/12,46,도매 및 소매업
(주)ES큐브,050120,2014/12,46,도매 및 소매업
(주)ES큐브,050120,2015/12,46,도매 및 소매업
(주)ES큐브,050120,2016/12,46,도매 및 소매업
(주)ES큐브,050120,2017/12,46,도매 및 소매업
(주)ES큐브,050120,2018/12,46,도매 및 소매업
(주)ES큐브,050120,2019/12,46,도매 및 소매업
(주)ES큐브,050120,2020/12,46,도매 및 소매업
(주)ES큐브,050120,2021/12,46,도매 및 소매업
(주)가비아,079940,2011/12,58,정보통신업
(주)가비아,079940,2012/12,58,정보통신업
(주)가비아,079940,2013/12,58,정보통신업
(주)가비아,079940,2014/12,58,정보통신업
(주)가비아,079940,2015/12,58,정보통신업
(주)가비아,079940,2016/12,58,정보통신업
(주)가비아,079940,2017/12,58,정보통신업
(주)가비아,079940,2018/12,58,정보통신업
(주)가비아,079940,2019/12,58,정보통신업
(주)가비아,079940,2020/12,58,정보통신업
(주)가비아,079940,2021/12,58,정보통신업
(주)가온칩스,399720,2018/12,26,제조업
(주)가온칩스,399720,2019/12,26,제조업
(주)가온칩스,399720,2020/12,26,제조업
(주)가온칩스,399720,2021/12,26,제조업
(주)강스템바이오텍,217730,2013/12,21,제조업
(주)강스템바이오텍,217730,2014/12,21,제조업
(주)강스템바이오텍,217730,2015/12,21,제조업
(주)강스템바이오텍,217730,2016/12,21,제조업
(주)강스템바이오텍,217730,2017/12,21,제조업
(주)강스템바이오텍,217730,2018/12,21,제조업
(주)강스템바이오텍,217730,2019/12,21,제조업
(주)강스템바이오텍,217730,2020/12,21,제조업
(주)강스템바이오텍,217730,2021/12,21,제조업
(주)강원에너지,114190,2011/11,25,제조업
(주)강원에너지,114190,2012/12,25,제조업
(주)강원에너지,114190,2013/12,25,제조업
(주)강원에너지,114190,2014/12,25,제조업
(주)강원에너지,114190,2015/12,25,제조업
(주)강원에너지,114190,2016/12,25,제조업
(주)강원에너지,114190,2017/12,25,제조업
(주)강원에너지,114190,2018/12,25,제조업
(주)강원에너지,114190,2019/12,25,제조업
(주)강원에너지,114190,2020/12,25,제조업
(주)강원에너지,114190,2021/12,25,제조업
(주)고려시멘트,198440,2014/12,23,제조업
(주)고려시멘트,198440,2015/12,23,제조업
(주)고려시멘트,198440,2016/12,23,제조업
(주)고려시멘트,198440,2017/12,23,제조업
(주)고려시멘트,198440,2018/12,23,제조업
(주)고려시멘트,198440,2019/12,23,제조업
(주)고려시멘트,198440,2020/12,23,제조업
(주)고려시멘트,198440,2021/12,23,제조업
(주)고바이오랩,348150,2019/12,70,"전문, 과학 및 기술 서비스업"
(주)고바이오랩,348150,2020/12,70,"전문, 과학 및 기술 서비스업"
(주)고바이오랩,348150,2021/12,70,"전문, 과학 및 기술 서비스업"
(주)고영테크놀러지,098460,2011/12,29,제조업
(주)고영테크놀러지,098460,2012/12,29,제조업
(주)고영테크놀러지,098460,2013/12,29,제조업
(주)고영테크놀러지,098460,2014/12,29,제조업
(주)고영테크놀러지,098460,2015/12,29,제조업
(주)고영테크놀러지,098460,2016/12,29,제조업
(주)고영테크놀러지,098460,2017/12,29,제조업
(주)고영테크놀러지,098460,2018/12,29,제조업
(주)고영테크놀러지,098460,2019/12,29,제조업
(주)고영테크놀러지,098460,2020/12,29,제조업
(주)고영테크놀러지,098460,2021/12,29,제조업
(주)골드앤에스,035290,2011/12,58,정보통신업
(주)골드앤에스,035290,2012/12,58,정보통신업
(주)골드앤에스,035290,2013/12,58,정보통신업
(주)골드앤에스,035290,2014/12,58,정보통신업
(주)골드앤에스,035290,2015/12,58,정보통신업
(주)골드앤에스,035290,2016/12,58,정보통신업
(주)골드앤에스,035290,2017/12,58,정보통신업
(주)골드앤에스,035290,2018/12,58,정보통신업
(주)골드앤에스,035290,2019/12,58,정보통신업
(주)골드앤에스,035290,2020/12,58,정보통신업
(주)골드앤에스,035290,2021/12,58,정보통신업
(주)골드퍼시픽,038530,2011/12,46,도매 및 소매업
(주)골드퍼시픽,038530,2012/12,46,도매 및 소매업
(주)골드퍼시픽,038530,2013/12,46,도매 및 소매업
(주)골드퍼시픽,038530,2014/12,46,도매 및 소매업
(주)골드퍼시픽,038530,2015/12,46,도매 및 소매업
(주)골드퍼시픽,038530,2016/12,46,도매 및 소매업
(주)골드퍼시픽,038530,2017/12,46,도매 및 소매업
(주)골드퍼시픽,038530,2018/12,46,도매 및 소매업
(주)골드퍼시픽,038530,2019/12,46,도매 및 소매업
(주)골드퍼시픽,038530,2020/12,46,도매 및 소매업
(주)골드퍼시픽,038530,2021/12,46,도매 및 소매업
(주)골프존,215000,2015/12,58,정보통신업
(주)골프존,215000,2016/12,58,정보통신업
(주)골프존,215000,2017/12,58,정보통신업
(주)골프존,215000,2018/12,58,정보통신업
(주)골프존,215000,2019/12,58,정보통신업
(주)골프존,215000,2020/12,58,정보통신업
(주)골프존,215000,2021/12,58,정보통신업
(주)골프존뉴딘홀딩스,121440,2011/12,46,도매 및 소매업
(주)골프존뉴딘홀딩스,121440,2012/12,46,도매 및 소매업
(주)골프존뉴딘홀딩스,121440,2013/12,46,도매 및 소매업
(주)골프존뉴딘홀딩스,121440,2014/12,46,도매 및 소매업
(주)골프존뉴딘홀딩스,121440,2015/12,46,도매 및 소매업
(주)골프존뉴딘홀딩스,121440,2016/12,46,도매 및 소매업
(주)골프존뉴딘홀딩스,121440,2017/12,46,도매 및 소매업
(주)골프존뉴딘홀딩스,121440,2018/12,46,도매 및 소매업
(주)골프존뉴딘홀딩스,121440,2019/12,46,도매 및 소매업
(주)골프존뉴딘홀딩스,121440,2020/12,46,도매 및 소매업
(주)골프존뉴딘홀딩스,121440,2021/12,46,도매 및 소매업
(주)공구우먼,366030,2017/12,47,도매 및 소매업
(주)공구우먼,366030,2018/12,47,도매 및 소매업
(주)공구우먼,366030,2019/12,47,도매 및 소매업
(주)공구우먼,366030,2020/12,47,도매 및 소매업
(주)공구우먼,366030,2021/12,47,도매 및 소매업
(주)광림,014200,2011/12,30,제조업
(주)광림,014200,2012/12,30,제조업
(주)광림,014200,2013/12,30,제조업
(주)광림,014200,2014/12,30,제조업
(주)광림,014200,2015/12,30,제조업
(주)광림,014200,2016/12,30,제조업
(주)광림,014200,2017/12,30,제조업
(주)광림,014200,2018/12,30,제조업
(주)광림,014200,2019/12,30,제조업
(주)광림,014200,2020/12,30,제조업
(주)광림,014200,2021/12,30,제조업
(주)광무,029480,2011/12,26,제조업
(주)광무,029480,2012/12,26,제조업
(주)광무,029480,2013/12,26,제조업
(주)광무,029480,2014/12,26,제조업
(주)광무,029480,2015/12,26,제조업
(주)광무,029480,2016/12,26,제조업
(주)광무,029480,2017/12,26,제조업
(주)광무,029480,2018/12,26,제조업
(주)광무,029480,2019/12,26,제조업
(주)광무,029480,2020/12,26,제조업
(주)광무,029480,2021/12,26,제조업
(주)구스앤홈,329050,2017/12,13,제조업
(주)구스앤홈,329050,2018/12,13,제조업
(주)구스앤홈,329050,2019/12,13,제조업
(주)구스앤홈,329050,2020/12,13,제조업
(주)구영테크,053270,2011/12,30,제조업
(주)구영테크,053270,2012/12,30,제조업
(주)구영테크,053270,2013/12,30,제조업
(주)구영테크,053270,2014/12,30,제조업
(주)구영테크,053270,2015/12,30,제조업
(주)구영테크,053270,2016/12,30,제조업
(주)구영테크,053270,2017/12,30,제조업
(주)구영테크,053270,2018/12,30,제조업
(주)구영테크,053270,2019/12,30,제조업
(주)구영테크,053270,2020/12,30,제조업
(주)구영테크,053270,2021/12,30,제조업
(주)국보디자인,066620,2011/12,42,건설업
(주)국보디자인,066620,2012/12,42,건설업
(주)국보디자인,066620,2013/12,42,건설업
(주)국보디자인,066620,2014/12,42,건설업
(주)국보디자인,066620,2015/12,42,건설업
(주)국보디자인,066620,2016/12,42,건설업
(주)국보디자인,066620,2017/12,42,건설업
(주)국보디자인,066620,2018/12,42,건설업
(주)국보디자인,066620,2019/12,42,건설업
(주)국보디자인,066620,2020/12,42,건설업
(주)국보디자인,066620,2021/12,42,건설업
(주)국순당,043650,2011/12,11,제조업
(주)국순당,043650,2012/12,11,제조업
(주)국순당,043650,2013/12,11,제조업
(주)국순당,043650,2014/12,11,제조업
(주)국순당,043650,2015/12,11,제조업
(주)국순당,043650,2016/12,11,제조업
(주)국순당,043650,2017/12,11,제조업
(주)국순당,043650,2018/12,11,제조업
(주)국순당,043650,2019/12,11,제조업
(주)국순당,043650,2020/12,11,제조업
(주)국순당,043650,2021/12,11,제조업
(주)국영지앤엠,006050,2011/12,23,제조업
(주)국영지앤엠,006050,2012/12,23,제조업
(주)국영지앤엠,006050,2013/12,23,제조업
