회사명,거래소코드,회계년도,[제조]      유형자산(요약)(IFRS)(백만원),[제조]      유형자산(요약)(IFRS연결)(백만원),[제조]매출액(수익)(요약)(IFRS)(백만원),[제조]매출액(수익)(요약)(IFRS연결)(백만원),[제조]자본(*)(요약)(IFRS)(백만원),[제조]자본(*)(요약)(IFRS연결)(백만원),[제조]자산(*)(요약)(IFRS)(백만원),[제조]자산(*)(요약)(IFRS연결)(백만원),[제조]* (정상)영업손익(보고서기재)(요약)(IFRS)(백만원),[제조]* (정상)영업손익(보고서기재)(요약)(IFRS연결)(백만원)
(주)CMG제약,058820,2011/12,9653,9708,17752,17752,18291,18034,27549,27305,715,640
(주)CMG제약,058820,2012/12,9264,9307,16255,16255,31603,31591,56989,57108,-4045,-4206
(주)CMG제약,058820,2013/12,10805,10805,20322,20402,49048,48997,55962,55913,823,791
(주)CMG제약,058820,2014/12,18834,18834,22753,22753,49067,49003,58127,58068,446,442
(주)CMG제약,058820,2015/12,17822,17822,27042,27042,46873,46807,56592,56533,-2571,-2572
(주)CMG제약,058820,2016/12,16906,16906,32970,32970,101108,101108,110980,110980,1731,1731
(주)CMG제약,058820,2017/12,16183,16183,41536,41536,97944,97944,109568,109568,1559,1559
(주)CMG제약,058820,2018/12,17269,17269,49865,49865,103982,103982,114380,114380,2568,2568
(주)CMG제약,058820,2019/12,24119,24119,58623,58623,180158,180158,192243,192243,2604,2604
(주)CMG제약,058820,2020/12,29741,,64460,,181131,,195356,,1822,
(주)CMG제약,058820,2021/12,30516,,69475,,184702,,199175,,1660,
(주)ES큐브,050120,2011/12,1407,4314,41700,53380,39144,39246,45233,55477,-2080,-3650
(주)ES큐브,050120,2012/12,1396,3182,44178,55971,39881,39860,44676,46282,646,89
(주)ES큐브,050120,2013/12,915,2177,45823,58597,43713,42372,47510,47138,217,-1165
(주)ES큐브,050120,2014/12,640,2299,37188,44460,41226,49628,44914,56612,326,171
(주)ES큐브,050120,2015/12,596,1968,36887,42153,44873,49654,47124,55620,2371,-4060
(주)ES큐브,050120,2016/12,4673,7064,34818,34289,69832,71696,104460,105165,2360,2161
(주)ES큐브,050120,2017/12,7506,11624,37105,35746,71398,72817,104850,105892,2170,2249
(주)ES큐브,050120,2018/12,10881,15202,31309,33764,66519,70749,108482,112431,691,-1211
(주)ES큐브,050120,2019/12,10577,17333,28527,43708,53986,74039,136065,463959,588,-2617
(주)ES큐브,050120,2020/12,554,29330,30293,80672,72950,69498,81995,714890,1453,10316
(주)ES큐브,050120,2021/12,875,33186,41106,125787,65298,115855,76173,1082732,2340,283
(주)가비아,079940,2011/12,7163,22149,33793,52839,24299,48666,37296,64954,3932,8181
(주)가비아,079940,2012/12,23749,37834,38482,69058,31165,58945,51796,85245,2949,7620
(주)가비아,079940,2013/12,22733,37048,40508,70676,34823,68600,52152,91231,3035,7034
