회사명,거래소코드,회계년도,유형자산증가율(IFRS),매출액증가율(IFRS),자기자본증가율(IFRS),총자본증가율(IFRS),정상영업이익증가율(IFRS),유형자산증가율(IFRS연결),매출액증가율(IFRS연결),자기자본증가율(IFRS연결),총자본증가율(IFRS연결),정상영업이익증가율(IFRS연결)
(주)CMG제약,058820,2011/12,-6.44,56.4,-0.62,2.89,0,-5.9,56.4,-2.02,1.98,0
(주)CMG제약,058820,2012/12,-4.02,-8.43,72.78,106.87,0,-4.12,-8.43,75.17,109.15,0
(주)CMG제약,058820,2013/12,16.63,25.02,55.2,-1.8,0,16.09,25.51,55.1,-2.09,0
(주)CMG제약,058820,2014/12,74.3,11.96,0.04,3.87,-45.78,74.3,11.52,0.01,3.86,-44.1
(주)CMG제약,058820,2015/12,-5.37,18.85,-4.47,-2.64,0,-5.37,18.85,-4.48,-2.64,0
(주)CMG제약,058820,2016/12,-5.14,21.92,115.71,96.11,0,-5.14,21.92,116.01,96.31,0
(주)CMG제약,058820,2017/12,-4.28,25.98,-3.13,-1.27,-9.95,-4.28,25.98,-3.13,-1.27,-9.95
(주)CMG제약,058820,2018/12,6.71,20.05,6.16,4.39,64.75,6.71,20.05,6.16,4.39,64.75
(주)CMG제약,058820,2019/12,39.67,17.56,73.26,68.07,1.4,39.67,17.56,73.26,68.07,1.4
(주)CMG제약,058820,2020/12,23.31,9.96,0.54,1.62,-30.01,,,,,
(주)CMG제약,058820,2021/12,2.61,7.78,1.97,1.95,-8.88,,,,,
(주)ES큐브,050120,2011/12,-11.82,20.38,-6.99,-5.43,0,0,0,0,0,0
(주)ES큐브,050120,2012/12,-0.8,5.94,1.88,-1.23,0,0,0,0,0,0
(주)ES큐브,050120,2013/12,-34.47,3.72,9.61,6.34,-66.38,-31.56,4.69,6.4,1.85,0
(주)ES큐브,050120,2014/12,-30,-18.84,-5.69,-5.46,50.09,5.59,-24.13,0.17,20.1,0
(주)ES큐브,050120,2015/12,-6.88,-0.81,8.84,4.92,627.37,-14.4,-5.19,1.85,-1.75,0
(주)ES큐브,050120,2016/12,683.64,-5.61,55.62,121.67,-0.47,258.91,-18.65,68.52,89.08,0
(주)ES큐브,050120,2017/12,60.62,6.57,2.24,0.37,-8.03,64.55,4.25,1.56,0.69,4.05
(주)ES큐브,050120,2018/12,44.96,-15.62,-6.83,3.46,-68.14,30.79,-5.55,-6.15,6.17,-153.86
(주)ES큐브,050120,2019/12,-2.8,-8.88,-18.84,25.43,-15.01,14.02,29.45,-18.89,312.66,0
(주)ES큐브,050120,2020/12,-94.76,6.19,35.13,-39.74,147.19,69.21,84.57,25.23,54.08,0
(주)ES큐브,050120,2021/12,57.88,35.69,-10.49,-7.1,61.11,13.15,55.92,22.47,51.45,-97.25
(주)가비아,079940,2011/12,31.49,29.64,12.83,8.47,-0.69,11.47,30.07,20.26,22.76,22.24
(주)가비아,079940,2012/12,231.54,13.88,28.26,38.88,-25,70.81,30.7,28.11,31.24,-6.86
(주)가비아,079940,2013/12,-4.28,5.26,11.74,0.69,2.91,-2.08,2.34,16.43,7.02,-7.7
(주)가비아,079940,2014/12,-1.85,8.39,9.55,7.35,13.71,0.14,13.8,9.56,8.02,19.18
(주)가비아,079940,2015/12,-0.46,10.34,11.33,2.99,31.31,-0.49,13.95,12.25,6.63,35.39
(주)가비아,079940,2016/12,0.99,2.03,6.93,6.08,-12.14,17.08,11.49,4.78,19.71,10.57
(주)가비아,079940,2017/12,-0.3,5.94,4.95,6.25,-20.23,5.16,13.74,5.42,6.03,1.3
(주)가비아,079940,2018/12,9.23,5.41,4.55,6.66,29.27,8.04,10.76,12.64,13.54,43.08
(주)가비아,079940,2019/12,62.64,5.54,8.53,19.69,19.07,73.82,15.21,16.59,32.01,30.5
