회사명,거래소코드,회계년도,총자본정상영업이익률(IFRS),자기자본순이익률(IFRS),총자본순이익률(IFRS),매출액총이익률(IFRS),금융비용부담률(IFRS),경영자본순이익률(IFRS),총자본정상영업이익률(IFRS연결),자기자본순이익률(IFRS연결),총자본순이익률(IFRS연결),매출액총이익률(IFRS연결),금융비용부담률(IFRS연결),경영자본순이익률(IFRS연결)
(주)CMG제약,058820,2011/12,2.63,-6.89,-4.66,41.83,0.81,-4.86,2.37,-8.28,-5.58,41.83,0.8,-5.77
(주)CMG제약,058820,2012/12,-9.57,-27.63,-16.31,28.34,2.46,-16.69,-9.96,-26.84,-15.78,28.34,2.53,-16.06
(주)CMG제약,058820,2013/12,1.46,0.83,0.59,38.46,1.61,0.61,1.4,0.74,0.52,38.7,1.65,0.54
(주)CMG제약,058820,2014/12,0.78,0.35,0.3,37.07,-0.69,0.31,0.78,0.32,0.28,37.07,-0.65,0.28
(주)CMG제약,058820,2015/12,-4.48,-7.61,-6.36,36.26,-0.11,-6.39,-4.49,-7.62,-6.37,36.26,-0.11,-6.4
(주)CMG제약,058820,2016/12,2.07,2.29,2.02,40.36,-0.47,2.04,2.07,2.34,2.06,40.36,-0.47,2.08
(주)CMG제약,058820,2017/12,1.41,2.85,2.57,43.43,-2.72,2.64,1.41,2.85,2.57,43.43,-2.72,2.64
(주)CMG제약,058820,2018/12,2.29,6.01,5.42,45.6,-1.01,5.76,2.29,6.01,5.42,45.6,-1.01,5.76
(주)CMG제약,058820,2019/12,1.7,2.15,1.99,49.34,-1.86,2.15,1.7,2.15,1.99,49.34,-1.86,2.15
(주)CMG제약,058820,2020/12,0.94,0.12,0.11,48.42,-1.27,0.12,,,,,,
(주)CMG제약,058820,2021/12,0.84,1.73,1.6,48.15,-2.54,1.94,,,,,,
(주)ES큐브,050120,2011/12,-4.47,-7.22,-6.3,30.21,-1.04,-8.16,-6.58,-12.61,-8.65,27.92,-0.98,-8.91
(주)ES큐브,050120,2012/12,1.44,1.31,1.15,28.36,-0.68,1.53,0.19,0.29,-0.78,28.02,-0.65,-0.79
(주)ES큐브,050120,2013/12,0.47,-35.29,-32,25.75,-0.66,-41.09,-2.49,-40.47,-35.23,24.76,-0.52,-35.62
(주)ES큐브,050120,2014/12,0.71,-5.68,-5.22,17.79,-1.81,-7.76,0.33,1.15,-1.19,21.42,-1.43,-1.2
(주)ES큐브,050120,2015/12,5.15,8.39,7.85,16.68,-1.06,14.69,-7.24,1.56,-4.11,27.8,-0.54,-4.32
(주)ES큐브,050120,2016/12,3.11,30.46,23.05,18.24,-0.64,46.7,2.69,38.07,26.79,28.68,-0.61,38.53
(주)ES큐브,050120,2017/12,2.07,1.73,1.16,17.81,0.78,2.36,2.13,2.41,1.65,27.1,1.01,2.76
