회사명,거래소코드,회계년도,자산(*)(요약)(IFRS),자본(*)(요약)(IFRS),차입금의존도(IFRS)(백만원),유보율(IFRS),현금비율(IFRS),부채비율(IFRS),당좌비율(IFRS),순운전자본비율(IFRS),*이자비용(요약)(IFRS)(백만원),* (정상)영업손익(보고서기재)(요약)(IFRS)(백만원),감가상각비(IFRS)(천원),자산(*)(요약)(IFRS연결),자본(*)(요약)(IFRS연결),차입금의존도(IFRS연결),유보율(IFRS연결)(백만원),현금비율(IFRS연결)(백만원),부채비율(IFRS연결),당좌비율(IFRS연결),순운전자본비율(IFRS연결),*이자비용(요약)(IFRS연결)(백만원),* (정상)영업손익(보고서기재)(요약)(IFRS연결)(백만원),감가상각비(IFRS연결)(천원),EBITDA(IFRS)(백만원)
(주)CMG제약,058820,2011/12,27549,18291,16.74,-16.28,15.12,50.61,164.32,27.75,181,715,67214,27305,18034,9.08,-17.45,15.1,51.41,165.03,28.23,181,640,71154,2055.1
(주)CMG제약,058820,2012/12,56989,31603,34.21,-4.27,70.11,80.33,661.93,70.91,543,-4045,88714,57108,31591,30.58,-4.31,68.81,80.77,649.98,70.6,543,-4206,100534,-2652.62
(주)CMG제약,058820,2013/12,55962,49048,2.53,13.24,394.76,14.1,611.84,58.54,1134,823,107402,55913,48997,2.53,13.12,394.63,14.11,610.74,58.5,1134,791,116267,1929.83
(주)CMG제약,058820,2014/12,58127,49067,2.65,13.28,101.3,18.46,269.08,33.8,123,446,179173,58068,49003,2.66,13.13,101.24,18.5,268.23,33.72,123,442,179173,1910.86
(주)CMG제약,058820,2015/12,56592,46873,0,6.17,29.02,20.74,236.06,30.9,80,-2571,270551,56533,46807,0.01,6.02,29,20.78,235.21,30.82,80,-2572,270551,-680.83
(주)CMG제약,058820,2016/12,110980,101108,0,86.02,23.52,9.76,792.17,62.75,0,1731,284184,110980,101108,0,86.02,23.52,9.76,792.17,62.75,0,1731,284184,3831.42
(주)CMG제약,058820,2017/12,109568,97944,0,79.9,34.9,11.87,673.66,64.2,0,1559,287488,109568,97944,0,79.9,34.9,11.87,673.66,64.2,0,1559,287488,3413.39
(주)CMG제약,058820,2018/12,114380,103982,0,90.99,158.5,10,856.94,63.71,0,2568,334950,114380,103982,0,90.99,158.5,10,856.94,63.71,0,2568,334950,4413.93
(주)CMG제약,058820,2019/12,192243,180158,0.15,159.42,199.55,6.71,1520.84,73.49,9,2604,449974,192243,180158,0.15,159.42,199.55,6.71,1520.84,73.49,9,2604,449974,4709.46
(주)CMG제약,058820,2020/12,195356,181131,0.25,160.82,58.94,7.85,959.3,67.74,23,1822,818950,,,,,,,,,,,,4257.89
(주)CMG제약,058820,2021/12,199175,184702,0.26,165.97,34.66,7.84,817.88,56.11,21,1660,778752,,,,,,,,,,,,4151.91
(주)ES큐브,050120,2011/12,45233,39144,0,236.81,31.15,15.56,380.23,30.83,15,-2080,192219,55477,39246,0.18,227.25,21.35,41.36,194.35,34.75,15,-3650,467957,1101.88
(주)ES큐브,050120,2012/12,44676,39881,0,240.97,68.9,12.02,471.49,27.76,32,646,169029,46282,39860,0.33,235.11,84.78,16.11,371.91,38.68,52,89,308915,4759.91
(주)ES큐브,050120,2013/12,47510,43713,0,139.57,339.36,8.69,1192.79,62.78,23,217,86665,47138,42372,0.32,128.55,278.73,11.25,883.95,73.67,31,-1165,214366,2926.81
(주)ES큐브,050120,2014/12,44914,41226,0,125.94,174.69,8.95,694.35,41.02,0,326,42534,56612,49628,4.74,128.93,425.42,14.07,668.53,71.03,8,171,272620,1515.98
(주)ES큐브,050120,2015/12,47124,44873,0,145.92,814.29,5.02,1238.36,44.14,0,2371,46394,55620,49654,3.47,133.16,492.89,12.01,639.55,64.37,342,-4060,368599,2693.37
(주)ES큐브,050120,2016/12,104460,69832,28.53,235.56,626.84,49.59,940.31,37.16,204,2360,200091,105165,71696,28.34,244.51,918.41,46.68,1275.25,45.15,241,2161,379256,2675.39
(주)ES큐브,050120,2017/12,104850,71398,27.28,71.54,529.21,46.85,1085.6,38.79,785,2170,450508,105892,72817,27.01,74.95,654.97,45.42,1153.05,44.7,785,2249,688563,2882.41
(주)ES큐브,050120,2018/12,108482,66519,32.7,64.61,49.78,63.08,75.59,-7.97,1482,691,380796,112431,70749,31.99,68.98,71.07,58.92,95.25,6.62,1484,-1211,719453,1500.86
(주)ES큐브,050120,2019/12,136065,53986,46.95,30.75,24.83,152.04,43.49,-22.41,3540,588,420310,463959,74039,14.85,34.11,48.38,526.65,152.69,27.78,3824,-2617,841263,1296.57
(주)ES큐브,050120,2020/12,81995,72950,3.74,7.02,15.15,12.4,82.48,-1,3207,1453,174657,714890,69498,0.99,1.9,2.11,928.65,59.7,-28.21,3335,10316,1067690,1752.83
(주)ES큐브,050120,2021/12,76173,65298,3.7,-4.03,36.98,16.65,116.07,2.08,533,2340,281138,1082732,115855,0.9,24.49,490.81,834.56,817.39,17.31,796,283,1702827,2706.19
(주)가비아,079940,2011/12,37296,24299,10.14,300.94,23.26,53.49,77.23,-7.26,361,3932,213589,64954,48666,5.82,351.5,86.37,33.47,207.27,22.99,367,8181,408878,6453.46
(주)가비아,079940,2012/12,51796,31165,22.11,385.88,26.07,66.2,88.78,-2.14,472,2949,615727,85245,58945,15.52,447.19,87.48,44.62,213.68,20.11,494,7620,732040,6647.2
(주)가비아,079940,2013/12,52152,34823,18.54,440.73,45.75,49.76,88.7,-2.36,406,3035,961664,91231,68600,11.69,534.07,82.18,32.99,248.8,24.57,445,7034,1113958,7314.15
(주)가비아,079940,2014/12,55984,38148,15.18,481.87,40.72,46.76,113.33,3.13,309,3451,988976,98544,75510,9.13,582.67,98,30.51,258.29,26.07,341,8383,1163320,7359.25
(주)가비아,079940,2015/12,57657,42470,9.54,545.74,106.22,35.76,180,13.44,160,4532,959343,105082,84096,5.72,664.04,175.75,24.95,395.42,37.14,175,11349,1164761,8509.74
(주)가비아,079940,2016/12,61161,45414,8.99,589.23,82.77,34.68,119.42,3.25,119,3982,1006022,125797,95952,7.47,699.68,124.81,31.1,288.81,31.68,150,12549,1284756,7985.21
(주)가비아,079940,2017/12,64986,47663,8.46,622.47,57.66,36.35,87.26,-3.4,117,3176,1040726,133383,99897,7.2,745.49,101.89,33.52,219.17,27.52,237,12712,1847809,7280.83
(주)가비아,079940,2018/12,69316,49833,9.38,654.53,64.26,39.1,101.65,0.43,159,4106,1066299,151441,114187,7.83,853.3,101.66,32.62,255.35,31.87,292,18188,1858503,8207
(주)가비아,079940,2019/12,82965,54084,17.27,717.34,46.45,53.4,67.14,-8.02,251,4889,1056985,199916,134959,17.58,1007.26,66.71,48.13,195.45,21.9,693,23737,2225833,12155.96
(주)가비아,079940,2020/12,98083,58360,22.89,780.52,45.21,68.07,80.56,-5.01,193,7130,1104161,260025,173204,19.38,1231,102.41,50.13,238.12,28.1,487,28545,2533745,14047.19
(주)가비아,079940,2021/12,107497,63744,25.79,855.57,21.41,68.64,94.19,-1.32,72,7608,1143351,302958,204590,18.93,1418.28,66.61,48.08,249.77,32,299,33095,2795936,14842.3
(주)가온칩스,399720,2018/12,,,,,,,,,,,,,,,,,,,,,,,
(주)가온칩스,399720,2019/12,,,,,,,,,,,,,,,,,,,,,,,
(주)가온칩스,399720,2020/12,25532,10875,0,2618.67,100.01,134.78,215.26,42.39,17,1974,88992,,,,,,,,,,,,2823.05
(주)가온칩스,399720,2021/12,36993,21862,3.72,363.75,40.71,69.21,216.66,43.54,93,6202,113948,,,,,,,,,,,,7432.29
(주)강스템바이오텍,217730,2013/12,,,,,,,,,,,,,,,,,,,,,,,
(주)강스템바이오텍,217730,2014/12,,,,,,,,,,,,,,,,,,,,,,,
(주)강스템바이오텍,217730,2015/12,24983,21237,4.27,207.4,211.66,17.64,625.9,63.77,948,-5125,74921,,,,,,,,,,,,-4439.56
(주)강스템바이오텍,217730,2016/12,47442,22977,32.77,223.31,59.67,106.48,1157.01,73.22,483,-9118,0,,,,,,,,,,,,-8279.15
(주)강스템바이오텍,217730,2017/12,44509,24668,28.31,203.58,82.11,80.43,564.65,45.64,1403,-11133,91611,47199,24482,30.19,202.13,61.46,92.79,369.34,40,1440,-11738,91787,-10425.01
(주)강스템바이오텍,217730,2018/12,66185,47945,23.39,360.46,16.89,38.04,315.67,45.73,881,-10525,82484,73194,47581,23.79,358.01,16.06,53.83,234.71,39.53,950,-11694,104546,-9776.66
(주)강스템바이오텍,217730,2019/12,98626,70845,19.62,488.19,32.42,39.21,327.53,35.32,832,-19411,73047,113644,68719,27.22,487.15,37.29,65.37,267.69,30.63,1077,-23154,105161,-18153.11
(주)강스템바이오텍,217730,2020/12,68097,51431,9.99,305.34,151.52,32.41,855.7,51.62,372,-16745,48074,82505,48639,22.01,306.83,81.67,69.63,363.72,39.45,561,-18725,112211,-14716.91
(주)강스템바이오텍,217730,2021/12,90180,70138,8.86,269.1,98.67,28.57,904.15,61.77,369,-21748,23260,103148,66003,18.74,258.23,33.56,56.28,287.41,41.57,761,-22736,39841,-18971.25
(주)강원에너지,114190,2011/11,53719,24502,0,858.89,52.8,119.24,151.33,35.19,17,6590,146668,,,,,,,,,,,,6903.51
(주)강원에너지,114190,2012/12,89258,36108,13.56,581.28,10.65,147.2,144.74,30.82,199,11611,161339,,,,,,,,,,,,11991.58
(주)강원에너지,114190,2013/12,72441,45877,4.35,624.37,111.08,57.9,223.89,48.31,179,3234,152186,,,,,,,,,,,,3620.42
(주)강원에너지,114190,2014/12,67038,50445,0,601.07,72.26,32.89,283.74,48.05,42,1626,171168,,,,,,,,,,,,2191.8
(주)강원에너지,114190,2015/12,80939,54881,0,619.61,110.71,47.48,220.81,40.4,1,878,168983,85457,56584,11.7,609.27,169.33,51.03,327.11,51.57,2,447,169626,1469.25
(주)강원에너지,114190,2016/12,70850,53746,0,604.73,76.47,31.82,289.75,46.27,5,-902,101175,77187,55089,12.96,590.5,131.49,40.11,441.52,53.93,5,-1311,103745,-370
(주)강원에너지,114190,2017/12,87781,47117,3.21,517.81,37.01,86.31,180.46,34.03,60,-5421,80957,93179,48303,11.78,504.64,41.76,92.91,200.95,36.89,210,-5589,83527,-4918.72
(주)강원에너지,114190,2018/12,89620,49286,19.24,541.46,47.85,81.83,172.59,33.25,1521,532,75084,93846,50204,26.05,528.4,45.27,86.93,160.55,28.72,1695,341,77654,1048.79
(주)강원에너지,114190,2019/12,55106,22904,20.74,162.61,12.48,140.6,109.66,5.05,1839,-17151,251155,56602,21125,32.91,142.2,11.8,167.94,98.65,-0.52,2049,-17176,253725,-16321.52
(주)강원에너지,114190,2020/12,32998,17211,17,89.61,72.03,91.72,175.43,28.9,340,-8978,589837,32969,17096,17.02,88.33,71.79,92.84,171.06,27.47,467,-9226,592407,-7790.82
(주)강원에너지,114190,2021/12,41538,28594,9.83,118.91,58.98,45.27,263.99,47.51,229,1916,337904,,,,,,,,,,,,2715.88
(주)고려시멘트,198440,2014/12,,,,,,,,,,,,,,,,,,,,,,,
