회사명,거래소코드,회계년도,유형자산의 증가(*)(IFRS)(천원),유형자산의 증가(*)(IFRS연결)(천원)
(주)CMG제약,058820,2011/12,315898,374998
(주)CMG제약,058820,2012/12,571095,571095
(주)CMG제약,058820,2013/12,2728324,2728324
(주)CMG제약,058820,2014/12,9420915,9420915
(주)CMG제약,058820,2015/12,674433,674433
(주)CMG제약,058820,2016/12,798998,798998
(주)CMG제약,058820,2017/12,760587,760587
(주)CMG제약,058820,2018/12,2545783,2545783
(주)CMG제약,058820,2019/12,8175812,8175812
(주)CMG제약,058820,2020/12,6989506,
(주)CMG제약,058820,2021/12,2276258,
(주)ES큐브,050120,2011/12,775984,2714168
(주)ES큐브,050120,2012/12,631327,733881
(주)ES큐브,050120,2013/12,21881,386917
(주)ES큐브,050120,2014/12,1550,51640
(주)ES큐브,050120,2015/12,40541,320039
(주)ES큐브,050120,2016/12,4335933,5779392
(주)ES큐브,050120,2017/12,57944,2716970
(주)ES큐브,050120,2018/12,377749,457476
(주)ES큐브,050120,2019/12,116090,1138200
(주)ES큐브,050120,2020/12,16616,20607349
(주)ES큐브,050120,2021/12,45388,290865
(주)가비아,079940,2011/12,3901811,6259143
(주)가비아,079940,2012/12,22726327,25206644
(주)가비아,079940,2013/12,3023047,5436052
(주)가비아,079940,2014/12,3160910,6034560
(주)가비아,079940,2015/12,3594173,6531830
(주)가비아,079940,2016/12,3996147,12961107
(주)가비아,079940,2017/12,3920591,9327825
(주)가비아,079940,2018/12,6105657,10874987
(주)가비아,079940,2019/12,11220171,24455827
(주)가비아,079940,2020/12,12022028,47494521
(주)가비아,079940,2021/12,7370237,14260098
(주)가온칩스,399720,2018/12,,
(주)가온칩스,399720,2019/12,,
(주)가온칩스,399720,2020/12,1210307,
(주)가온칩스,399720,2021/12,2650224,
(주)강스템바이오텍,217730,2013/12,,
(주)강스템바이오텍,217730,2014/12,,
(주)강스템바이오텍,217730,2015/12,736482,
(주)강스템바이오텍,217730,2016/12,1360784,
(주)강스템바이오텍,217730,2017/12,7832682,8120255
(주)강스템바이오텍,217730,2018/12,1087254,1608345
(주)강스템바이오텍,217730,2019/12,7562797,15342462
(주)강스템바이오텍,217730,2020/12,773222,3038296
(주)강스템바이오텍,217730,2021/12,3406494,4630897
(주)강원에너지,114190,2011/11,1739438,
(주)강원에너지,114190,2012/12,873047,
(주)강원에너지,114190,2013/12,802099,
(주)강원에너지,114190,2014/12,6233148,
(주)강원에너지,114190,2015/12,796907,3933302
(주)강원에너지,114190,2016/12,177602,2345743
(주)강원에너지,114190,2017/12,120442,1198882
(주)강원에너지,114190,2018/12,50768,50768
(주)강원에너지,114190,2019/12,5976849,5976849
(주)강원에너지,114190,2020/12,388075,388075
(주)강원에너지,114190,2021/12,514620,
(주)고려시멘트,198440,2014/12,,
(주)고려시멘트,198440,2015/12,,
(주)고려시멘트,198440,2016/12,,
(주)고려시멘트,198440,2017/12,2026476,
(주)고려시멘트,198440,2018/12,4216508,
(주)고려시멘트,198440,2019/12,4999619,
(주)고려시멘트,198440,2020/12,2024244,
(주)고려시멘트,198440,2021/12,3982875,
(주)고바이오랩,348150,2019/12,56429,56429
(주)고바이오랩,348150,2020/12,124979,124979
(주)고바이오랩,348150,2021/12,5512265,5512265
(주)고영테크놀러지,098460,2011/12,2848780,2966382
(주)고영테크놀러지,098460,2012/12,1591743,1723136
(주)고영테크놀러지,098460,2013/12,454637,512594
(주)고영테크놀러지,098460,2014/12,7184495,7256659
(주)고영테크놀러지,098460,2015/12,1255128,1595056
(주)고영테크놀러지,098460,2016/12,5249914,5443364
(주)고영테크놀러지,098460,2017/12,1379215,2021642
(주)고영테크놀러지,098460,2018/12,16383377,16808992
(주)고영테크놀러지,098460,2019/12,5913642,7439009
(주)고영테크놀러지,098460,2020/12,1651744,2294898
(주)고영테크놀러지,098460,2021/12,6178651,6676346
(주)골드앤에스,035290,2011/12,135893,137318
(주)골드앤에스,035290,2012/12,485608,557403
(주)골드앤에스,035290,2013/12,285486,1903689
(주)골드앤에스,035290,2014/12,1150,174210
(주)골드앤에스,035290,2015/12,3470,115217
(주)골드앤에스,035290,2016/12,67924,67924
(주)골드앤에스,035290,2017/12,276097,300875
(주)골드앤에스,035290,2018/12,10913761,10913761
(주)골드앤에스,035290,2019/12,4016427,4016427
