회사명,거래소코드,회계년도,합계_기말인원(명),합계_년간총급여(천원),설립일,외국인_주식분포비율,보통주식비율
(주)CMG제약,058820,2011/12,135,2946000,2001/08/01,0.07,2.31
(주)CMG제약,058820,2012/12,134,4189102,2001/08/01,0.29,30.29
(주)CMG제약,058820,2013/12,136,4681291,2001/08/01,0.25,26.8
(주)CMG제약,058820,2014/12,164,6026717,2001/08/01,0.34,26.8
(주)CMG제약,058820,2015/12,156,6623703,2001/08/01,0.65,26.29
(주)CMG제약,058820,2016/12,160,7427559,2001/08/01,2.07,26.02
(주)CMG제약,058820,2017/12,200,8657720,2001/08/01,3.51,25.98
(주)CMG제약,058820,2018/12,222,10437080,2001/08/01,4.69,25.98
(주)CMG제약,058820,2019/12,241,12333687,2001/08/01,2.12,25.84
(주)CMG제약,058820,2020/12,237,11694031,2001/08/01,7.2,25.84
(주)CMG제약,058820,2021/12,248,12203864,2001/08/01,6.62,25.84
(주)ES큐브,050120,2011/12,237,7409431,1977/06/20,2.12,35.11
(주)ES큐브,050120,2012/12,236,7679527,1977/06/20,2.04,19.99
(주)ES큐브,050120,2013/12,100,6238629,1977/06/20,0.74,16.44
(주)ES큐브,050120,2014/12,27,2719032,1977/06/20,1.13,16.44
(주)ES큐브,050120,2015/12,39,1732216,1977/06/20,2.77,16.44
(주)ES큐브,050120,2016/12,30,1817790,1977/06/20,2.49,17.8
(주)ES큐브,050120,2017/12,35,1679258,1977/06/20,1.12,19.16
(주)ES큐브,050120,2018/12,30,1871951,1977/06/20,3.33,19.16
(주)ES큐브,050120,2019/12,30,1393653,1977/06/20,2.92,19.57
(주)ES큐브,050120,2020/12,24,1587772,1977/06/20,0.96,32.19
(주)ES큐브,050120,2021/12,25,1745232,1977/06/20,2.71,32.19
(주)가비아,079940,2011/12,191,6727753,1999/09/21,5.38,34.99
(주)가비아,079940,2012/12,211,7630844,1999/09/21,1.18,25.25
(주)가비아,079940,2013/12,228,9038848,1999/09/21,7.57,25.26
(주)가비아,079940,2014/12,247,10743968,1999/09/21,13.82,25.18
(주)가비아,079940,2015/12,262,11307667,1999/09/21,13.82,25.18
(주)가비아,079940,2016/12,268,12918948,1999/09/21,12.71,24.51
(주)가비아,079940,2017/12,275,13807203,1999/09/21,12.85,24.65
(주)가비아,079940,2018/12,280,14144843,1999/09/21,17.49,24.79
(주)가비아,079940,2019/12,277,15106463,1999/09/21,16.57,24.89
(주)가비아,079940,2020/12,298,15867332,1999/09/21,12.07,24.85
(주)가비아,079940,2021/12,302,17606199,1999/09/21,12.99,26.13
(주)가온칩스,399720,2018/12,,,2012/08/06,,
(주)가온칩스,399720,2019/12,,,2012/08/06,,
(주)가온칩스,399720,2020/12,,,2012/08/06,,
(주)가온칩스,399720,2021/12,,,2012/08/06,,
(주)강스템바이오텍,217730,2013/12,,,2010/10/29,,
(주)강스템바이오텍,217730,2014/12,,,2010/10/29,,
(주)강스템바이오텍,217730,2015/12,62,1870687,2010/10/29,0.01,22.95
(주)강스템바이오텍,217730,2016/12,79,5403170,2010/10/29,0.53,23.22
(주)강스템바이오텍,217730,2017/12,75,4101905,2010/10/29,0.68,21.51
(주)강스템바이오텍,217730,2018/12,89,4937403,2010/10/29,1.19,17.07
(주)강스템바이오텍,217730,2019/12,102,4894110,2010/10/29,2.78,13.02
(주)강스템바이오텍,217730,2020/12,93,4960000,2010/10/29,1.7,10.25
(주)강스템바이오텍,217730,2021/12,112,4748000,2010/10/29,1.38,7.69
(주)강원에너지,114190,2011/11,94,5054439,1976/02/06,0,45.42
(주)강원에너지,114190,2012/12,101,6039465,1976/02/06,0.29,38.58
(주)강원에너지,114190,2013/12,112,5376179,1976/02/06,0.16,46.65
(주)강원에너지,114190,2014/12,147,6121173,1976/02/06,0.41,53.04
(주)강원에너지,114190,2015/12,133,6157724,1976/02/06,0.32,52.87
(주)강원에너지,114190,2016/12,126,5946663,1976/02/06,1.05,52.87
(주)강원에너지,114190,2017/12,137,6390882,1976/02/06,0.66,52.4
(주)강원에너지,114190,2018/12,119,5523442,1976/02/06,2.08,42.25
(주)강원에너지,114190,2019/12,107,6121786,1976/02/06,1.9,11.47
(주)강원에너지,114190,2020/12,54,2133173,1976/02/06,0.47,21.43
(주)강원에너지,114190,2021/12,51,2723143,1976/02/06,0.32,45.78
(주)고려시멘트,198440,2014/12,,,2014/04/28,0.06,8.1
(주)고려시멘트,198440,2015/12,,,2014/04/28,0.08,6.8
(주)고려시멘트,198440,2016/12,,,2014/04/28,0.04,6.8
(주)고려시멘트,198440,2017/12,110,6376196,2014/04/28,0.06,79.82
(주)고려시멘트,198440,2018/12,112,6724242,2014/04/28,0.77,72.05
(주)고려시멘트,198440,2019/12,97,6829896,2014/04/28,0.57,58.97
(주)고려시멘트,198440,2020/12,95,6204229,2014/04/28,0.37,58.3
(주)고려시멘트,198440,2021/12,88,5988132,2014/04/28,0.36,42.71
(주)고바이오랩,348150,2019/12,,,2014/08/11,,
(주)고바이오랩,348150,2020/12,39,2090064,2014/08/11,0.44,38.56
(주)고바이오랩,348150,2021/12,48,2487879,2014/08/11,2.2,33.53
(주)고영테크놀러지,098460,2011/12,162,7594000,2002/04/25,23.39,17.45
(주)고영테크놀러지,098460,2012/12,202,11707000,2002/04/25,17.01,18.9
(주)고영테크놀러지,098460,2013/12,224,14585421,2002/04/25,17.83,18.46
(주)고영테크놀러지,098460,2014/12,284,18102000,2002/04/25,38.7,18.09
(주)고영테크놀러지,098460,2015/12,307,19882000,2002/04/25,37.83,18.73
(주)고영테크놀러지,098460,2016/12,315,23001000,2002/04/25,40.54,18.16
(주)고영테크놀러지,098460,2017/12,340,28134000,2002/04/25,52.18,17.47
(주)고영테크놀러지,098460,2018/12,408,31415000,2002/04/25,54.47,21.04
(주)고영테크놀러지,098460,2019/12,473,33622000,2002/04/25,61.33,20.98
(주)고영테크놀러지,098460,2020/12,434,26757000,2002/04/25,65.74,20.53
(주)고영테크놀러지,098460,2021/12,490,34121000,2002/04/25,65.17,20.5
(주)골드앤에스,035290,2011/12,161,3620750,1994/11/14,0.54,14.93
(주)골드앤에스,035290,2012/12,157,5989105,1994/11/14,1.42,12.67
(주)골드앤에스,035290,2013/12,114,4724666,1994/11/14,0.18,12.61
(주)골드앤에스,035290,2014/12,74,3448917,1994/11/14,0.28,19.93
(주)골드앤에스,035290,2015/12,52,1175149,1994/11/14,0.95,43.97
(주)골드앤에스,035290,2016/12,60,1494515,1994/11/14,0.08,48.99
(주)골드앤에스,035290,2017/12,47,1175639,1994/11/14,0.16,22.87
(주)골드앤에스,035290,2018/12,61,1978617,1994/11/14,0.81,12.61
(주)골드앤에스,035290,2019/12,49,1541632,1994/11/14,1.11,16.84
(주)골드앤에스,035290,2020/12,16,1301761,1994/11/14,0.69,71.86
(주)골드앤에스,035290,2021/12,88,2538261,1994/11/14,0.03,71.59
(주)골드퍼시픽,038530,2011/12,59,1628559,1997/06/24,11.21,17.37
(주)골드퍼시픽,038530,2012/12,70,1833000,1997/06/24,11.92,16.75
(주)골드퍼시픽,038530,2013/12,56,1743000,1997/06/24,9.81,9.99
(주)골드퍼시픽,038530,2014/12,22,1153000,1997/06/24,8.05,21.29
(주)골드퍼시픽,038530,2015/12,45,722000,1997/06/24,0.32,7.43
(주)골드퍼시픽,038530,2016/12,96,1632000,1997/06/24,0.15,7.93
(주)골드퍼시픽,038530,2017/12,30,2177000,1997/06/24,0,16.24
(주)골드퍼시픽,038530,2018/12,26,1027000,1997/06/24,6.04,19.15
(주)골드퍼시픽,038530,2019/12,56,1418000,1997/06/24,5.39,31.02
(주)골드퍼시픽,038530,2020/12,27,1503000,1997/06/24,1.83,15.87
(주)골드퍼시픽,038530,2021/12,59,1568000,1997/06/24,1.95,15.31
(주)골프존,215000,2015/12,266,12186000,2015/03/03,5.41,55.39
(주)골프존,215000,2016/12,280,13649000,2015/03/03,7.65,53.75
(주)골프존,215000,2017/12,244,13560000,2015/03/03,6.39,53.81
(주)골프존,215000,2018/12,470,17645000,2015/03/03,5.32,53.71
(주)골프존,215000,2019/12,398,24164000,2015/03/03,8.18,53.61
(주)골프존,215000,2020/12,425,26351000,2015/03/03,8.3,53.37
(주)골프존,215000,2021/12,459,32671000,2015/03/03,21.75,39.05
