회사명,거래소코드,회계년도,[제조]      이익잉여금(결손금)(요약)(IFRS)(백만원),[제조]      이익잉여금(결손금)(요약)(IFRS연결)(백만원),[제조]자산(*)(요약)(IFRS)(백만원),[제조]자산(*)(요약)(IFRS연결)(백만원),[제조]영업활동으로 인한 현금흐름(간접법)(*)(요약)(IFRS)(백만원),[제조]영업활동으로 인한 현금흐름(간접법)(*)(요약)(IFRS연결)(백만원),[제조]매출액(수익)(요약)(IFRS)(백만원),[제조]매출액(수익)(요약)(IFRS연결)(백만원)
(주)CMG제약,058820,2011/12,-44971,-45215,27549,27305,-2488,-2560,17752,17752
(주)CMG제약,058820,2012/12,-52369,-52380,56989,57108,-1453,-1573,16255,16255
(주)CMG제약,058820,2013/12,-52151,-52202,55962,55913,-3891,-3939,20322,20402
(주)CMG제약,058820,2014/12,-52330,-52394,58127,58068,730,725,22753,22753
(주)CMG제약,058820,2015/12,-56348,-56414,56592,56533,2411,2410,27042,27042
(주)CMG제약,058820,2016/12,-54547,-54547,110980,110980,3321,3321,32970,32970
(주)CMG제약,058820,2017/12,-3398,-3398,109568,109568,1948,1948,41536,41536
(주)CMG제약,058820,2018/12,2309,2309,114380,114380,887,887,49865,49865
(주)CMG제약,058820,2019/12,5055,5055,192243,192243,2823,2823,58623,58623
(주)CMG제약,058820,2020/12,5638,,195356,,2944,,64460,
(주)CMG제약,058820,2021/12,8791,,199175,,5629,,69475,
(주)ES큐브,050120,2011/12,-3118,-4570,45233,55477,1625,1108,41700,53380
(주)ES큐브,050120,2012/12,488,-101,44676,46282,4619,5225,44178,55971
(주)ES큐브,050120,2013/12,-13964,-16064,47510,47138,4509,2591,45823,58597
(주)ES큐브,050120,2014/12,-2486,-1703,44914,56612,2934,2889,37188,44460
(주)ES큐브,050120,2015/12,3646,1508,47124,55620,3266,-2778,36887,42153
(주)ES큐브,050120,2016/12,21107,23227,104460,105165,3735,1241,34818,34289
