회사명,거래소코드,회계년도,자본금회전률(IFRS),유형자산회전율(IFRS),재고자산회전률(IFRS),자기자본회전률(IFRS),타인자본회전률(IFRS),총자본회전률(IFRS),자본금회전률(IFRS연결),유형자산회전율(IFRS연결),재고자산회전률(IFRS연결),자기자본회전률(IFRS연결),타인자본회전률(IFRS연결),총자본회전률(IFRS연결)
(주)CMG제약,058820,2011/12,0.84,1.78,6.42,0.97,2.01,0.65,0.84,1.77,6.42,0.97,2.01,0.66
(주)CMG제약,058820,2012/12,0.59,1.72,5.71,0.65,0.94,0.38,0.59,1.71,5.71,0.66,0.93,0.39
(주)CMG제약,058820,2013/12,0.53,2.03,5.37,0.5,1.26,0.36,0.53,2.03,5.39,0.51,1.26,0.36
(주)CMG제약,058820,2014/12,0.53,1.54,4.77,0.46,2.85,0.4,0.53,1.54,4.77,0.46,2.85,0.4
(주)CMG제약,058820,2015/12,0.62,1.48,5.22,0.56,2.88,0.47,0.62,1.48,5.22,0.56,2.88,0.47
(주)CMG제약,058820,2016/12,0.67,1.9,5.56,0.45,3.37,0.39,0.67,1.9,5.56,0.45,3.36,0.39
(주)CMG제약,058820,2017/12,0.76,2.51,5.81,0.42,3.86,0.38,0.76,2.51,5.81,0.42,3.86,0.38
(주)CMG제약,058820,2018/12,0.92,2.98,6.05,0.49,4.53,0.45,0.92,2.98,6.05,0.49,4.53,0.45
(주)CMG제약,058820,2019/12,0.95,2.83,6.65,0.41,5.21,0.38,0.95,2.83,6.65,0.41,5.21,0.38
(주)CMG제약,058820,2020/12,0.93,2.39,5.35,0.36,4.9,0.33,,,,,,
(주)CMG제약,058820,2021/12,1,2.31,4.92,0.38,4.84,0.35,,,,,,
(주)ES큐브,050120,2011/12,3.59,27.77,73.04,1.03,7.05,0.9,4.59,12.37,10.05,1.36,3.29,0.96
(주)ES큐브,050120,2012/12,3.79,31.52,111.17,1.12,8.12,0.98,4.79,17.59,11.55,1.4,8.72,1.21
(주)ES큐브,050120,2013/12,3.06,39.66,109.46,1.1,10.67,0.99,3.91,21.87,10.55,1.43,10.48,1.25
(주)ES큐브,050120,2014/12,2.04,47.82,107.59,0.88,9.94,0.8,2.44,19.86,7.2,0.97,7.57,0.86
(주)ES큐브,050120,2015/12,2.02,59.65,111.32,0.86,12.42,0.8,2.31,19.76,6.55,0.85,6.51,0.75
(주)ES큐브,050120,2016/12,1.78,13.21,85.07,0.61,1.89,0.46,1.76,7.59,4.82,0.57,1.74,0.43
