회사명,거래소코드,회계년도,당기순이익(손실)(요약)(IFRS)(백만원),당기순이익(손실)(요약)(IFRS연결)(백만원),자산(*)(요약)(IFRS)(백만원),자산(*)(요약)(IFRS연결)(백만원),부채(*)(요약)(IFRS)(백만원),부채(*)(요약)(IFRS연결)(백만원)
(주)DB하이텍,000990,2011/12,-93084,-97947,1183957,1199044,892248,890982
(주)DB하이텍,000990,2012/12,-32122,-31341,1149069,1157755,874516,866862
(주)DB하이텍,000990,2013/12,-73243,-83047,1049495,1058392,852207,853635
(주)DB하이텍,000990,2014/12,-58320,-77009,1001960,984877,865856,864174
(주)DB하이텍,000990,2015/12,127470,126733,1005674,984644,728011,730586
(주)DB하이텍,000990,2016/12,88002,88344,1006371,986789,641920,644871
(주)DB하이텍,000990,2017/12,74402,110175,977575,993951,536028,538153
(주)DB하이텍,000990,2018/12,95087,86829,1050696,1066534,508139,508142
(주)DB하이텍,000990,2019/12,121160,104637,1089401,1088890,444096,444239
(주)DB하이텍,000990,2020/12,165658,166026,1179257,1178581,384020,383997
(주)DB하이텍,000990,2021/12,316920,316892,1548224,1549938,442263,443888
(주)HJ중공업,097230,2011/12,-116272,-96920,5857119,7036680,3982242,5169832
(주)HJ중공업,097230,2012/12,13082,-53214,5938108,6585093,4074579,4869577
(주)HJ중공업,097230,2013/12,-212716,-190193,5839633,6683379,4035024,5044381
(주)HJ중공업,097230,2014/12,-225739,-299811,5469810,6470284,3707924,4897208
(주)HJ중공업,097230,2015/12,-260118,-260925,4638381,5914637,3260852,4546048
(주)HJ중공업,097230,2016/12,-334429,-334446,3921561,5256464,3017411,4361281
(주)HJ중공업,097230,2017/12,-299028,-277978,3312303,4206655,2748893,3629457
(주)HJ중공업,097230,2018/12,-963474,-1283647,2388369,2733620,2787299,3441806
(주)HJ중공업,097230,2019/12,-73654,306169,2465650,2470222,2218378,2225228
(주)HJ중공업,097230,2020/12,76553,78346,2189125,2193855,1868707,1873852
(주)HJ중공업,097230,2021/12,-139995,-139844,2381044,2385236,1948846,1953231
(주)MH에탄올,023150,2011/12,3352,-4357,135927,134207,79766,91540
(주)MH에탄올,023150,2012/12,2572,287,139201,134386,80488,94708
(주)MH에탄올,023150,2013/12,-11627,7028,122521,129698,75401,83812
(주)MH에탄올,023150,2014/12,4618,-203,85254,85535,32746,32746
(주)MH에탄올,023150,2015/12,7745,7779,78691,78996,21122,21112
(주)MH에탄올,023150,2016/12,8135,8145,72025,72340,8768,8758
(주)MH에탄올,023150,2017/12,5903,4308,107437,500180,42738,393343
(주)MH에탄올,023150,2018/12,6553,-12033,109657,440178,41185,348592
(주)MH에탄올,023150,2019/12,-5005,-7552,101059,451474,41581,372085
(주)MH에탄올,023150,2020/12,1156,3803,97516,449679,39906,369254
(주)MH에탄올,023150,2021/12,4939,8689,98741,451461,40683,366757
(주)SH에너지화학,002360,2011/12,3164,1801,102383,104711,37885,39468
(주)SH에너지화학,002360,2012/12,1080,211,102493,103690,37604,38809
(주)SH에너지화학,002360,2013/12,4842,4607,109985,110489,40203,40890
(주)SH에너지화학,002360,2014/12,15570,16733,109098,110741,25694,26504
(주)SH에너지화학,002360,2015/12,12639,12591,114048,115521,23308,23875
(주)SH에너지화학,002360,2016/12,17574,18029,122957,124489,19874,20400
(주)SH에너지화학,002360,2017/12,8905,9879,123262,125312,17544,17619
(주)SH에너지화학,002360,2018/12,2767,2034,120896,122435,16830,17044
(주)SH에너지화학,002360,2019/12,-3152,-3090,121126,123416,23740,24416
(주)SH에너지화학,002360,2020/12,-7219,-6946,116570,117357,26753,27348
(주)SH에너지화학,002360,2021/12,753,611,118424,119629,27176,27890
(주)SIMPAC,009160,2011/12,21196,24977,296953,310879,141120,141938
(주)SIMPAC,009160,2012/12,22517,19286,307367,318666,129536,130805
(주)SIMPAC,009160,2013/12,19196,20044,349837,361986,151936,153155
(주)SIMPAC,009160,2014/12,10219,14312,329326,381939,125421,162814
(주)SIMPAC,009160,2015/12,19449,16450,369349,422833,149261,190826
(주)SIMPAC,009160,2016/12,16445,16184,366245,417865,137286,177449
(주)SIMPAC,009160,2017/12,7134,12896,343005,381158,119223,140332
(주)SIMPAC,009160,2018/12,62381,69199,628334,681751,217215,246718
(주)SIMPAC,009160,2019/12,11507,9488,608693,679146,189477,237950
(주)SIMPAC,009160,2020/12,26302,34139,656622,737278,222410,273292
(주)SIMPAC,009160,2021/12,65314,90833,796760,903230,305675,356567
(주)SNT에너지,100840,2011/12,-4156,,276512,,115916,
(주)SNT에너지,100840,2012/12,9088,,292802,,109496,
(주)SNT에너지,100840,2013/12,16190,,311675,,113511,
(주)SNT에너지,100840,2014/12,11264,,304512,,96799,
(주)SNT에너지,100840,2015/12,27030,,316196,,84796,
(주)SNT에너지,100840,2016/12,1660,,348042,,118243,
(주)SNT에너지,100840,2017/12,4582,,300267,,66449,
(주)SNT에너지,100840,2018/12,1825,,280992,,49715,
(주)SNT에너지,100840,2019/12,14579,15452,331391,333897,85846,88942
(주)SNT에너지,100840,2020/12,9407,9788,332066,335352,95507,99579
(주)SNT에너지,100840,2021/12,12938,12503,322124,332143,76640,87294
(주)SNT홀딩스,036530,2011/12,5766,87197,388124,2124828,285,813821
(주)SNT홀딩스,036530,2012/12,9011,63254,388965,2074904,353,756881
(주)SNT홀딩스,036530,2013/12,8018,53763,397336,2149176,484,774811
(주)SNT홀딩스,036530,2014/12,6892,66985,399244,2039389,381,683348
(주)SNT홀딩스,036530,2015/12,27766,116420,430584,2169311,8659,640062
(주)SNT홀딩스,036530,2016/12,6923,10147,427002,2210178,319,679286
(주)SNT홀딩스,036530,2017/12,4172,25863,425435,2146175,299,626882
(주)SNT홀딩스,036530,2018/12,6218,73732,422805,2113835,232,610559
(주)SNT홀딩스,036530,2019/12,9244,124509,417173,2236679,233,610746
(주)SNT홀딩스,036530,2020/12,22951,77889,423961,2270486,277,652957
(주)SNT홀딩스,036530,2021/12,16540,151815,425705,2372324,687,592194
(주)STX,011810,2011/12,84657,222363,3302248,5234175,2137600,3318233
(주)STX,011810,2012/12,-23863,-490928,3226878,5067029,2103344,3560390
(주)STX,011810,2013/12,-1646014,-1595630,1086567,1342520,1608657,1852183
(주)STX,011810,2014/12,334488,380584,1070433,1255002,1015539,1161340
(주)STX,011810,2015/12,-53449,-48982,1057543,1267224,985227,1194882
(주)STX,011810,2016/12,-456150,-457446,627686,707709,956569,1038305
(주)STX,011810,2017/12,336179,334386,520393,627542,475683,584982
(주)STX,011810,2018/12,5024,9107,446758,554061,384545,490033
(주)STX,011810,2019/12,-37142,-33218,462734,560107,412118,503816
(주)STX,011810,2020/12,-16578,-20448,362854,617563,336998,535834
(주)STX,011810,2021/12,-16136,-23318,389174,676149,329094,553619
(주)TCC스틸,002710,2011/12,6829,4558,407744,454330,202127,228888
(주)TCC스틸,002710,2012/12,4206,125,438643,547014,228887,321015
(주)TCC스틸,002710,2013/12,392,-19956,444205,543709,234119,337970
(주)TCC스틸,002710,2014/12,1023,-15814,461298,551001,251204,361963
(주)TCC스틸,002710,2015/12,-140083,-110219,330652,376395,254096,290382
(주)TCC스틸,002710,2016/12,15468,16949,250878,282915,158255,179577
(주)TCC스틸,002710,2017/12,-2329,1504,248896,278693,159269,177777
(주)TCC스틸,002710,2018/12,7565,9755,268136,304782,169784,192535
(주)TCC스틸,002710,2019/12,1996,5037,270265,314210,172764,197367
(주)TCC스틸,002710,2020/12,-3176,-1687,261205,306759,162955,185628
(주)TCC스틸,002710,2021/12,28951,28723,308992,366997,181400,211767
(주)강원랜드,035250,2011/12,393401,381175,2730284,2711402,452082,454039
(주)강원랜드,035250,2012/12,296504,306229,2915386,2906655,532225,534628
(주)강원랜드,035250,2013/12,293129,297596,3105430,3102037,581467,584340
(주)강원랜드,035250,2014/12,363816,359349,3380462,3375127,664287,669770
(주)강원랜드,035250,2015/12,430460,441629,3688060,3690792,690618,693037
(주)강원랜드,035250,2016/12,454999,454534,3975980,3978988,723242,726260
(주)강원랜드,035250,2017/12,437096,437541,4182527,4185657,681738,684422
(주)강원랜드,035250,2018/12,297320,297237,4229631,4231241,643178,644464
(주)강원랜드,035250,2019/12,335610,334654,4436462,4438119,718029,720360
(주)강원랜드,035250,2020/12,-278763,-275879,3635974,3641632,391230,394604
(주)강원랜드,035250,2021/12,-11911,-10582,3817619,3827273,568331,574481
(주)갤럭시아에스엠,011420,2011/12,3001,2909,40712,45110,16172,19836
(주)갤럭시아에스엠,011420,2012/12,224,389,40170,43979,15016,18072
(주)갤럭시아에스엠,011420,2013/12,-1420,-1737,34159,37637,11686,16144
(주)갤럭시아에스엠,011420,2014/12,-931,-255,40528,45274,17126,22069
(주)갤럭시아에스엠,011420,2015/12,2576,1864,67197,68687,16531,18948
(주)갤럭시아에스엠,011420,2016/12,-1563,-1563,55826,58445,10979,13598
(주)갤럭시아에스엠,011420,2017/12,-5900,-5900,48958,49831,8464,9337
