회사명,거래소코드,회계년도,금융원가(요약)(IFRS)(백만원),금융수익(요약)(IFRS)(백만원),법인세비용차감전순이익(손실)(요약)(IFRS)(백만원),금융원가(요약)(IFRS연결)(백만원),금융수익(요약)(IFRS연결)(백만원),법인세비용차감전순이익(손실)(요약)(IFRS연결)(백만원)
(주)DB하이텍,000990,2011/12,61389,12256,-89117,61390,12260,-93007
(주)DB하이텍,000990,2012/12,52419,16705,-48972,52419,16732,-48771
(주)DB하이텍,000990,2013/12,60809,5669,-72587,60809,5779,-81382
(주)DB하이텍,000990,2014/12,74035,3086,-66734,74035,3160,-88970
(주)DB하이텍,000990,2015/12,64326,2839,113917,64326,2857,115824
(주)DB하이텍,000990,2016/12,44354,7378,85134,44354,7379,85494
(주)DB하이텍,000990,2017/12,40858,23671,69571,40858,23672,104962
(주)DB하이텍,000990,2018/12,19469,6236,104373,19469,6237,96114
(주)DB하이텍,000990,2019/12,19925,7865,160488,19925,7931,143965
(주)DB하이텍,000990,2020/12,15859,8585,209287,15859,8672,209655
(주)DB하이텍,000990,2021/12,6282,7806,420468,6282,7829,420440
(주)HJ중공업,097230,2011/12,224788,63291,-102044,254297,66649,-81762
(주)HJ중공업,097230,2012/12,239393,75044,25011,269305,72044,-43042
(주)HJ중공업,097230,2013/12,186758,69086,-279611,208469,69547,-257139
(주)HJ중공업,097230,2014/12,176864,53700,-248098,215817,50069,-319669
(주)HJ중공업,097230,2015/12,173356,50082,-316603,215381,52521,-317241
(주)HJ중공업,097230,2016/12,141311,74876,-338323,165286,88234,-338330
(주)HJ중공업,097230,2017/12,145399,33106,-297386,163715,33402,-276333
(주)HJ중공업,097230,2018/12,114927,92601,-991271,115302,89216,-8407
(주)HJ중공업,097230,2019/12,128996,9473,-60968,129620,8274,-22227
(주)HJ중공업,097230,2020/12,60002,33992,11066,60018,33669,12884
(주)HJ중공업,097230,2021/12,56825,22108,-157820,57130,22112,-157668
(주)MH에탄올,023150,2011/12,4917,2522,4513,5698,1900,-3195
(주)MH에탄올,023150,2012/12,4911,1643,3316,5871,1025,1036
(주)MH에탄올,023150,2013/12,3195,287,-17949,3836,327,709
(주)MH에탄올,023150,2014/12,1723,364,4265,1723,405,4570
(주)MH에탄올,023150,2015/12,894,495,9990,894,531,10028
(주)MH에탄올,023150,2016/12,419,306,10440,419,321,10451
(주)MH에탄올,023150,2017/12,626,380,8320,4965,3104,6612
(주)MH에탄올,023150,2018/12,1168,484,8252,13111,2436,-9905
(주)MH에탄올,023150,2019/12,1134,303,-3444,10848,422,-5455
(주)MH에탄올,023150,2020/12,883,277,2675,12312,432,5062
(주)MH에탄올,023150,2021/12,805,242,5562,12251,315,11568
(주)SH에너지화학,002360,2011/12,2904,1599,3683,2293,1031,2320
(주)SH에너지화학,002360,2012/12,3328,1416,1663,2826,768,795
(주)SH에너지화학,002360,2013/12,3516,1400,5569,2250,704,5334
(주)SH에너지화학,002360,2014/12,2363,1756,19859,1484,1011,21022
(주)SH에너지화학,002360,2015/12,923,941,17659,924,941,17561
(주)SH에너지화학,002360,2016/12,789,1255,22811,790,1255,23294
(주)SH에너지화학,002360,2017/12,1685,563,11581,1687,563,12568
(주)SH에너지화학,002360,2018/12,408,1017,3422,409,1017,2709
(주)SH에너지화학,002360,2019/12,518,1089,-3370,401,948,-3304
(주)SH에너지화학,002360,2020/12,1971,865,-9614,1007,747,-9344
(주)SH에너지화학,002360,2021/12,774,1345,1354,428,1015,1220
(주)SIMPAC,009160,2011/12,2998,5054,29403,2998,4307,33984
(주)SIMPAC,009160,2012/12,2908,8360,27334,2908,7827,24369
(주)SIMPAC,009160,2013/12,3764,6479,26700,3764,6285,27808
(주)SIMPAC,009160,2014/12,4009,6243,13208,4585,3851,16768
(주)SIMPAC,009160,2015/12,2290,3765,25123,3403,2423,21963
(주)SIMPAC,009160,2016/12,2300,4122,21457,4090,3786,21702
(주)SIMPAC,009160,2017/12,4807,4224,11558,6447,2759,9577
(주)SIMPAC,009160,2018/12,3203,5145,64537,3716,3388,71517
(주)SIMPAC,009160,2019/12,4087,10275,14937,4725,6058,13075
(주)SIMPAC,009160,2020/12,11478,35239,33353,12688,31895,42862
(주)SIMPAC,009160,2021/12,23302,33162,88852,23842,29791,115662
(주)SNT에너지,100840,2011/12,7487,8717,-5366,,,
(주)SNT에너지,100840,2012/12,8121,6605,11628,,,
(주)SNT에너지,100840,2013/12,3793,10811,20782,,,
(주)SNT에너지,100840,2014/12,6528,9403,14795,,,
(주)SNT에너지,100840,2015/12,5336,8884,35734,,,
(주)SNT에너지,100840,2016/12,5260,11171,2994,,,
(주)SNT에너지,100840,2017/12,17597,4367,6037,,,
(주)SNT에너지,100840,2018/12,1985,8415,2389,,,
(주)SNT에너지,100840,2019/12,2951,7736,19172,2956,7736,20073
(주)SNT에너지,100840,2020/12,15340,5622,13177,15390,5713,13631
(주)SNT에너지,100840,2021/12,2542,12872,16737,2585,12872,16397
(주)SNT홀딩스,036530,2011/12,0,8980,4740,27692,29781,123027
(주)SNT홀딩스,036530,2012/12,0,1678,9955,28374,19970,80968
(주)SNT홀딩스,036530,2013/12,0,1303,8572,20573,27759,72180
(주)SNT홀딩스,036530,2014/12,0,1229,7336,23005,30963,75547
(주)SNT홀딩스,036530,2015/12,0,1217,36488,23235,36193,174721
(주)SNT홀딩스,036530,2016/12,0,1305,6521,32723,48100,36877
(주)SNT홀딩스,036530,2017/12,0,1371,4103,56734,27645,30330
(주)SNT홀딩스,036530,2018/12,0,1664,7054,23271,42991,103102
(주)SNT홀딩스,036530,2019/12,0,575,9570,17499,35631,146019
(주)SNT홀딩스,036530,2020/12,0,265,23237,40695,27077,102501
(주)SNT홀딩스,036530,2021/12,11,155,16643,7166,44403,207081
(주)STX,011810,2011/12,289370,222877,84026,350326,245158,151483
(주)STX,011810,2012/12,230433,174647,-45763,286469,195211,-520202
(주)STX,011810,2013/12,439134,250308,-1625720,453478,259481,-1496671
(주)STX,011810,2014/12,192724,540915,335500,208613,557774,361948
(주)STX,011810,2015/12,168573,124307,-53325,176559,144991,-58278
(주)STX,011810,2016/12,208286,100702,-456269,296332,118685,-457898
(주)STX,011810,2017/12,144329,447098,336179,165532,475877,334626
(주)STX,011810,2018/12,70769,74235,5024,81511,92963,9775
(주)STX,011810,2019/12,77292,65606,-37142,94920,71707,-32919
(주)STX,011810,2020/12,88142,62320,-16578,101462,67584,-20566
(주)STX,011810,2021/12,48427,31833,-16136,58859,38896,-19666
(주)TCC스틸,002710,2011/12,13141,9083,8515,15192,9087,5592
(주)TCC스틸,002710,2012/12,15844,11040,5251,17438,11122,354
(주)TCC스틸,002710,2013/12,15306,9242,1001,19513,8680,-24102
(주)TCC스틸,002710,2014/12,17961,9650,3228,23778,7524,-14942
(주)TCC스틸,002710,2015/12,113194,7077,-149784,37274,6086,-15211
(주)TCC스틸,002710,2016/12,21438,4753,20665,21893,4776,23634
(주)TCC스틸,002710,2017/12,8813,6125,420,9288,6203,5083
(주)TCC스틸,002710,2018/12,7466,3938,11104,7932,4264,15364
(주)TCC스틸,002710,2019/12,9485,3240,6373,9741,3539,10752
(주)TCC스틸,002710,2020/12,9458,3559,-3520,9704,3507,-464
(주)TCC스틸,002710,2021/12,13181,22956,37935,13463,22876,39235
(주)강원랜드,035250,2011/12,8264,40061,511896,8264,41956,499671
(주)강원랜드,035250,2012/12,6017,45208,397355,6085,46701,407080
(주)강원랜드,035250,2013/12,6371,40736,389346,6418,41537,393813
(주)강원랜드,035250,2014/12,247,44478,500402,252,45237,495935
(주)강원랜드,035250,2015/12,227,42410,582714,254,42751,593883
(주)강원랜드,035250,2016/12,731,41087,597325,741,41271,596861
(주)강원랜드,035250,2017/12,874,53479,565750,914,53619,566194
(주)강원랜드,035250,2018/12,10545,49793,410771,10565,49984,410688
(주)강원랜드,035250,2019/12,1819,83243,489881,1961,83433,488925
(주)강원랜드,035250,2020/12,11629,56850,-407385,11720,57013,-404501
(주)강원랜드,035250,2021/12,7371,66486,-16538,7539,66624,-14159
(주)갤럭시아에스엠,011420,2011/12,1447,662,4366,1427,682,4420
(주)갤럭시아에스엠,011420,2012/12,965,592,530,1005,627,852
(주)갤럭시아에스엠,011420,2013/12,535,299,-1511,623,380,-1541
(주)갤럭시아에스엠,011420,2014/12,1893,435,-948,1133,481,-138
(주)갤럭시아에스엠,011420,2015/12,519,573,3256,627,619,2606
(주)갤럭시아에스엠,011420,2016/12,235,318,-1728,266,350,-1783
(주)갤럭시아에스엠,011420,2017/12,389,347,-6534,407,304,-6534
(주)갤럭시아에스엠,011420,2018/12,116,156,-15132,116,172,-15457
(주)갤럭시아에스엠,011420,2019/12,99,259,-1362,74,160,-1120
(주)갤럭시아에스엠,011420,2020/12,82,72,1231,,,
(주)갤럭시아에스엠,011420,2021/12,79,75,3023,,,
(주)경농,002100,2011/12,2008,894,4859,2008,1356,2222
(주)경농,002100,2012/12,1622,122,9520,2321,603,13233
(주)경농,002100,2013/12,1877,349,17982,4595,1109,18185
(주)경농,002100,2014/12,1565,399,12292,3639,831,11230
(주)경농,002100,2015/12,1580,578,8537,3807,604,8740
(주)경농,002100,2016/12,1536,363,7205,3586,1030,7689
(주)경농,002100,2017/12,2477,528,14145,3681,1339,12931
(주)경농,002100,2018/12,1591,124,15263,3595,482,11114
(주)경농,002100,2019/12,2339,592,10239,4737,919,7388
(주)경농,002100,2020/12,1957,435,15243,3689,1151,17602
(주)경농,002100,2021/12,1595,979,28332,4001,1217,17476
(주)경동나비엔,009450,2011/12,392,530,12721,1035,780,12167
(주)경동나비엔,009450,2012/12,413,694,11723,1190,1094,11537
(주)경동나비엔,009450,2013/12,453,585,12791,1374,849,15511
(주)경동나비엔,009450,2014/12,1735,461,11328,2733,641,11021
(주)경동나비엔,009450,2015/12,2106,709,24599,3468,1150,22283
(주)경동나비엔,009450,2016/12,674,512,37231,1829,423,48861
(주)경동나비엔,009450,2017/12,587,435,21171,1575,380,36554
(주)경동나비엔,009450,2018/12,1622,1082,28806,3605,449,34398
(주)경동나비엔,009450,2019/12,1847,142,36573,4055,461,48373
(주)경동나비엔,009450,2020/12,1617,233,27349,3954,575,52375
(주)경동나비엔,009450,2021/12,1036,327,80241,3334,1087,102051
(주)경동도시가스,267290,2017/12,324,2030,23028,324,2046,23178
(주)경동도시가스,267290,2018/12,432,3685,44013,432,3680,44241
(주)경동도시가스,267290,2019/12,960,4224,31661,960,4226,32032
(주)경동도시가스,267290,2020/12,988,2893,24587,988,2892,24864
(주)경동도시가스,267290,2021/12,846,2829,29524,846,2818,29701
(주)경동인베스트,012320,2011/12,972,11916,66902,3379,10528,47716
(주)경동인베스트,012320,2012/12,981,13865,76905,2818,12724,63179
(주)경동인베스트,012320,2013/12,704,13919,60603,1816,13264,64159
(주)경동인베스트,012320,2014/12,700,12883,57569,2386,12736,90169
(주)경동인베스트,012320,2015/12,15962,8942,-6796,3056,9131,-27180
(주)경동인베스트,012320,2016/12,838,5227,26032,3622,5172,26126
(주)경동인베스트,012320,2017/12,0,2066,-192,4022,2797,47875
(주)경동인베스트,012320,2018/12,0,1681,1660,3675,2177,30689
(주)경동인베스트,012320,2019/12,21,1344,-1613,4153,2505,14710
(주)경동인베스트,012320,2020/12,19,976,1291,3004,2254,17403
(주)경동인베스트,012320,2021/12,18,894,493,2479,1557,16306
(주)경방,000050,2011/12,22478,283,-2205,24299,365,-1511
(주)경방,000050,2012/12,23354,179,-9446,25054,255,-10282
(주)경방,000050,2013/12,16843,74,19630,19006,156,19103
(주)경방,000050,2014/12,15009,1030,16935,17012,969,14189
(주)경방,000050,2015/12,12467,801,28221,13628,161,23310
(주)경방,000050,2016/12,9840,937,33916,11674,285,32416
