회사명,거래소코드,회계년도,매출액(수익)(요약)(IFRS)(백만원),연구개발비(IFRS)(천원),매출액(수익)(요약)(IFRS연결)(백만원),연구개발비(IFRS연결)(천원)
(주)DB하이텍,000990,2011/12,534317,60572750,552216,60572750
(주)DB하이텍,000990,2012/12,583902,51365000,590786,0
(주)DB하이텍,000990,2013/12,493752,44409000,493752,44409000
(주)DB하이텍,000990,2014/12,567718,41769000,567718,41769000
(주)DB하이텍,000990,2015/12,666595,49406000,666595,49406000
(주)DB하이텍,000990,2016/12,773140,53738000,773140,53738000
(주)DB하이텍,000990,2017/12,679738,54428000,679738,54428000
(주)DB하이텍,000990,2018/12,669279,52810000,669279,52810000
(주)DB하이텍,000990,2019/12,807416,55296000,807416,55296000
(주)DB하이텍,000990,2020/12,935920,58511000,935920,58511000
(주)DB하이텍,000990,2021/12,1214682,64222000,1214682,64222000
(주)HJ중공업,097230,2011/12,2316017,1475000,2891499,2655000
(주)HJ중공업,097230,2012/12,1980761,2287000,2549319,2287000
(주)HJ중공업,097230,2013/12,1927307,3371000,2529341,3371000
(주)HJ중공업,097230,2014/12,1799016,3455000,2520325,4495000
(주)HJ중공업,097230,2015/12,2041347,3055000,3115473,4012000
(주)HJ중공업,097230,2016/12,1928591,2144000,2813271,2695000
(주)HJ중공업,097230,2017/12,1737428,1854000,2452314,1854000
(주)HJ중공업,097230,2018/12,1750954,2209000,1697869,2209000
(주)HJ중공업,097230,2019/12,1609530,1734000,1628751,1734000
(주)HJ중공업,097230,2020/12,1694634,2034000,1695815,2034000
(주)HJ중공업,097230,2021/12,1705790,1317000,1706532,1317000
(주)MH에탄올,023150,2011/12,43207,0,44785,0
(주)MH에탄올,023150,2012/12,45489,0,59768,0
(주)MH에탄올,023150,2013/12,46299,0,62200,0
(주)MH에탄올,023150,2014/12,48984,0,48984,0
(주)MH에탄올,023150,2015/12,50386,0,50386,0
(주)MH에탄올,023150,2016/12,48897,0,48897,0
(주)MH에탄올,023150,2017/12,48270,0,51977,0
(주)MH에탄올,023150,2018/12,46943,0,72796,0
(주)MH에탄올,023150,2019/12,46992,0,80879,0
(주)MH에탄올,023150,2020/12,51277,0,94645,0
(주)MH에탄올,023150,2021/12,45892,0,102067,0
(주)SH에너지화학,002360,2011/12,172753,42624,173209,42624
(주)SH에너지화학,002360,2012/12,191908,57537,193950,57537
(주)SH에너지화학,002360,2013/12,229784,64707,231912,64707
(주)SH에너지화학,002360,2014/12,226971,117783,230913,117783
(주)SH에너지화학,002360,2015/12,213882,0,216441,0
(주)SH에너지화학,002360,2016/12,214380,161234,218398,0
(주)SH에너지화학,002360,2017/12,184673,82098,188115,0
(주)SH에너지화학,002360,2018/12,180753,96821,183599,0
(주)SH에너지화학,002360,2019/12,138162,100899,140853,0
(주)SH에너지화학,002360,2020/12,91354,118740,93584,0
(주)SH에너지화학,002360,2021/12,139284,0,139802,0
(주)SIMPAC,009160,2011/12,213868,0,215366,0
(주)SIMPAC,009160,2012/12,223855,0,225353,0
(주)SIMPAC,009160,2013/12,204528,0,205751,0
(주)SIMPAC,009160,2014/12,227492,0,263152,0
(주)SIMPAC,009160,2015/12,213152,0,269528,0
(주)SIMPAC,009160,2016/12,215839,0,267074,0
(주)SIMPAC,009160,2017/12,203150,0,230635,0
(주)SIMPAC,009160,2018/12,268864,0,306151,0
(주)SIMPAC,009160,2019/12,391971,0,430085,0
(주)SIMPAC,009160,2020/12,272087,0,365863,0
(주)SIMPAC,009160,2021/12,490855,0,613013,0
(주)SNT에너지,100840,2011/12,195319,871757,,
(주)SNT에너지,100840,2012/12,230708,785053,,
(주)SNT에너지,100840,2013/12,200751,793087,,
(주)SNT에너지,100840,2014/12,242747,1049685,,
(주)SNT에너지,100840,2015/12,260094,908085,,
(주)SNT에너지,100840,2016/12,254090,859808,,
(주)SNT에너지,100840,2017/12,184092,747653,,
(주)SNT에너지,100840,2018/12,139516,683800,,
(주)SNT에너지,100840,2019/12,202823,732767,213327,732767
(주)SNT에너지,100840,2020/12,229991,187866,237400,187866
(주)SNT에너지,100840,2021/12,165466,0,171088,0
(주)SNT홀딩스,036530,2011/12,2258,0,1663846,21515146
(주)SNT홀딩스,036530,2012/12,8718,0,1668750,19570131
(주)SNT홀딩스,036530,2013/12,8827,0,1576368,19877446
(주)SNT홀딩스,036530,2014/12,7702,0,1552375,17983091
(주)SNT홀딩스,036530,2015/12,8475,0,1612747,20645176
(주)SNT홀딩스,036530,2016/12,9818,0,1537700,18481535
(주)SNT홀딩스,036530,2017/12,7418,0,1508152,19561190
(주)SNT홀딩스,036530,2018/12,7292,0,1401307,17000641
