회사명,거래소코드,회계년도,[제조]      단기차입금(요약)(IFRS),[제조]      유동성장기부채(요약)(IFRS),[제조]      단기차입금(요약)(IFRS연결),[제조]      유동성장기부채(요약)(IFRS연결)
(주)DB하이텍,000990,2011/12,5398,702035,5398,702035
(주)DB하이텍,000990,2012/12,5142,461691,5142,461691
(주)DB하이텍,000990,2013/12,6452,380627,6452,380628
(주)DB하이텍,000990,2014/12,7547,259262,7547,259262
(주)DB하이텍,000990,2015/12,5219,120707,5219,120707
(주)DB하이텍,000990,2016/12,15254,124562,15254,124562
(주)DB하이텍,000990,2017/12,11286,28690,11286,28690
(주)DB하이텍,000990,2018/12,15891,11717,15891,11717
(주)DB하이텍,000990,2019/12,30550,29739,30550,29739
(주)DB하이텍,000990,2020/12,15034,56877,15210,56877
(주)DB하이텍,000990,2021/12,33620,36463,33620,36463
(주)HJ중공업,097230,2011/12,364466,826382,410598,1160752
(주)HJ중공업,097230,2012/12,311804,1201267,354648,1351456
(주)HJ중공업,097230,2013/12,291859,1534343,534025,1924102
(주)HJ중공업,097230,2014/12,318982,945403,489339,1242328
(주)HJ중공업,097230,2015/12,529090,1274163,660354,1611587
(주)HJ중공업,097230,2016/12,167724,783837,514563,1167460
(주)HJ중공업,097230,2017/12,105621,1677278,243789,2139067
(주)HJ중공업,097230,2018/12,104816,474508,104816,475257
(주)HJ중공업,097230,2019/12,0,925566,0,929062
(주)HJ중공업,097230,2020/12,0,150785,0,150785
(주)HJ중공업,097230,2021/12,0,150785,0,150785
(주)MH에탄올,023150,2011/12,63016,1203,0,68470
(주)MH에탄올,023150,2012/12,64484,476,68372,476
(주)MH에탄올,023150,2013/12,62913,1497,64376,2253
(주)MH에탄올,023150,2014/12,28450,226,28450,226
(주)MH에탄올,023150,2015/12,18000,136,18000,136
(주)MH에탄올,023150,2016/12,5000,136,5000,136
(주)MH에탄올,023150,2017/12,11203,136,41603,42160
(주)MH에탄올,023150,2018/12,10482,0,45739,9680
(주)MH에탄올,023150,2019/12,10693,0,46243,141398
(주)MH에탄올,023150,2020/12,9570,3750,44521,7137
(주)MH에탄올,023150,2021/12,14975,5000,45808,143194
(주)SH에너지화학,002360,2011/12,28921,0,28921,0
(주)SH에너지화학,002360,2012/12,24067,500,24067,500
(주)SH에너지화학,002360,2013/12,26982,500,26982,500
(주)SH에너지화학,002360,2014/12,9569,0,9569,0
(주)SH에너지화학,002360,2015/12,6823,0,6882,0
(주)SH에너지화학,002360,2016/12,3500,0,3560,0
(주)SH에너지화학,002360,2017/12,3500,0,3554,0
(주)SH에너지화학,002360,2018/12,3500,0,3500,0
(주)SH에너지화학,002360,2019/12,3500,0,3500,0
(주)SH에너지화학,002360,2020/12,3500,0,3500,0
(주)SH에너지화학,002360,2021/12,3500,4800,3500,4800
(주)SIMPAC,009160,2011/12,33556,0,33556,0
(주)SIMPAC,009160,2012/12,30338,0,30338,0
(주)SIMPAC,009160,2013/12,57162,2500,57162,2500
(주)SIMPAC,009160,2014/12,25004,3333,35004,3333
(주)SIMPAC,009160,2015/12,40000,2500,50482,2500
(주)SIMPAC,009160,2016/12,10000,30000,24591,30000
(주)SIMPAC,009160,2017/12,15000,35000,20000,35041
(주)SIMPAC,009160,2018/12,95000,8250,105000,8305
(주)SIMPAC,009160,2019/12,102000,0,126700,55
(주)SIMPAC,009160,2020/12,118000,0,142200,55
(주)SIMPAC,009160,2021/12,153000,0,177300,14
(주)SNT에너지,100840,2011/12,20000,0,,
(주)SNT에너지,100840,2012/12,0,0,,
(주)SNT에너지,100840,2013/12,0,0,,
(주)SNT에너지,100840,2014/12,0,0,,
(주)SNT에너지,100840,2015/12,0,0,,
(주)SNT에너지,100840,2016/12,0,0,,
(주)SNT에너지,100840,2017/12,0,0,,
(주)SNT에너지,100840,2018/12,0,0,,
(주)SNT에너지,100840,2019/12,0,0,0,83
(주)SNT에너지,100840,2020/12,0,0,0,79
(주)SNT에너지,100840,2021/12,0,0,0,236
(주)SNT홀딩스,036530,2011/12,0,0,83747,654
(주)SNT홀딩스,036530,2012/12,0,0,61475,5705
(주)SNT홀딩스,036530,2013/12,0,0,74401,5663
(주)SNT홀딩스,036530,2014/12,0,0,27084,6013
(주)SNT홀딩스,036530,2015/12,0,0,6947,494
(주)SNT홀딩스,036530,2016/12,0,0,6890,431
(주)SNT홀딩스,036530,2017/12,0,0,6520,192
(주)SNT홀딩스,036530,2018/12,0,0,6460,142
(주)SNT홀딩스,036530,2019/12,0,0,0,142
(주)SNT홀딩스,036530,2020/12,0,0,0,142
(주)SNT홀딩스,036530,2021/12,0,0,0,142
(주)STX,011810,2011/12,657305,334734,867790,381476
(주)STX,011810,2012/12,749942,540299,974176,592225
(주)STX,011810,2013/12,474021,350280,542454,350286
(주)STX,011810,2014/12,488720,40313,512227,40319
(주)STX,011810,2015/12,500659,36560,578844,36566
(주)STX,011810,2016/12,510241,185474,574539,185474
(주)STX,011810,2017/12,204108,75881,253322,75881
(주)STX,011810,2018/12,259918,2954,305981,2953
(주)STX,011810,2019/12,248602,10236,264271,12572
(주)STX,011810,2020/12,213280,15331,277547,19330
(주)STX,011810,2021/12,189225,4572,252281,15015
(주)TCC스틸,002710,2011/12,93982,7514,108094,8288
(주)TCC스틸,002710,2012/12,51793,23040,95312,39294
(주)TCC스틸,002710,2013/12,30523,32962,68381,34274
(주)TCC스틸,002710,2014/12,82192,70667,121547,108087
(주)TCC스틸,002710,2015/12,29011,0,40105,250
(주)TCC스틸,002710,2016/12,30606,0,40670,482
(주)TCC스틸,002710,2017/12,35704,86126,41668,86603
(주)TCC스틸,002710,2018/12,40134,2435,41720,2614
(주)TCC스틸,002710,2019/12,48255,74889,49412,74889
(주)TCC스틸,002710,2020/12,29932,66903,30932,71403
(주)TCC스틸,002710,2021/12,70215,1247,76518,2220
(주)강원랜드,035250,2011/12,0,0,0,0
(주)강원랜드,035250,2012/12,0,0,0,0
(주)강원랜드,035250,2013/12,0,0,0,0
(주)강원랜드,035250,2014/12,0,0,0,0
(주)강원랜드,035250,2015/12,0,0,0,0
(주)강원랜드,035250,2016/12,0,0,0,0
(주)강원랜드,035250,2017/12,0,0,0,0
(주)강원랜드,035250,2018/12,0,0,0,0
(주)강원랜드,035250,2019/12,0,0,0,0
(주)강원랜드,035250,2020/12,0,0,0,0
