회사명,거래소코드,회계년도,상장일
(주)DB하이텍,000990,2011/12,1975/12/12
(주)DB하이텍,000990,2012/12,1975/12/12
(주)DB하이텍,000990,2013/12,1975/12/12
(주)DB하이텍,000990,2014/12,1975/12/12
(주)DB하이텍,000990,2015/12,1975/12/12
(주)DB하이텍,000990,2016/12,1975/12/12
(주)DB하이텍,000990,2017/12,1975/12/12
(주)DB하이텍,000990,2018/12,1975/12/12
(주)DB하이텍,000990,2019/12,1975/12/12
(주)DB하이텍,000990,2020/12,1975/12/12
(주)DB하이텍,000990,2021/12,1975/12/12
(주)HJ중공업,097230,2011/12,2007/08/31
(주)HJ중공업,097230,2012/12,2007/08/31
(주)HJ중공업,097230,2013/12,2007/08/31
(주)HJ중공업,097230,2014/12,2007/08/31
(주)HJ중공업,097230,2015/12,2007/08/31
(주)HJ중공업,097230,2016/12,2007/08/31
(주)HJ중공업,097230,2017/12,2007/08/31
(주)HJ중공업,097230,2018/12,2007/08/31
(주)HJ중공업,097230,2019/12,2007/08/31
(주)HJ중공업,097230,2020/12,2007/08/31
(주)HJ중공업,097230,2021/12,2007/08/31
(주)MH에탄올,023150,2011/12,1996/12/24
(주)MH에탄올,023150,2012/12,1996/12/24
(주)MH에탄올,023150,2013/12,1996/12/24
(주)MH에탄올,023150,2014/12,1996/12/24
(주)MH에탄올,023150,2015/12,1996/12/24
(주)MH에탄올,023150,2016/12,1996/12/24
(주)MH에탄올,023150,2017/12,1996/12/24
(주)MH에탄올,023150,2018/12,1996/12/24
(주)MH에탄올,023150,2019/12,1996/12/24
(주)MH에탄올,023150,2020/12,1996/12/24
(주)MH에탄올,023150,2021/12,1996/12/24
(주)SH에너지화학,002360,2011/12,1985/12/23
(주)SH에너지화학,002360,2012/12,1985/12/23
(주)SH에너지화학,002360,2013/12,1985/12/23
(주)SH에너지화학,002360,2014/12,1985/12/23
(주)SH에너지화학,002360,2015/12,1985/12/23
(주)SH에너지화학,002360,2016/12,1985/12/23
(주)SH에너지화학,002360,2017/12,1985/12/23
(주)SH에너지화학,002360,2018/12,1985/12/23
(주)SH에너지화학,002360,2019/12,1985/12/23
(주)SH에너지화학,002360,2020/12,1985/12/23
(주)SH에너지화학,002360,2021/12,1985/12/23
(주)SIMPAC,009160,2011/12,1989/07/29
(주)SIMPAC,009160,2012/12,1989/07/29
(주)SIMPAC,009160,2013/12,1989/07/29
(주)SIMPAC,009160,2014/12,1989/07/29
(주)SIMPAC,009160,2015/12,1989/07/29
(주)SIMPAC,009160,2016/12,1989/07/29
(주)SIMPAC,009160,2017/12,1989/07/29
(주)SIMPAC,009160,2018/12,1989/07/29
(주)SIMPAC,009160,2019/12,1989/07/29
(주)SIMPAC,009160,2020/12,1989/07/29
(주)SIMPAC,009160,2021/12,1989/07/29
(주)SNT에너지,100840,2011/12,2008/02/22
(주)SNT에너지,100840,2012/12,2008/02/22
(주)SNT에너지,100840,2013/12,2008/02/22
(주)SNT에너지,100840,2014/12,2008/02/22
(주)SNT에너지,100840,2015/12,2008/02/22
(주)SNT에너지,100840,2016/12,2008/02/22
(주)SNT에너지,100840,2017/12,2008/02/22
(주)SNT에너지,100840,2018/12,2008/02/22
(주)SNT에너지,100840,2019/12,2008/02/22
(주)SNT에너지,100840,2020/12,2008/02/22
(주)SNT에너지,100840,2021/12,2008/02/22
(주)SNT홀딩스,036530,2011/12,2002/10/22
(주)SNT홀딩스,036530,2012/12,2002/10/22
(주)SNT홀딩스,036530,2013/12,2002/10/22
(주)SNT홀딩스,036530,2014/12,2002/10/22
(주)SNT홀딩스,036530,2015/12,2002/10/22
(주)SNT홀딩스,036530,2016/12,2002/10/22
(주)SNT홀딩스,036530,2017/12,2002/10/22
(주)SNT홀딩스,036530,2018/12,2002/10/22
(주)SNT홀딩스,036530,2019/12,2002/10/22
(주)SNT홀딩스,036530,2020/12,2002/10/22
(주)SNT홀딩스,036530,2021/12,2002/10/22
(주)STX,011810,2011/12,1990/09/12
(주)STX,011810,2012/12,1990/09/12
(주)STX,011810,2013/12,1990/09/12
(주)STX,011810,2014/12,1990/09/12
(주)STX,011810,2015/12,1990/09/12
(주)STX,011810,2016/12,1990/09/12
(주)STX,011810,2017/12,1990/09/12
(주)STX,011810,2018/12,1990/09/12
(주)STX,011810,2019/12,1990/09/12
(주)STX,011810,2020/12,1990/09/12
(주)STX,011810,2021/12,1990/09/12
(주)TCC스틸,002710,2011/12,1984/12/21
(주)TCC스틸,002710,2012/12,1984/12/21
(주)TCC스틸,002710,2013/12,1984/12/21
(주)TCC스틸,002710,2014/12,1984/12/21
(주)TCC스틸,002710,2015/12,1984/12/21
(주)TCC스틸,002710,2016/12,1984/12/21
(주)TCC스틸,002710,2017/12,1984/12/21
(주)TCC스틸,002710,2018/12,1984/12/21
(주)TCC스틸,002710,2019/12,1984/12/21
(주)TCC스틸,002710,2020/12,1984/12/21
(주)TCC스틸,002710,2021/12,1984/12/21
(주)강원랜드,035250,2011/12,2003/09/04
(주)강원랜드,035250,2012/12,2003/09/04
(주)강원랜드,035250,2013/12,2003/09/04
(주)강원랜드,035250,2014/12,2003/09/04
(주)강원랜드,035250,2015/12,2003/09/04
(주)강원랜드,035250,2016/12,2003/09/04
(주)강원랜드,035250,2017/12,2003/09/04
(주)강원랜드,035250,2018/12,2003/09/04
(주)강원랜드,035250,2019/12,2003/09/04
(주)강원랜드,035250,2020/12,2003/09/04
(주)강원랜드,035250,2021/12,2003/09/04
(주)갤럭시아에스엠,011420,2011/12,1989/11/14
(주)갤럭시아에스엠,011420,2012/12,1989/11/14
(주)갤럭시아에스엠,011420,2013/12,1989/11/14
(주)갤럭시아에스엠,011420,2014/12,1989/11/14
(주)갤럭시아에스엠,011420,2015/12,1989/11/14
(주)갤럭시아에스엠,011420,2016/12,1989/11/14
(주)갤럭시아에스엠,011420,2017/12,1989/11/14
(주)갤럭시아에스엠,011420,2018/12,1989/11/14
(주)갤럭시아에스엠,011420,2019/12,1989/11/14
(주)갤럭시아에스엠,011420,2020/12,1989/11/14
(주)갤럭시아에스엠,011420,2021/12,1989/11/14
(주)경농,002100,2011/12,1977/06/30
(주)경농,002100,2012/12,1977/06/30
(주)경농,002100,2013/12,1977/06/30
(주)경농,002100,2014/12,1977/06/30
(주)경농,002100,2015/12,1977/06/30
(주)경농,002100,2016/12,1977/06/30
(주)경농,002100,2017/12,1977/06/30
(주)경농,002100,2018/12,1977/06/30
(주)경농,002100,2019/12,1977/06/30
(주)경농,002100,2020/12,1977/06/30
