회사명,거래소코드,회계년도,[제조]      유형자산(요약)(IFRS)(백만원),[제조]      유형자산(요약)(IFRS연결)(백만원),[제조]매출액(수익)(요약)(IFRS)(백만원),[제조]매출액(수익)(요약)(IFRS연결)(백만원),[제조]자본(*)(요약)(IFRS)(백만원),[제조]자본(*)(요약)(IFRS연결)(백만원),[제조]자산(*)(요약)(IFRS)(백만원),[제조]자산(*)(요약)(IFRS연결)(백만원),[제조]* (정상)영업손익(보고서기재)(요약)(IFRS)(백만원),[제조]* (정상)영업손익(보고서기재)(요약)(IFRS연결)(백만원)
(주)DB하이텍,000990,2011/12,758180,758902,534317,552216,291709,308062,1183957,1199044,-39984,-43150
(주)DB하이텍,000990,2012/12,684941,685389,583902,590786,274553,290893,1149069,1157755,-14430,-15622
(주)DB하이텍,000990,2013/12,635765,636040,493752,493752,197287,204757,1049495,1058392,-9393,-9611
(주)DB하이텍,000990,2014/12,591653,591787,567718,567718,136104,120703,1001960,984877,45311,45560
(주)DB하이텍,000990,2015/12,533114,533140,666595,666595,277663,254057,1005674,984644,124373,124969
(주)DB하이텍,000990,2016/12,547688,547701,773140,773140,364450,341917,1006371,986789,171788,172428
(주)DB하이텍,000990,2017/12,555556,555567,679738,679738,441547,455798,977575,993951,142354,143195
(주)DB하이텍,000990,2018/12,597564,597570,669279,669279,542557,558392,1050696,1066534,112884,112993
(주)DB하이텍,000990,2019/12,616563,616574,807416,807416,645305,644651,1089401,1088890,181156,181292
(주)DB하이텍,000990,2020/12,674676,674684,935920,935920,795237,794585,1179257,1178581,239189,239335
(주)DB하이텍,000990,2021/12,657792,657795,1214682,1214682,1105961,1106050,1548224,1549938,398950,399107
(주)HJ중공업,097230,2011/12,1427510,3144355,2316017,2891499,1874877,1866848,5857119,7036680,59453,107974
(주)HJ중공업,097230,2012/12,1343556,2901480,1980761,2549319,1863529,1715516,5938108,6585093,28591,52914
(주)HJ중공업,097230,2013/12,1329680,2808246,1927307,2529341,1804609,1638998,5839633,6683379,-109107,-69574
(주)HJ중공업,097230,2014/12,1263266,2703561,1799016,2520325,1761886,1573076,5469810,6470284,-106249,-144988
(주)HJ중공업,097230,2015/12,1223488,2735463,2041347,3115473,1377529,1368589,4638381,5914637,-97810,-79370
(주)HJ중공업,097230,2016/12,1036188,2404052,1928591,2813271,904150,895183,3921561,5256464,49319,-79319
(주)HJ중공업,097230,2017/12,653140,1792322,1737428,2452314,563410,577198,3312303,4206655,86683,-116693
(주)HJ중공업,097230,2018/12,636673,638765,1750954,1697869,-398930,-708186,2388369,2733620,-66005,61676
(주)HJ중공업,097230,2019/12,613082,615117,1609530,1628751,247272,244994,2465650,2470222,77055,83839
(주)HJ중공업,097230,2020/12,594119,596098,1694634,1695815,320418,320003,2189125,2193855,51087,51629
(주)HJ중공업,097230,2021/12,921567,923488,1705790,1706532,432198,432005,2381044,2385236,-109186,-108991
(주)MH에탄올,023150,2011/12,35173,75266,43207,44785,56161,42667,135927,134207,6908,603
(주)MH에탄올,023150,2012/12,34423,71842,45489,59768,58713,39678,139201,134386,6519,5452
(주)MH에탄올,023150,2013/12,34124,70411,46299,62200,47120,45886,122521,129698,9650,3010
(주)MH에탄올,023150,2014/12,36083,36083,48984,48984,52508,52789,85254,85535,8747,8745
(주)MH에탄올,023150,2015/12,36846,36847,50386,50386,57570,57884,78691,78996,11094,11092
(주)MH에탄올,023150,2016/12,37391,37391,48897,48897,63258,63582,72025,72340,11877,11874
(주)MH에탄올,023150,2017/12,39419,389268,48270,51977,64699,106837,107437,500180,10453,8117
(주)MH에탄올,023150,2018/12,40586,390589,46943,72796,68472,91585,109657,440178,9029,1228
(주)MH에탄올,023150,2019/12,41121,402624,46992,80879,59478,79389,101059,451474,7829,7829
(주)MH에탄올,023150,2020/12,41913,395517,51277,94645,57609,80425,97516,449679,8239,15782
(주)MH에탄올,023150,2021/12,43235,385960,45892,102067,58057,84703,98741,451461,3675,23335
(주)SH에너지화학,002360,2011/12,33115,33220,172753,173209,64499,65242,102383,104711,4988,4166
(주)SH에너지화학,002360,2012/12,32608,32785,191908,193950,64889,64881,102493,103690,2875,2183
(주)SH에너지화학,002360,2013/12,31945,32065,229784,231912,69782,69599,109985,110489,7203,6424
(주)SH에너지화학,002360,2014/12,31070,31133,226971,230913,83404,84237,109098,110741,20275,21272
(주)SH에너지화학,002360,2015/12,32655,32661,213882,216441,90740,91646,114048,115521,22900,22950
(주)SH에너지화학,002360,2016/12,31792,31796,214380,218398,103083,104089,122957,124489,23600,24101
(주)SH에너지화학,002360,2017/12,30957,31096,184673,188115,105718,107693,123262,125312,13189,14182
(주)SH에너지화학,002360,2018/12,29913,30043,180753,183599,104065,105391,120896,122435,2812,2101
(주)SH에너지화학,002360,2019/12,33126,33194,138162,140853,97386,99000,121126,123416,-2363,-3131
(주)SH에너지화학,002360,2020/12,36533,36568,91354,93584,89817,90008,116570,117357,-7104,-7852
(주)SH에너지화학,002360,2021/12,34148,34149,139284,139802,91248,91739,118424,119629,722,343
(주)SIMPAC,009160,2011/12,62702,72940,213868,215366,155833,168941,296953,310879,27383,27346
(주)SIMPAC,009160,2012/12,64183,74000,223855,225353,177830,187861,307367,318666,25310,25191
(주)SIMPAC,009160,2013/12,64271,73712,204528,205751,197901,208831,349837,361986,23741,23599
(주)SIMPAC,009160,2014/12,70605,169381,227492,263152,203905,219125,329326,381939,18737,17342
(주)SIMPAC,009160,2015/12,75847,180973,213152,269528,220088,232008,369349,422833,23630,21241
(주)SIMPAC,009160,2016/12,75130,178694,215839,267074,228959,240417,366245,417865,21406,23566
(주)SIMPAC,009160,2017/12,70403,172660,203150,230635,223782,240826,343005,381158,13971,11698
(주)SIMPAC,009160,2018/12,156313,357331,268864,306151,411120,435033,628334,681751,7216,10191
(주)SIMPAC,009160,2019/12,153003,263608,391971,430085,419216,441195,608693,679146,8438,11141
(주)SIMPAC,009160,2020/12,144620,227993,272087,365863,434213,463986,656622,737278,6896,7787
(주)SIMPAC,009160,2021/12,138476,221271,490855,613013,491085,546662,796760,903230,80178,106402
(주)SNT에너지,100840,2011/12,122586,,195319,,160596,,276512,,-6597,
(주)SNT에너지,100840,2012/12,122290,,230708,,183306,,292802,,15133,
(주)SNT에너지,100840,2013/12,120367,,200751,,198165,,311675,,16804,
(주)SNT에너지,100840,2014/12,120066,,242747,,207713,,304512,,13778,
(주)SNT에너지,100840,2015/12,118715,,260094,,231400,,316196,,33918,
(주)SNT에너지,100840,2016/12,118148,,254090,,229800,,348042,,1195,
(주)SNT에너지,100840,2017/12,116825,,184092,,233817,,300267,,19202,
(주)SNT에너지,100840,2018/12,115728,,139516,,231276,,280992,,-1892,
