회사명,거래소코드,회계년도,자산(*)(요약)(IFRS),자본(*)(요약)(IFRS),차입금의존도(IFRS)(백만원),유보율(IFRS),현금비율(IFRS),부채비율(IFRS),당좌비율(IFRS),순운전자본비율(IFRS),*이자비용(요약)(IFRS)(백만원),* (정상)영업손익(보고서기재)(요약)(IFRS)(백만원),감가상각비(IFRS)(천원),자산(*)(요약)(IFRS연결),자본(*)(요약)(IFRS연결),차입금의존도(IFRS연결),유보율(IFRS연결)(백만원),현금비율(IFRS연결)(백만원),부채비율(IFRS연결),당좌비율(IFRS연결),순운전자본비율(IFRS연결),*이자비용(요약)(IFRS연결)(백만원),* (정상)영업손익(보고서기재)(요약)(IFRS연결)(백만원),감가상각비(IFRS연결)(천원),EBITDA(IFRS)(백만원)
(주)DB하이텍,000990,2011/12,1183957,291709,59.75,73.37,4.33,305.87,23.7,-44.83,57547,-39984,2122000,1199044,308062,59,80.99,5.04,289.22,25.5,-42.95,57547,-43150,2335000,82521.05
(주)DB하이텍,000990,2012/12,1149069,274553,59.32,59.48,6.84,318.52,39.77,-22.63,50197,-14430,1651000,1157755,290893,58.88,66.82,7.19,298,41.39,-21.27,50197,-15622,1864000,96286.83
(주)DB하이텍,000990,2013/12,1049495,197287,63.26,24.76,7.28,431.96,31.45,-24.24,59545,-9393,1400000,1058392,204757,62.73,28.12,7.39,416.9,31.58,-23.99,59545,-9611,1572000,78120.02
(주)DB하이텍,000990,2014/12,1001960,136104,65.71,-3.23,10.45,636.17,47.09,-12.96,67652,45311,831000,984877,120703,66.85,-10.15,10.72,715.95,47.39,-13.08,67651,45560,983000,127228.51
(주)DB하이텍,000990,2015/12,1005674,277663,52.27,35.37,43.28,262.19,103.5,9.14,50040,124373,854000,984644,254057,53.39,24.76,44.31,287.57,104.2,9.52,50040,124969,975000,207129.82
(주)DB하이텍,000990,2016/12,1006371,364450,41.96,74.37,40.74,176.13,105.82,9.16,39114,171788,788000,986789,341917,42.8,64.24,42.15,188.6,106.69,9.6,39114,172428,805000,251099.65
(주)DB하이텍,000990,2017/12,977575,441547,36.37,109.01,71.34,121.4,191.12,21.01,23682,142354,850000,993951,455798,35.77,115.41,74.02,118.07,191.87,20.97,23682,143195,854000,212643.69
(주)DB하이텍,000990,2018/12,1050696,542557,29.03,153.28,75.75,93.66,215.06,21.25,16701,112884,1082000,1066534,558392,28.6,160.4,75.96,91,217.15,21.24,16701,112993,1086000,180261.3
(주)DB하이텍,000990,2019/12,1089401,645305,23.2,199.29,38.36,68.82,168.83,18.63,13490,181156,1887000,1088890,644651,23.21,199,38.58,68.91,170.41,18.97,13490,181292,1893000,261414.87
(주)DB하이텍,000990,2020/12,1179257,795237,15.07,266.6,18.24,48.29,154.28,16.44,6505,239189,1701000,1178581,794585,15.09,266.3,18.45,48.33,155.66,16.76,6505,239335,1706000,351309.81
