회사명,거래소코드,회계년도,유형자산의 증가(*)(IFRS)(천원),유형자산의 증가(*)(IFRS연결)(천원)
(주)DB하이텍,000990,2011/12,56473225,56473225
(주)DB하이텍,000990,2012/12,28953572,28953572
(주)DB하이텍,000990,2013/12,36291663,36292723
(주)DB하이텍,000990,2014/12,30531195,30537585
(주)DB하이텍,000990,2015/12,95559918,95567916
(주)DB하이텍,000990,2016/12,92252156,92254973
(주)DB하이텍,000990,2017/12,75888127,75891164
(주)DB하이텍,000990,2018/12,109545303,109545303
(주)DB하이텍,000990,2019/12,89088718,89097842
(주)DB하이텍,000990,2020/12,157742114,157744372
(주)DB하이텍,000990,2021/12,133612138,133612138
(주)HJ중공업,097230,2011/12,14392000,50480000
(주)HJ중공업,097230,2012/12,19260000,68457000
(주)HJ중공업,097230,2013/12,35524000,46745000
(주)HJ중공업,097230,2014/12,29263000,46723000
(주)HJ중공업,097230,2015/12,30367000,47949000
(주)HJ중공업,097230,2016/12,28623000,62959000
(주)HJ중공업,097230,2017/12,18308000,30523000
(주)HJ중공업,097230,2018/12,7554000,13171000
(주)HJ중공업,097230,2019/12,3297000,3297000
(주)HJ중공업,097230,2020/12,4160000,4160000
(주)HJ중공업,097230,2021/12,4907000,4907000
(주)MH에탄올,023150,2011/12,164048,5430434
(주)MH에탄올,023150,2012/12,120980,2895396
(주)MH에탄올,023150,2013/12,514743,2612186
(주)MH에탄올,023150,2014/12,2799806,2799806
(주)MH에탄올,023150,2015/12,1939861,1939861
(주)MH에탄올,023150,2016/12,1728170,1741293
(주)MH에탄올,023150,2017/12,2563778,4350711
(주)MH에탄올,023150,2018/12,3059433,6330161
(주)MH에탄올,023150,2019/12,1778400,2685134
(주)MH에탄올,023150,2020/12,2593364,4639767
(주)MH에탄올,023150,2021/12,2921703,6190852
(주)SH에너지화학,002360,2011/12,2211330,2271568
(주)SH에너지화학,002360,2012/12,2197344,2352625
(주)SH에너지화학,002360,2013/12,1520456,1533255
(주)SH에너지화학,002360,2014/12,1913449,1933839
(주)SH에너지화학,002360,2015/12,4833111,4833287
(주)SH에너지화학,002360,2016/12,2194015,2196194
(주)SH에너지화학,002360,2017/12,2641652,2783812
(주)SH에너지화학,002360,2018/12,1446279,1474479
(주)SH에너지화학,002360,2019/12,5336895,5336895
(주)SH에너지화학,002360,2020/12,6074513,6077080
(주)SH에너지화학,002360,2021/12,12247,12247
(주)SIMPAC,009160,2011/12,15465123,15530044
(주)SIMPAC,009160,2012/12,4242020,4242020
(주)SIMPAC,009160,2013/12,3204750,3245184
(주)SIMPAC,009160,2014/12,9733626,13051145
(주)SIMPAC,009160,2015/12,8990757,9575821
(주)SIMPAC,009160,2016/12,3536554,3662307
(주)SIMPAC,009160,2017/12,735443,1426666
(주)SIMPAC,009160,2018/12,1168558,1282128
(주)SIMPAC,009160,2019/12,3593679,22471629
(주)SIMPAC,009160,2020/12,2044376,3583617
(주)SIMPAC,009160,2021/12,2686618,4141781
(주)SNT에너지,100840,2011/12,1822109,
(주)SNT에너지,100840,2012/12,1601396,
(주)SNT에너지,100840,2013/12,1010914,
(주)SNT에너지,100840,2014/12,1395061,
(주)SNT에너지,100840,2015/12,443966,
(주)SNT에너지,100840,2016/12,1121620,
(주)SNT에너지,100840,2017/12,380609,
(주)SNT에너지,100840,2018/12,333319,
(주)SNT에너지,100840,2019/12,1832874,2328215
(주)SNT에너지,100840,2020/12,1592773,1663736
(주)SNT에너지,100840,2021/12,634719,1426200
(주)SNT홀딩스,036530,2011/12,12522,62328996
(주)SNT홀딩스,036530,2012/12,3254,38382677
(주)SNT홀딩스,036530,2013/12,3591,39854270
(주)SNT홀딩스,036530,2014/12,80575,49933060
(주)SNT홀딩스,036530,2015/12,0,40042526
(주)SNT홀딩스,036530,2016/12,0,48269943
(주)SNT홀딩스,036530,2017/12,1272,18521974
(주)SNT홀딩스,036530,2018/12,1750,30925370
(주)SNT홀딩스,036530,2019/12,67840,34089450
(주)SNT홀딩스,036530,2020/12,0,29476250
(주)SNT홀딩스,036530,2021/12,7380,36604729
(주)STX,011810,2011/12,61531000,184957000
(주)STX,011810,2012/12,516000,260873000
(주)STX,011810,2013/12,5000,24952000
(주)STX,011810,2014/12,142000,1478000
(주)STX,011810,2015/12,111000,1048000
(주)STX,011810,2016/12,55000,546000
(주)STX,011810,2017/12,68000,449000
(주)STX,011810,2018/12,10000,564000
(주)STX,011810,2019/12,1690000,2337000
(주)STX,011810,2020/12,784000,4258000
(주)STX,011810,2021/12,1221000,18038000
(주)TCC스틸,002710,2011/12,16194190,19138784
(주)TCC스틸,002710,2012/12,6189693,30467669
(주)TCC스틸,002710,2013/12,5604635,22946386
(주)TCC스틸,002710,2014/12,3244986,8822412
(주)TCC스틸,002710,2015/12,2386548,3951575
(주)TCC스틸,002710,2016/12,2663860,3781556
(주)TCC스틸,002710,2017/12,2532259,2829980
(주)TCC스틸,002710,2018/12,2179656,3060270
(주)TCC스틸,002710,2019/12,8187164,8622576
(주)TCC스틸,002710,2020/12,3781962,4026137
(주)TCC스틸,002710,2021/12,8404600,9845439
(주)강원랜드,035250,2011/12,148864647,155275509
(주)강원랜드,035250,2012/12,104562022,118576826
(주)강원랜드,035250,2013/12,68123618,102944040
(주)강원랜드,035250,2014/12,34457514,80191411
(주)강원랜드,035250,2015/12,40012272,40393822
(주)강원랜드,035250,2016/12,73425956,74610214
(주)강원랜드,035250,2017/12,85337789,85488263
(주)강원랜드,035250,2018/12,102166829,103251329
(주)강원랜드,035250,2019/12,78651591,79561584
(주)강원랜드,035250,2020/12,58750802,58963253
(주)강원랜드,035250,2021/12,42805925,42936378
(주)갤럭시아에스엠,011420,2011/12,25738,224553
(주)갤럭시아에스엠,011420,2012/12,108903,3101036
(주)갤럭시아에스엠,011420,2013/12,99795,177020
(주)갤럭시아에스엠,011420,2014/12,86903,644527
(주)갤럭시아에스엠,011420,2015/12,354865,416475
(주)갤럭시아에스엠,011420,2016/12,169145,243055
(주)갤럭시아에스엠,011420,2017/12,43096,43096
(주)갤럭시아에스엠,011420,2018/12,30839,30886
(주)갤럭시아에스엠,011420,2019/12,4901,4901
(주)갤럭시아에스엠,011420,2020/12,35949,
(주)갤럭시아에스엠,011420,2021/12,1237332,
(주)경농,002100,2011/12,2401927,2530782
(주)경농,002100,2012/12,4845094,5766061
(주)경농,002100,2013/12,7129392,12323097
(주)경농,002100,2014/12,9310277,21825134
(주)경농,002100,2015/12,11247232,16470353
(주)경농,002100,2016/12,3611601,15354773
(주)경농,002100,2017/12,3789313,12101880
(주)경농,002100,2018/12,11414970,15721236
(주)경농,002100,2019/12,2101135,2872525
(주)경농,002100,2020/12,2390108,3192819
(주)경농,002100,2021/12,6546080,6002760
(주)경동나비엔,009450,2011/12,11095086,16063626
(주)경동나비엔,009450,2012/12,20131039,27482212
(주)경동나비엔,009450,2013/12,60803630,66335353
(주)경동나비엔,009450,2014/12,25730039,39266426
(주)경동나비엔,009450,2015/12,8780184,18588267
(주)경동나비엔,009450,2016/12,9934385,21343765
(주)경동나비엔,009450,2017/12,16078702,34837597
(주)경동나비엔,009450,2018/12,27492758,44538451
(주)경동나비엔,009450,2019/12,20051379,49396829
(주)경동나비엔,009450,2020/12,33804310,38662446
(주)경동나비엔,009450,2021/12,47312200,59406602
(주)경동도시가스,267290,2017/12,23468981,23663196
(주)경동도시가스,267290,2018/12,33329017,33450656
(주)경동도시가스,267290,2019/12,32493692,32602540
(주)경동도시가스,267290,2020/12,22236014,22353709
(주)경동도시가스,267290,2021/12,24710769,24852476
(주)경동인베스트,012320,2011/12,30272454,38321687
(주)경동인베스트,012320,2012/12,32472994,33666553
(주)경동인베스트,012320,2013/12,34544168,46148813
(주)경동인베스트,012320,2014/12,26424826,62413405
(주)경동인베스트,012320,2015/12,39414556,73471347
(주)경동인베스트,012320,2016/12,23090079,33440421
(주)경동인베스트,012320,2017/12,3256220,21999369
(주)경동인베스트,012320,2018/12,2770786,5665146
(주)경동인베스트,012320,2019/12,165462,4501332
(주)경동인베스트,012320,2020/12,173402,5230812
(주)경동인베스트,012320,2021/12,962478,4773987
(주)경방,000050,2011/12,23702333,24010671
(주)경방,000050,2012/12,6141769,27830790
(주)경방,000050,2013/12,1380572,6741022
(주)경방,000050,2014/12,10315738,26277087
(주)경방,000050,2015/12,4858872,39071314
(주)경방,000050,2016/12,2330983,6924025
(주)경방,000050,2017/12,2969947,37197986
(주)경방,000050,2018/12,3156984,15211722
(주)경방,000050,2019/12,24391537,35885928
(주)경방,000050,2020/12,21352793,40214032
(주)경방,000050,2021/12,1271322,2308341
(주)경보제약,214390,2011/12,,
(주)경보제약,214390,2012/12,,
(주)경보제약,214390,2013/12,8417072,
(주)경보제약,214390,2014/12,18349948,
(주)경보제약,214390,2015/12,26903670,
(주)경보제약,214390,2016/12,17187780,
(주)경보제약,214390,2017/12,7237783,
(주)경보제약,214390,2018/12,7623386,
