회사명,거래소코드,회계년도,합계_기말인원(명),합계_년간총급여(천원),설립일,외국인_주식분포비율,보통주식비율
(주)DB하이텍,000990,2011/12,2567,104522000,1953/04/28,6.65,38.69
(주)DB하이텍,000990,2012/12,2304,110419000,1953/04/28,7.45,37.29
(주)DB하이텍,000990,2013/12,2142,100330000,1953/04/28,7.07,37.29
(주)DB하이텍,000990,2014/12,1999,102531000,1953/04/28,3.72,37.4
(주)DB하이텍,000990,2015/12,2004,107473000,1953/04/28,10.05,19.09
(주)DB하이텍,000990,2016/12,2047,109232000,1953/04/28,13.46,19.06
(주)DB하이텍,000990,2017/12,1940,107600000,1953/04/28,20.15,19.63
(주)DB하이텍,000990,2018/12,1955,109640000,1953/04/28,28.31,19.77
(주)DB하이텍,000990,2019/12,1979,130498000,1953/04/28,39.6,19.46
(주)DB하이텍,000990,2020/12,2012,141715000,1953/04/28,27.61,17.35
(주)DB하이텍,000990,2021/12,2038,164502000,1953/04/28,24.1,17.38
(주)HJ중공업,097230,2011/12,2785,129112579,2007/08/03,9.87,37.38
(주)HJ중공업,097230,2012/12,2634,141856462,2007/08/03,8.39,37.38
(주)HJ중공업,097230,2013/12,2758,145255540,2007/08/03,9.27,35.12
(주)HJ중공업,097230,2014/12,2544,148219536,2007/08/03,2.96,32.82
(주)HJ중공업,097230,2015/12,2632,163837815,2007/08/03,2.78,32.87
(주)HJ중공업,097230,2016/12,2473,155823041,2007/08/03,7.64,31.69
(주)HJ중공업,097230,2017/12,2493,144082352,2007/08/03,4.64,31.68
(주)HJ중공업,097230,2018/12,2271,148480474,2007/08/03,5.71,31.66
(주)HJ중공업,097230,2019/12,2016,129334173,2007/08/03,20.71,16.14
(주)HJ중공업,097230,2020/12,1944,129833119,2007/08/03,20.92,16.14
(주)HJ중공업,097230,2021/12,2035,147928362,2007/08/03,20.08,66.85
(주)MH에탄올,023150,2011/12,51,2566911,1978/07/04,0.22,54.6
(주)MH에탄올,023150,2012/12,52,2477780,1978/07/04,0.13,54.6
(주)MH에탄올,023150,2013/12,51,2647590,1978/07/04,0.02,54.6
(주)MH에탄올,023150,2014/12,53,2797742,1978/07/04,3.34,51.79
(주)MH에탄올,023150,2015/12,47,2623081,1978/07/04,4.21,51.79
(주)MH에탄올,023150,2016/12,43,2746133,1978/07/04,1.64,51.79
(주)MH에탄올,023150,2017/12,48,2686288,1978/07/04,1.26,52.55
(주)MH에탄올,023150,2018/12,50,3627984,1978/07/04,0.42,55.46
(주)MH에탄올,023150,2019/12,47,3846504,1978/07/04,0.71,52.17
(주)MH에탄올,023150,2020/12,54,3949347,1978/07/04,1.49,44.43
(주)MH에탄올,023150,2021/12,53,4217831,1978/07/04,3.47,43.63
(주)SH에너지화학,002360,2011/12,109,4584000,1958/05/09,31.47,34.6
(주)SH에너지화학,002360,2012/12,112,5791000,1958/05/09,31.88,32.85
(주)SH에너지화학,002360,2013/12,116,6144000,1958/05/09,31.62,31.12
(주)SH에너지화학,002360,2014/12,140,8241000,1958/05/09,36.92,31.12
(주)SH에너지화학,002360,2015/12,146,8593000,1958/05/09,35.07,31.12
(주)SH에너지화학,002360,2016/12,148,9443000,1958/05/09,35.19,31.12
(주)SH에너지화학,002360,2017/12,148,9081000,1958/05/09,33.94,31.12
(주)SH에너지화학,002360,2018/12,156,9346000,1958/05/09,34.72,31.12
(주)SH에너지화학,002360,2019/12,158,9250000,1958/05/09,34.65,31.12
(주)SH에너지화학,002360,2020/12,161,9688000,1958/05/09,33.63,31.12
(주)SH에너지화학,002360,2021/12,152,9732000,1958/05/09,32.81,31.06
(주)SIMPAC,009160,2011/12,257,14170000,1973/08/09,0.49,48.7
(주)SIMPAC,009160,2012/12,275,13172000,1973/08/09,3.17,41.56
(주)SIMPAC,009160,2013/12,277,13358000,1973/08/09,15.33,41.2
(주)SIMPAC,009160,2014/12,305,14193000,1973/08/09,17.56,41.2
(주)SIMPAC,009160,2015/12,296,13976000,1973/08/09,17.99,40.89
(주)SIMPAC,009160,2016/12,306,14559000,1973/08/09,18.71,40.88
(주)SIMPAC,009160,2017/12,305,13641000,1973/08/09,14.43,40.88
(주)SIMPAC,009160,2018/12,500,18871000,1973/08/09,8.16,60.01
(주)SIMPAC,009160,2019/12,491,24581000,1973/08/09,8.61,60.01
(주)SIMPAC,009160,2020/12,484,24128000,1973/08/09,7.83,59.99
(주)SIMPAC,009160,2021/12,511,32026000,1973/08/09,8.06,59.99
(주)SNT에너지,100840,2011/12,184,9337515,2008/02/05,0,43.89
(주)SNT에너지,100840,2012/12,195,9895761,2008/02/05,0,51.21
(주)SNT에너지,100840,2013/12,209,11423242,2008/02/05,0.23,51.21
(주)SNT에너지,100840,2014/12,218,10799834,2008/02/05,0.01,60.37
(주)SNT에너지,100840,2015/12,232,12490284,2008/02/05,7.11,53.31
(주)SNT에너지,100840,2016/12,218,12293903,2008/02/05,1.45,53.31
