회사명,거래소코드,회계년도,[제조]      이익잉여금(결손금)(요약)(IFRS)(백만원),[제조]      이익잉여금(결손금)(요약)(IFRS연결)(백만원),[제조]자산(*)(요약)(IFRS)(백만원),[제조]자산(*)(요약)(IFRS연결)(백만원),[제조]영업활동으로 인한 현금흐름(간접법)(*)(요약)(IFRS)(백만원),[제조]영업활동으로 인한 현금흐름(간접법)(*)(요약)(IFRS연결)(백만원),[제조]매출액(수익)(요약)(IFRS)(백만원),[제조]매출액(수익)(요약)(IFRS연결)(백만원)
(주)DB하이텍,000990,2011/12,-529392,-512733,1183957,1199044,61642,60749,534317,552216
(주)DB하이텍,000990,2012/12,-562637,-545396,1149069,1157755,68048,73877,583902,590786
(주)DB하이텍,000990,2013/12,-72161,-63421,1049495,1058392,28529,28381,493752,493752
(주)DB하이텍,000990,2014/12,-134158,-145152,1001960,984877,47362,48078,567718,567718
(주)DB하이텍,000990,2015/12,-10928,-25389,1005674,984644,150510,152722,666595,666595
(주)DB하이텍,000990,2016/12,75869,65709,1006371,986789,247019,248312,773140,773140
(주)DB하이텍,000990,2017/12,152840,178281,977575,993951,182244,183124,679738,679738
(주)DB하이텍,000990,2018/12,269771,286927,1050696,1066534,182780,180344,669279,669279
(주)DB하이텍,000990,2019/12,374010,375644,1089401,1088890,160797,161078,807416,807416
(주)DB하이텍,000990,2020/12,523345,525382,1179257,1178581,310467,309983,935920,935920
(주)DB하이텍,000990,2021/12,829993,831969,1548224,1549938,391303,393129,1214682,1214682
(주)HJ중공업,097230,2011/12,904285,814074,5857119,7036680,-297988,-401788,2316017,2891499
(주)HJ중공업,097230,2012/12,896856,740599,5938108,6585093,-227250,-84391,1980761,2549319
(주)HJ중공업,097230,2013/12,686883,554300,5839633,6683379,-186309,-321347,1927307,2529341
(주)HJ중공업,097230,2014/12,449960,243436,5469810,6470284,-101009,-238336,1799016,2520325
(주)HJ중공업,097230,2015/12,61394,-22399,4638381,5914637,109406,257547,2041347,3115473
(주)HJ중공업,097230,2016/12,-444027,-527832,3921561,5256464,78719,-36763,1928591,2813271
(주)HJ중공업,097230,2017/12,-710560,-773344,3312303,4206655,368798,385461,1737428,2452314
(주)HJ중공업,097230,2018/12,-1673444,-2056599,2388369,2733620,182116,420195,1750954,1697869
(주)HJ중공업,097230,2019/12,-1289769,-1293517,2465650,2470222,140634,155934,1609530,1628751
(주)HJ중공업,097230,2020/12,-1215983,-1217980,2189125,2193855,252907,264454,1694634,1695815
(주)HJ중공업,097230,2021/12,-1356822,-1358658,2381044,2385236,-111432,-110633,1705790,1706532
(주)MH에탄올,023150,2011/12,49414,37709,135927,134207,4202,179,43207,44785
(주)MH에탄올,023150,2012/12,51965,38100,139201,134386,2789,-4906,45489,59768
(주)MH에탄올,023150,2013/12,40314,45231,122521,129698,5638,6114,46299,62200
(주)MH에탄올,023150,2014/12,44588,44699,85254,85535,5126,5159,48984,48984
(주)MH에탄올,023150,2015/12,50544,50689,78691,78996,13354,13384,50386,50386
