회사명,거래소코드,회계년도,유형자산증가율(IFRS),매출액증가율(IFRS),자기자본증가율(IFRS),총자본증가율(IFRS),정상영업이익증가율(IFRS),유형자산증가율(IFRS연결),매출액증가율(IFRS연결),자기자본증가율(IFRS연결),총자본증가율(IFRS연결),정상영업이익증가율(IFRS연결)
(주)DB하이텍,000990,2011/12,-7.91,-9.96,-22.61,-13.18,0,-7.89,-10.94,-22.6,-13.19,0
(주)DB하이텍,000990,2012/12,-9.66,9.28,-5.88,-2.95,0,-9.69,6.98,-5.57,-3.44,0
(주)DB하이텍,000990,2013/12,-7.18,-15.44,-28.14,-8.67,0,-7.2,-16.42,-29.61,-8.58,0
(주)DB하이텍,000990,2014/12,-6.94,14.98,-31.01,-4.53,0,-6.96,14.98,-41.05,-6.95,0
(주)DB하이텍,000990,2015/12,-9.89,17.42,104.01,0.37,174.49,-9.91,17.42,110.48,-0.02,174.29
(주)DB하이텍,000990,2016/12,2.73,15.98,31.26,0.07,38.12,2.73,15.98,34.58,0.22,37.98
(주)DB하이텍,000990,2017/12,1.44,-12.08,21.15,-2.86,-17.13,1.44,-12.08,33.31,0.73,-16.95
(주)DB하이텍,000990,2018/12,7.56,-1.54,22.88,7.48,-20.7,7.56,-1.54,22.51,7.3,-21.09
(주)DB하이텍,000990,2019/12,3.18,20.64,18.94,3.68,60.48,3.18,20.64,15.45,2.1,60.45
(주)DB하이텍,000990,2020/12,9.43,15.92,23.23,8.25,32.03,9.42,15.92,23.26,8.24,32.02
(주)DB하이텍,000990,2021/12,-2.5,29.78,39.07,31.29,66.79,-2.5,29.78,39.2,31.51,66.76
(주)HJ중공업,097230,2011/12,-1.46,-15.3,-6.32,-7.37,-41.65,-1.53,-8.72,-4.59,-6.49,-9.82
(주)HJ중공업,097230,2012/12,-5.88,-14.48,-0.61,1.38,-51.91,-7.72,-11.83,-8.1,-6.42,-50.99
(주)HJ중공업,097230,2013/12,-1.03,-2.7,-3.16,-1.66,0,-3.21,-0.78,-4.44,1.49,0
(주)HJ중공업,097230,2014/12,-4.99,-6.66,-2.37,-6.33,0,-3.73,-0.36,-3.88,-3.19,0
(주)HJ중공업,097230,2015/12,-3.15,13.47,-21.82,-15.2,0,1.18,23.61,-12.99,-8.59,0
(주)HJ중공업,097230,2016/12,-15.31,-5.52,-34.36,-15.45,0,-12.12,-9.7,-34.57,-11.13,0
(주)HJ중공업,097230,2017/12,-36.97,-9.91,-37.69,-15.54,75.76,-25.45,-12.83,-35.5,-19.97,0
(주)HJ중공업,097230,2018/12,-2.52,0.78,0,-27.89,0,-64.36,-30.76,-222.45,-35.02,0
(주)HJ중공업,097230,2019/12,-3.71,-8.08,0,3.24,0,-3.7,-4.07,0,-9.64,35.93
(주)HJ중공업,097230,2020/12,-3.09,5.29,29.58,-11.22,-33.7,-3.09,4.12,30.59,-11.19,-38.42
(주)HJ중공업,097230,2021/12,55.11,0.66,34.89,8.77,0,54.92,0.63,35,8.72,0
(주)MH에탄올,023150,2011/12,-2.5,-0.23,6,6.52,-24.99,2.92,-18.64,-8.46,-0.49,-82.51
(주)MH에탄올,023150,2012/12,-2.13,5.28,4.54,2.41,-5.64,-4.55,33.46,-6.76,0.13,803.71
(주)MH에탄올,023150,2013/12,-0.87,1.78,-19.75,-11.98,48.04,-1.99,4.07,17.05,-3.49,-44.79
(주)MH에탄올,023150,2014/12,5.74,5.8,11.43,-30.42,-9.36,-48.75,-21.25,15.27,-34.05,190.55
(주)MH에탄올,023150,2015/12,2.12,2.86,9.64,-7.7,26.84,2.12,2.86,9.65,-7.64,26.84
(주)MH에탄올,023150,2016/12,1.48,-2.96,9.88,-8.47,7.06,1.48,-2.96,9.84,-8.43,7.05
(주)MH에탄올,023150,2017/12,5.42,-1.28,2.28,49.17,-11.99,941.08,6.3,3.63,591.43,-31.65
(주)MH에탄올,023150,2018/12,2.96,-2.75,5.83,2.07,-13.63,0.34,40.05,-5.46,-12,-84.87
(주)MH에탄올,023150,2019/12,1.32,0.1,-13.14,-7.84,-13.29,3.08,11.1,-7.78,2.57,537.44
(주)MH에탄올,023150,2020/12,1.93,9.12,-3.14,-3.51,5.24,-1.76,17.02,6.85,-0.4,101.58
(주)MH에탄올,023150,2021/12,3.15,-10.5,0.78,1.26,-55.39,-2.42,7.84,2.38,0.4,47.86
(주)SH에너지화학,002360,2011/12,1.07,14.9,4.81,8.37,0,1.39,14.99,2.97,9.51,0
(주)SH에너지화학,002360,2012/12,-1.53,11.09,0.6,0.11,-42.37,-1.31,11.97,-0.29,-0.97,-47.6
(주)SH에너지화학,002360,2013/12,-2.03,19.74,7.54,7.31,150.58,-2.2,19.57,7.81,6.56,194.26
(주)SH에너지화학,002360,2014/12,-2.74,-1.22,19.52,-0.81,181.47,-2.91,-0.43,20.89,0.23,231.12
(주)SH에너지화학,002360,2015/12,5.1,-5.77,8.8,4.54,12.95,4.91,-6.27,8.99,4.32,7.89
(주)SH에너지화학,002360,2016/12,-2.64,0.23,13.6,7.81,3.06,-2.65,0.9,13.99,7.76,5.02
(주)SH에너지화학,002360,2017/12,-2.63,-13.86,2.56,0.25,-44.11,-2.2,-13.87,3.22,0.66,-41.16
(주)SH에너지화학,002360,2018/12,-3.37,-2.12,-1.56,-1.92,-78.68,-3.39,-2.4,-1.92,-2.3,-85.19
(주)SH에너지화학,002360,2019/12,10.74,-23.56,-6.42,0.19,0,10.49,-23.28,-5.94,0.8,-249.05
(주)SH에너지화학,002360,2020/12,10.29,-33.88,-7.77,-3.76,0,10.16,-33.56,-7.76,-4.91,0
(주)SH에너지화학,002360,2021/12,-6.53,52.47,1.59,1.59,0,-6.61,49.39,1.94,1.94,0
(주)SIMPAC,009160,2011/12,25.11,18.43,14.48,14.14,24.95,20.16,18.47,16.25,15.37,26.96
(주)SIMPAC,009160,2012/12,2.36,4.67,14.12,3.51,-7.57,1.45,4.64,11.2,2.5,-7.88
(주)SIMPAC,009160,2013/12,0.14,-8.63,11.29,13.82,-6.2,-0.39,-8.7,11.16,13.59,-6.32
(주)SIMPAC,009160,2014/12,9.85,11.23,3.03,-5.86,-21.08,129.79,27.9,4.71,5.51,-26.52
(주)SIMPAC,009160,2015/12,7.42,-6.3,7.94,12.15,26.12,6.84,2.42,6.1,10.71,22.48
(주)SIMPAC,009160,2016/12,-0.95,1.26,4.03,-0.84,-9.41,-1.26,-0.91,3.62,-1.17,10.95
(주)SIMPAC,009160,2017/12,-6.29,-5.88,-2.26,-6.35,-34.73,-3.38,-13.64,0.17,-8.78,-50.36
(주)SIMPAC,009160,2018/12,122.03,32.35,83.71,83.19,-48.35,106.96,32.74,80.64,78.86,-12.89
(주)SIMPAC,009160,2019/12,-2.12,45.79,1.97,-3.13,16.94,-26.23,40.48,1.42,-0.38,9.33
(주)SIMPAC,009160,2020/12,-5.48,-30.58,3.58,7.87,-18.28,-13.51,-14.93,5.17,8.56,-30.1
(주)SIMPAC,009160,2021/12,-4.25,80.4,13.1,21.34,1062.71,-2.95,67.55,17.82,22.51,1266.33
(주)SNT에너지,100840,2011/12,0,-8.7,-4.06,8.9,0,,,,,
(주)SNT에너지,100840,2012/12,-0.24,18.12,14.14,5.89,0,,,,,
(주)SNT에너지,100840,2013/12,-1.57,-12.98,8.11,6.45,11.05,,,,,
(주)SNT에너지,100840,2014/12,-0.25,20.92,4.82,-2.3,-18.01,,,,,
(주)SNT에너지,100840,2015/12,-1.13,7.15,11.4,3.84,146.18,,,,,
(주)SNT에너지,100840,2016/12,-0.48,-2.31,-0.69,10.07,-96.48,,,,,
(주)SNT에너지,100840,2017/12,-1.12,-27.55,1.75,-13.73,1506.66,,,,,
(주)SNT에너지,100840,2018/12,-0.94,-24.21,-1.09,-6.42,0,,,,,
(주)SNT에너지,100840,2019/12,0.47,45.38,6.17,17.94,0,0,0,0,0,0
(주)SNT에너지,100840,2020/12,0.38,13.4,-3.66,0.2,54.72,-0.42,11.28,-3.75,0.44,32.35
(주)SNT에너지,100840,2021/12,-0.47,-28.06,3.77,-2.99,-39.64,0,0,0,0,0
(주)SNT홀딩스,036530,2011/12,-20.29,9.15,-2.21,-2.29,0,1.6,10.91,2.21,4.21,-0.27
(주)SNT홀딩스,036530,2012/12,-33.43,286.13,0.2,0.22,0,-0.49,0.29,7.44,-2.35,-28.89
(주)SNT홀딩스,036530,2013/12,-45.54,1.24,2.12,2.15,3.4,0.21,-5.54,4.85,3.58,-1.04
(주)SNT홀딩스,036530,2014/12,38.13,-12.74,0.51,0.48,-13.83,-5.36,-1.52,4.62,-5.11,-22.75
(주)SNT홀딩스,036530,2015/12,-26.66,10.04,5.78,7.85,12.63,-0.54,3.89,6.51,6.37,146.6
(주)SNT홀딩스,036530,2016/12,-35.54,15.85,1.13,-0.83,19.05,-2.1,-4.65,0.43,1.88,-55.25
(주)SNT홀딩스,036530,2017/12,-44.2,-24.45,-0.36,-0.37,-32.48,-3.08,-1.92,1.47,-2.9,-16.11
(주)SNT홀딩스,036530,2018/12,-85.48,-1.7,-0.6,-0.62,-0.18,-1.31,-7.08,9.82,-1.51,19.81
(주)SNT홀딩스,036530,2019/12,1965.67,51.07,-1.33,-1.33,66.76,0.21,7.91,16.33,5.81,73.82
(주)SNT홀딩스,036530,2020/12,-23.75,129.76,1.62,1.63,155.5,-10.91,-5.05,11.38,1.51,0.64
(주)SNT홀딩스,036530,2021/12,-16.57,-25.34,0.32,0.41,-28.17,0,0,0,0,0
(주)STX,011810,2011/12,249.17,30.76,24.6,16.98,-14.85,-43.6,47.5,28.79,-14.09,162.45
(주)STX,011810,2012/12,-4.4,-1.36,-3.53,-2.28,-71.26,27.63,3.22,-34.6,-3.19,0
(주)STX,011810,2013/12,-10.7,-53.97,0,-66.33,0,-79.37,-60.24,-145.6,-73.5,0
(주)STX,011810,2014/12,-8.1,-31.86,0,-1.48,0,-49.85,-33.27,0,-6.52,0
(주)STX,011810,2015/12,-5.96,5.48,31.74,-1.2,0,-5.9,-0.23,-22.76,0.97,0
(주)STX,011810,2016/12,-42.66,7.59,0,-40.65,0,-27.52,5.48,-556.99,-44.15,0
(주)STX,011810,2017/12,-3.79,8.87,0,-17.09,0,-4.01,4.87,0,-11.33,0
(주)STX,011810,2018/12,-3.94,-16.65,39.15,-14.15,0,4.93,-16.68,49.97,-11.71,-133.55
(주)STX,011810,2019/12,51.93,-6.92,-18.64,3.58,0,21.6,-2.12,-11.47,1.09,0
(주)STX,011810,2020/12,14.82,-36.31,-48.92,-21.58,0,113.14,-33.69,-50.05,10.26,0
