회사명,거래소코드,회계년도,통계청 한국표준산업분류 10차(대분류),[제조]총자본정상영업이익률(IFRS),[제조]자기자본순이익률(IFRS),[제조]총자본순이익률(IFRS),[제조]매출액총이익률(IFRS),[제조]금융비용부담률(IFRS),[제조]경영자본순이익률(IFRS),[제조]총자본정상영업이익률(IFRS연결),[제조]자기자본순이익률(IFRS연결),[제조]총자본순이익률(IFRS연결),[제조]매출액총이익률(IFRS연결),[제조]금융비용부담률(IFRS연결),[제조]경영자본순이익률(IFRS연결)
(주)DB하이텍,000990,2011/12,제조업,-3.14,-27.84,-7.31,17.06,9.71,-8.5,-3.34,-27.74,-7.59,16.62,9.4,-8.84
(주)DB하이텍,000990,2012/12,제조업,-1.24,-11.35,-2.75,16.6,7.9,-3.07,-1.33,-10.47,-2.66,16.38,7.81,-2.97
(주)DB하이텍,000990,2013/12,제조업,-0.85,-31.05,-6.66,18.08,11.49,-7.51,-0.87,-33.51,-7.49,18.08,11.47,-8.48
(주)DB하이텍,000990,2014/12,제조업,4.42,-34.99,-5.69,24.11,11.59,-6.58,4.46,-47.32,-7.54,24.11,11.58,-8.68
(주)DB하이텍,000990,2015/12,제조업,12.39,61.61,12.7,34.46,7.31,14.69,12.69,67.63,12.87,34.46,7.31,14.56
(주)DB하이텍,000990,2016/12,제조업,17.08,27.41,8.75,37.51,4.46,9.99,17.49,29.65,8.96,37.51,4.85,9.98
(주)DB하이텍,000990,2017/12,제조업,14.35,18.46,7.5,37.3,3.19,8.26,14.46,27.62,11.12,37.3,3.19,12.17
(주)DB하이텍,000990,2018/12,제조업,11.13,19.32,9.38,32.17,1.93,10.4,10.97,17.12,8.43,32.17,1.93,9.45
(주)DB하이텍,000990,2019/12,제조업,16.93,20.4,11.32,36.43,1.26,12.52,16.82,17.4,9.71,36.43,1.25,10.77
(주)DB하이텍,000990,2020/12,제조업,21.09,23,14.6,38.35,0.49,15.99,21.11,23.07,14.64,38.35,0.48,15.97
(주)DB하이텍,000990,2021/12,제조업,29.25,33.34,23.24,44.06,0.06,25.9,29.25,33.35,23.23,44.06,0.06,25.8
(주)HJ중공업,097230,2011/12,건설업,0.98,-6,-1.91,6.87,6.37,-2.81,1.48,-5.07,-1.33,7.85,5.92,-1.66
(주)HJ중공업,097230,2012/12,건설업,0.48,0.7,0.22,7.44,7.32,0.35,0.78,-2.95,-0.78,7.49,6.86,-0.99
(주)HJ중공업,097230,2013/12,건설업,-1.85,-11.6,-3.61,1.37,6.69,-5.66,-1.05,-11.28,-2.87,2.57,6.21,-3.51
(주)HJ중공업,097230,2014/12,건설업,-1.88,-12.66,-3.99,0.04,6.61,-6.3,-2.2,-18.64,-4.56,-0.67,6.13,-5.42
(주)HJ중공업,097230,2015/12,건설업,-1.94,-16.57,-5.15,3.38,5.71,-7.96,-1.28,-17.73,-4.21,3.56,4.7,-4.92
(주)HJ중공업,097230,2016/12,건설업,1.15,-29.31,-7.81,7.89,5.72,-11.55,-1.42,-29.53,-5.99,2.12,4.42,-6.87
(주)HJ중공업,097230,2017/12,건설업,2.4,-40.75,-8.27,11.07,4.95,-12.17,-2.47,-37.73,-5.87,0.87,4.05,-6.71
(주)HJ중공업,097230,2018/12,건설업,-2.32,0,-33.8,11.41,4.95,-44.83,1.78,0,-36.99,8.29,5.33,-43.93
(주)HJ중공업,097230,2019/12,건설업,3.17,0,-3.03,10.59,6.37,-3.52,3.22,0,11.77,10.9,6.41,14.63
