,거래소코드,시가총액,회계년도
0,005930,155842698546000,20111229
1,005380,46918890027000,20111229
2,005490,33130997300000,20111229
3,012330,28424407996000,20111229
4,000270,26934445359100,20111229
5,051910,21041074250000,20111229
6,009540,19532000000000,20111229
7,055550,18849433583250,20111229
8,015760,16402182167350,20111229
9,032830,16180000000000,20111229
10,005935,15229895809000,20111229
11,105560,14024566455900,20111229
12,096770,13130110088000,20111229
13,000660,12998166224900,20111229
14,017670,11425518106500,20111229
15,010950,11258279200000,20111229
16,033780,11175609255800,20111229
17,066570,10761797361600,20111229
18,000830,10638429728400,20111229
19,003550,10595007843400,20111229
20,035420,10154945544000,20111229
21,000810,9996090607000,20111229
22,023530,9860225473000,20111229
23,011170,9494280000000,20111229
24,030200,9308635955200,20111229
25,034220,8766484650000,20111229
26,086790,8640419074650,20111229
27,004020,8164595257500,20111229
28,028050,8060000000000,20111229
29,000720,7839445856000,20111229
30,139480,7777353501000,20111229
31,051900,7613871037500,20111229
32,053000,7600724656200,20111229
33,086280,7200000000000,20111229
34,034020,6890409701700,20111229
35,000240,6886594287250,20111229
36,024110,6825017875000,20111229
37,036570,6718147762500,20111229
38,010140,6441423269400,20111229
39,088350,6427122000000,20111229
40,090430,6149833148000,20111229
41,006400,6082038523500,20111229
42,034730,5850000000000,20111229
43,035250,5819181600000,20111229
44,009150,5803700179200,20111229
45,010130,5736480000000,20111229
46,003600,5682379252000,20111229
47,001300,5296202751000,20111229
48,010060,5234936934500,20111229
49,011780,5103338242500,20111229
50,029780,4783100859900,20111229
51,004940,4740065171100,20111229
52,078930,4710809664600,20111229
53,006360,4697100000000,20111229
54,042660,4650795419400,20111229
55,047040,4364037699000,20111229
56,068270,4229780943300,20111229
57,001800,4044178470000,20111229
58,047810,3855140481850,20111229
59,069960,3814597883000,20111229
60,032640,3809474379000,20111229
61,097950,3786340681500,20111229
62,005830,3780720000000,20111229
63,016360,3775897151000,20111229
64,060980,3752090798000,20111229
65,011210,3666541957500,20111229
66,011200,3596158047900,20111229
67,000150,3587757173000,20111229
68,052690,3539172000000,20111229
69,009830,3450974370600,20111229
70,006800,3397689266400,20111229
71,036460,3222764067000,20111229
72,003490,3130765948500,20111229
73,000210,3125040000000,20111229
74,001450,3084300000000,20111229
75,042670,3008722529400,20111229
76,002380,3003460000000,20111229
77,047050,2987084594250,20111229
78,012450,2826516000000,20111229
79,021240,2822767533600,20111229
80,010520,2819030000000,20111229
81,005387,2523890341500,20111229
82,001740,2506695234700,20111229
83,000880,2484882065250,20111229
84,006260,2447200000000,20111229
85,004990,2426329800000,20111229
86,004170,2412069345000,20111229
87,018880,2327368000000,20111229
88,010620,2240000000000,20111229
89,001040,2232388851000,20111229
90,012750,2200152406200,20111229
91,030000,2180031213750,20111229
92,138930,2136847883950,20111229
93,005940,2112090947800,20111229
94,115390,2109250000000,20111229
95,000670,2046506440000,20111229
96,002790,2034669990000,20111229
97,071050,2025639809200,20111229
98,010120,1995000000000,20111229
99,071840,1909863900800,20111229
100,004800,1882295588000,20111229
101,051600,1854000000000,20111229
102,001120,1827534000000,20111229
103,005300,1812502395000,20111229
104,007070,1782550000000,20111229
105,002350,1756024810000,20111229
106,000080,1747364507100,20111229
107,003690,1738629135000,20111229
108,139130,1729285686600,20111229
109,000120,1710925800000,20111229
110,088980,1657296705000,20111229
111,001430,1649657474000,20111229
112,035720,1614224280000,20111229
113,035760,1600442370000,20111229
114,057050,1596000000000,20111229
115,005385,1594483857000,20111229
116,120110,1584603775500,20111229
117,005440,1577927384300,20111229
118,004000,1573800000000,20111229
119,082640,1570556894000,20111229
120,008770,1511052658500,20111229
121,006280,1479124394000,20111229
122,003450,1465400000000,20111229
123,000100,1421949615000,20111229
124,117930,1418750000000,20111229
125,004370,1414214265000,20111229
126,017800,1400592946500,20111229
127,053800,1391925845000,20111229
128,064420,1391479615300,20111229
129,003240,1380616000000,20111229
130,011790,1379793900300,20111229
131,002550,1374000000000,20111229
132,011070,1366783115400,20111229
133,006120,1336039312700,20111229
134,037620,1321699824950,20111229
135,053210,1306065223600,20111229
136,078160,1271997078000,20111229
137,001230,1267397945000,20111229
138,012630,1266454224000,20111229
139,028670,1251615703680,20111229
140,046890,1224413400000,20111229
141,039490,1208855778000,20111229
142,022100,1201794573330,20111229
143,093050,1181296000000,20111229
144,020560,1180972605600,20111229
145,130960,1149265789200,20111229
146,000060,1141060000000,20111229
147,111770,1132518237000,20111229
148,114090,1125773194000,20111229
149,073240,1105524336800,20111229
150,056190,1095217180000,20111229
151,003670,1083934500000,20111229
152,004010,1042373152000,20111229
153,033630,1024018441020,20111229
154,000640,988788000000,20111229
155,060310,980434940300,20111229
156,096530,977830480000,20111229
157,095660,946728345600,20111229
158,026960,923800000000,20111229
159,097230,895751025750,20111229
160,067250,891856156800,20111229
161,036490,838540003500,20111229
162,006380,838000000000,20111229
163,082270,829821902700,20111229
164,051915,820109007500,20111229
165,082740,816625000000,20111229
166,069260,815527830600,20111229
167,031430,813960000000,20111229
168,002990,807882356250,20111229
169,108670,779290523000,20111229
170,034230,763918444800,20111229
171,028150,761250000000,20111229
172,041510,757296528000,20111229
173,077360,746566198000,20111229
174,081660,736212472800,20111229
175,103140,734236083600,20111229
176,020000,731511000000,20111229
177,071320,723671500000,20111229
