회사명,거래소코드,회계년도,자본금회전률(IFRS),유형자산회전율(IFRS),재고자산회전률(IFRS),자기자본회전률(IFRS),타인자본회전률(IFRS),총자본회전률(IFRS),자본금회전률(IFRS연결),유형자산회전율(IFRS연결),재고자산회전률(IFRS연결),자기자본회전률(IFRS연결),타인자본회전률(IFRS연결),총자본회전률(IFRS연결)
(주)DB하이텍,000990,2011/12,2.5,0.68,6.81,1.6,0.57,0.42,2.59,0.7,7.04,1.56,0.59,0.43
(주)DB하이텍,000990,2012/12,2.67,0.81,7.47,2.06,0.66,0.5,2.7,0.82,7.56,1.97,0.67,0.5
(주)DB하이텍,000990,2013/12,2.22,0.75,6.51,2.09,0.57,0.45,2.22,0.75,6.51,1.99,0.57,0.45
(주)DB하이텍,000990,2014/12,2.55,0.93,8.02,3.41,0.66,0.55,2.55,0.92,8.02,3.49,0.66,0.56
(주)DB하이텍,000990,2015/12,3,1.19,8.73,3.22,0.84,0.66,3,1.19,8.73,3.56,0.84,0.68
(주)DB하이텍,000990,2016/12,3.47,1.43,9.68,2.41,1.13,0.77,3.47,1.43,9.68,2.59,1.12,0.78
(주)DB하이텍,000990,2017/12,3.05,1.23,8.98,1.69,1.15,0.69,3.05,1.23,8.98,1.7,1.15,0.69
(주)DB하이텍,000990,2018/12,3.01,1.16,11.35,1.36,1.28,0.66,3.01,1.16,11.35,1.32,1.28,0.65
(주)DB하이텍,000990,2019/12,3.63,1.33,17.05,1.36,1.7,0.75,3.63,1.33,17.05,1.34,1.7,0.75
(주)DB하이텍,000990,2020/12,4.21,1.45,18.05,1.3,2.26,0.83,4.21,1.45,18.05,1.3,2.26,0.83
(주)DB하이텍,000990,2021/12,5.46,1.82,20.61,1.28,2.94,0.89,5.46,1.82,20.61,1.28,2.93,0.89
(주)HJ중공업,097230,2011/12,9.64,1.61,13.26,1.19,0.56,0.38,12.04,0.91,8.86,1.51,0.54,0.4
(주)HJ중공업,097230,2012/12,8.2,1.43,11.42,1.06,0.49,0.34,10.56,0.84,8.72,1.42,0.51,0.37
(주)HJ중공업,097230,2013/12,6.56,1.44,5.91,1.05,0.48,0.33,8.6,0.89,6.13,1.51,0.51,0.38
(주)HJ중공업,097230,2014/12,4.19,1.39,3.79,1.01,0.46,0.32,5.88,0.91,4.01,1.57,0.51,0.38
(주)HJ중공업,097230,2015/12,3.99,1.64,3.46,1.3,0.59,0.4,6.09,1.15,4.07,2.12,0.66,0.5
(주)HJ중공업,097230,2016/12,3.7,1.71,3.11,1.69,0.61,0.45,5.4,1.09,3.63,2.49,0.63,0.5
(주)HJ중공업,097230,2017/12,3.28,2.06,2.96,2.37,0.6,0.48,4.62,1.17,3.54,3.33,0.61,0.52
(주)HJ중공업,097230,2018/12,3.3,2.72,2.98,0,0.63,0.61,3.2,1.4,2.76,0,0.48,0.49
(주)HJ중공업,097230,2019/12,3.4,2.58,3.64,0,0.64,0.66,3.44,2.6,3.69,0,0.57,0.63
(주)HJ중공업,097230,2020/12,4.07,2.81,6.38,5.97,0.83,0.73,4.07,2.8,6.39,6,0.83,0.73
(주)HJ중공업,097230,2021/12,4.1,2.25,10.86,4.53,0.89,0.75,4.1,2.25,10.86,4.54,0.89,0.75
(주)MH에탄올,023150,2011/12,9.8,1.21,9.89,0.79,0.56,0.33,10.16,0.6,4.99,1,0.5,0.33
(주)MH에탄올,023150,2012/12,10.32,1.31,9.24,0.79,0.57,0.33,13.56,0.81,3.94,1.45,0.64,0.45
(주)MH에탄올,023150,2013/12,10.5,1.35,8.12,0.87,0.59,0.35,14.11,0.87,3.76,1.45,0.7,0.47
(주)MH에탄올,023150,2014/12,10.88,1.4,7.49,0.98,0.91,0.47,10.88,0.92,5.03,0.99,0.84,0.46
(주)MH에탄올,023150,2015/12,10.96,1.38,9.52,0.92,1.87,0.61,10.96,1.38,9.52,0.91,1.87,0.61
(주)MH에탄올,023150,2016/12,10.64,1.32,10.7,0.81,3.27,0.65,10.64,1.32,10.7,0.81,3.27,0.65
(주)MH에탄올,023150,2017/12,10.5,1.26,8.74,0.75,1.87,0.54,11.31,0.24,9.33,0.61,0.26,0.18
(주)MH에탄올,023150,2018/12,10.21,1.17,7.87,0.71,1.12,0.43,15.84,0.19,11.99,0.73,0.2,0.15
(주)MH에탄올,023150,2019/12,10.22,1.15,6.48,0.73,1.14,0.45,17.59,0.2,11,0.95,0.22,0.18
(주)MH에탄올,023150,2020/12,11.16,1.24,6.28,0.88,1.26,0.52,20.59,0.24,11.45,1.18,0.26,0.21
(주)MH에탄올,023150,2021/12,9.98,1.08,5.28,0.79,1.14,0.47,22.2,0.26,11.64,1.24,0.28,0.23
(주)SH에너지화학,002360,2011/12,3.1,5.24,20.1,2.74,4.88,1.76,3.11,5.25,20.16,2.73,4.71,1.73
(주)SH에너지화학,002360,2012/12,3.44,5.84,15.16,2.97,5.08,1.87,3.48,5.88,15.32,2.98,4.96,1.86
(주)SH에너지화학,002360,2013/12,4.12,7.12,17.57,3.41,5.91,2.16,4.16,7.15,17.73,3.45,5.82,2.17
(주)SH에너지화학,002360,2014/12,4.07,7.2,17.57,2.96,6.89,2.07,4.14,7.31,17.87,3,6.85,2.09
(주)SH에너지화학,002360,2015/12,3.84,6.71,16.9,2.46,8.73,1.92,3.88,6.79,16.78,2.46,8.59,1.91
(주)SH에너지화학,002360,2016/12,3.85,6.65,19.3,2.21,9.93,1.81,3.92,6.78,18.61,2.23,9.87,1.82
(주)SH에너지화학,002360,2017/12,3.31,5.89,12.58,1.77,9.87,1.5,3.37,5.98,11.92,1.78,9.9,1.51
(주)SH에너지화학,002360,2018/12,3.24,5.94,9.17,1.72,10.52,1.48,3.29,6.01,8.69,1.72,10.59,1.48
(주)SH에너지화학,002360,2019/12,2.48,4.38,7.52,1.37,6.81,1.14,2.53,4.45,7.22,1.38,6.79,1.15
(주)SH에너지화학,002360,2020/12,1.64,2.62,7.18,0.98,3.62,0.77,1.68,2.68,7.1,0.99,3.62,0.78
(주)SH에너지화학,002360,2021/12,2.5,3.94,13.28,1.54,5.17,1.19,2.51,3.95,12.76,1.54,5.06,1.18
(주)SIMPAC,009160,2011/12,14.71,3.79,9.02,1.47,1.61,0.77,14.81,3.22,9.05,1.37,1.62,0.74
(주)SIMPAC,009160,2012/12,15.39,3.53,8.67,1.34,1.65,0.74,15.5,3.07,8.7,1.26,1.65,0.72
(주)SIMPAC,009160,2013/12,14.06,3.18,8.04,1.09,1.45,0.62,14.15,2.79,8.07,1.04,1.45,0.6
(주)SIMPAC,009160,2014/12,15.64,3.37,7.91,1.13,1.64,0.67,18.1,2.17,7.93,1.23,1.67,0.71
(주)SIMPAC,009160,2015/12,14.66,2.91,5.28,1.01,1.55,0.61,18.53,1.54,5.56,1.19,1.52,0.67
(주)SIMPAC,009160,2016/12,14.84,2.86,4.78,0.96,1.51,0.59,18.37,1.49,5.23,1.13,1.45,0.64
(주)SIMPAC,009160,2017/12,13.97,2.79,5.36,0.9,1.58,0.57,15.86,1.31,5.41,0.96,1.45,0.58
(주)SIMPAC,009160,2018/12,11.38,2.37,3.89,0.85,1.6,0.55,12.96,1.16,4.1,0.91,1.58,0.58
(주)SIMPAC,009160,2019/12,11.98,2.53,4.51,0.94,1.93,0.63,13.15,1.39,4.34,0.98,1.77,0.63
(주)SIMPAC,009160,2020/12,8.32,1.83,3.21,0.64,1.32,0.43,11.18,1.49,3.33,0.81,1.43,0.52
(주)SIMPAC,009160,2021/12,15,3.47,4.21,1.06,1.86,0.68,18.74,2.73,4.06,1.21,1.95,0.75
(주)SNT에너지,100840,2011/12,55.14,1.59,18.73,1.19,1.93,0.74,,,,,,
(주)SNT에너지,100840,2012/12,65.13,1.88,14.06,1.34,2.05,0.81,,,,,,
(주)SNT에너지,100840,2013/12,56.67,1.65,11.41,1.05,1.8,0.66,,,,,,
(주)SNT에너지,100840,2014/12,68.53,2.02,13.66,1.2,2.31,0.79,,,,,,
(주)SNT에너지,100840,2015/12,73.43,2.18,18.29,1.18,2.86,0.84,,,,,,
(주)SNT에너지,100840,2016/12,71.73,2.15,29.08,1.1,2.5,0.77,,,,,,
(주)SNT에너지,100840,2017/12,51.97,1.57,40.44,0.79,1.99,0.57,,,,,,
(주)SNT에너지,100840,2018/12,38.8,1.2,34.81,0.6,2.4,0.48,,,,,,
(주)SNT에너지,100840,2019/12,54.8,1.75,25.65,0.85,2.99,0.66,56.84,1.73,20.9,0.87,2.4,0.64
(주)SNT에너지,100840,2020/12,61.28,1.97,28.6,0.95,2.54,0.69,63.25,1.93,29.1,0.99,2.52,0.71
(주)SNT에너지,100840,2021/12,44.08,1.42,39.43,0.69,1.92,0.51,45.58,1.39,64.3,0.7,1.96,0.52
(주)SNT홀딩스,036530,2011/12,0.29,13.3,0,0.01,4.96,0.01,217.16,1.7,6.44,1.29,2.11,0.8
(주)SNT홀딩스,036530,2012/12,1.14,69.5,0,0.02,27.33,0.02,217.8,1.69,6.01,1.27,2.12,0.79
(주)SNT홀딩스,036530,2013/12,1.15,113.99,0,0.02,21.08,0.02,205.75,1.6,5.33,1.17,2.06,0.75
(주)SNT홀딩스,036530,2014/12,1.01,118.47,0,0.02,17.79,0.02,202.61,1.62,5.22,1.14,2.13,0.74
(주)SNT홀딩스,036530,2015/12,1.09,129.66,0,0.02,1.88,0.02,207.47,1.73,5.84,1.12,2.44,0.77
