"계정항목별",2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"농림어업",30571.2,30419.7,31696.7,33307.4,33225.2,31353.2,32059.8,32109.2,33373.0,31441.7,32634.3,32222.4
"광업",2345.5,2260.4,2355.9,2362.7,2144.8,2296.0,2204.5,2041.6,1915.7,1853.4,1879.5,1775.3
"제조업",402281.8,407959.9,420493.0,433853.5,441133.5,451294.2,468070.3,483530.2,488934.6,483691.2,517024.8,524086.3
"전기, 가스 및 수도사업",39822.6,40543.0,39510.3,40510.8,41760.4,41262.6,43813.8,43082.6,44927.6,46762.2,48610.4,49529.6
"건설업",72504.5,72170.1,75294.0,76415.0,81174.2,89140.0,94368.5,91740.9,89365.5,88192.7,85901.7,86119.3
"서비스업",809610.3,836807.1,866807.8,894040.6,921469.8,948419.1,973106.4,1010422.7,1044553.5,1036168.9,1075381.7,1120151.3
"도소매업",108055.6,112770.9,118044.4,118923.2,123433.2,126131.9,129378.0,132619.9,137252.2,135437.4,140879.5,146049.0
"숙박 및 음식점업",35628.9,35912.7,35574.9,36272.3,36912.4,38572.5,38389.5,39925.7,41357.9,33905.9,34270.0,40498.4
"전문, 과학 및 기술관련 서비스업",77812.6,80317.4,84388.6,88784.9,93214.8,94383.5,94866.4,98049.9,99977.7,102235.5,105130.5,107744.0
"사업지원 서비스업",38967.6,40358.6,43756.0,46413.9,48703.9,50693.5,53097.1,55584.3,57646.0,55403.4,56907.3,58307.4
"예술, 스포츠 및 여가관련 서비스업",20061.6,19653.8,19437.5,18862.5,17897.3,18587.8,18616.5,20533.4,21676.6,15897.1,16806.7,20158.7
"총부가가치(기초가격)",1356275.9,1389383.9,1436067.6,1480546.7,1520907.9,1563765.1,1613713.1,1663057.0,1702670.7,1687359.0,1759054.0,1811860.5
"순생산물세",122815.1,125268.0,126634.0,132172.6,137112.5,143115.2,147105.4,149011.6,150146.3,152185.4,156836.6,153667.3
"국내총생산(시장가격, GDP)",1479198.4,1514736.6,1562673.6,1612717.5,1658020.4,1706880.3,1760811.5,1812005.4,1852666.4,1839523.3,1915777.5,1964831.7
"교역조건 변화를 반영한 실질무역손익",-73729.9,-74211.9,-60678.4,-55903.9,0.0,23569.7,25915.5,3009.2,-39420.2,-25611.8,-44730.4,-115648.1
"국내총소득(GDI)",1405468.5,1440524.7,1501995.2,1556813.6,1658020.4,1730450.0,1786727.1,1815014.6,1813246.2,1813911.5,1871047.0,1849183.5
"국외순수취요소소득",8815.3,15346.1,9700.8,7626.3,5186.2,6177.2,7084.6,7105.6,15242.3,15648.6,20784.9,24023.4
"국민총소득(GNI)",1414273.4,1455657.3,1511625.6,1564406.6,1663206.6,1736627.2,1793818.4,1822153.4,1828546.7,1829580.0,1891893.2,1873275.2
