"계정항목별",2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"농림어업",30571.2,30419.7,31696.7,33307.4,33225.2,31353.2,32059.8,32109.2,33373.0,31441.7,32634.3,32222.4
"재배업",18783.3,18631.6,19937.3,20998.0,21003.6,19957.9,20858.7,20008.1,20666.8,18897.0,19793.9,19445.2
"축산업",6306.1,6791.5,7045.0,6765.6,6823.2,6778.8,6356.3,6989.2,7563.2,7644.8,7625.0,7744.1
"임업",2559.4,2325.3,2222.6,2608.9,2515.2,2295.0,2380.9,2428.1,2434.6,2366.0,2363.9,2372.9
"어업",3071.6,2968.4,2750.4,2929.2,2883.1,2321.5,2461.8,2509.7,2591.3,2571.5,2766.9,2592.2
"광업",2345.5,2260.4,2355.9,2362.7,2144.8,2296.0,2204.5,2041.6,1915.7,1853.4,1879.5,1775.3
"제조업",402281.8,407959.9,420493.0,433853.5,441133.5,451294.2,468070.3,483530.2,488934.6,483691.2,517024.8,524086.3
"음식료품 제조업",17213.1,18240.6,19421.1,19542.7,20344.4,20281.3,21066.7,21678.6,22501.6,23080.3,23502.6,23829.6
"섬유 및 가죽제품 제조업",16721.9,18077.1,18521.5,18611.6,17292.2,15003.7,15288.4,14503.3,13293.9,12448.1,12469.3,12037.4
"목재, 종이, 인쇄 및 복제업",12627.8,12618.5,12594.1,13039.4,13171.0,14289.5,13676.6,13890.6,13732.8,13633.6,13966.1,13343.5
"코크스 및 석유정제품 제조업",14428.6,13408.8,13388.9,14078.7,14311.8,15574.8,15544.1,14667.3,13798.4,12102.4,12153.9,12412.4
"화학물질 및 화학제품 제조업",64950.6,64521.4,66961.5,68112.3,70966.1,71317.0,73716.5,75565.3,74871.2,74658.7,78879.4,75974.9
"비금속광물제품 제조업",11491.6,11165.2,11800.0,11787.0,12376.8,12908.7,14247.6,14190.3,13502.9,12933.3,13843.5,13393.9
"1차금속 제조업",25867.0,24860.7,25260.1,26578.2,26838.6,27151.9,27932.0,26880.4,26643.7,25755.4,27207.2,25658.3
