,회사명,거래소코드,회계년도,통계청 한국표준산업분류 코드 10차(대분류),통계청 한국표준산업분류 10차(중분류),부가가치변동
0,(주)CMG제약,58820,2011/12,21,의료용 물질 및 의약품 제조업,
1,(주)CMG제약,58820,2012/12,21,의료용 물질 및 의약품 제조업,-102.39940042242965
2,(주)CMG제약,58820,2013/12,21,의료용 물질 및 의약품 제조업,-7996.501590186279
3,(주)CMG제약,58820,2014/12,21,의료용 물질 및 의약품 제조업,1.6248374587173986
4,(주)CMG제약,58820,2015/12,21,의료용 물질 및 의약품 제조업,-38.899142821555145
5,(주)CMG제약,58820,2016/12,21,의료용 물질 및 의약품 제조업,143.67262787249814
6,(주)CMG제약,58820,2017/12,21,의료용 물질 및 의약품 제조업,30.33741298962054
7,(주)CMG제약,58820,2018/12,21,의료용 물질 및 의약품 제조업,22.885760112501742
8,(주)CMG제약,58820,2019/12,21,의료용 물질 및 의약품 제조업,12.972729134330297
9,(주)CMG제약,58820,2020/12,21,의료용 물질 및 의약품 제조업,-10.579118122233455
10,(주)CMG제약,58820,2021/12,21,의료용 물질 및 의약품 제조업,13.363749067257347
11,(주)CMG제약,58820,2022/12,21,의료용 물질 및 의약품 제조업,-17.420443584771974
12,(주)DB하이텍,990,2011/12,26,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",
13,(주)DB하이텍,990,2012/12,26,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",11.47292936371096
14,(주)DB하이텍,990,2013/12,26,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",-17.895583212252063
15,(주)DB하이텍,990,2014/12,26,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4.6057095998162545
16,(주)DB하이텍,990,2015/12,26,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",84.23740923567816
17,(주)DB하이텍,990,2016/12,26,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",-12.061850599131718
18,(주)DB하이텍,990,2017/12,26,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",-12.995054069799039
19,(주)DB하이텍,990,2018/12,26,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",8.132449833425714
20,(주)DB하이텍,990,2019/12,26,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",24.693464376954143
21,(주)DB하이텍,990,2020/12,26,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",22.24329819366202
22,(주)DB하이텍,990,2021/12,26,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",54.20694500278513
