회사명,거래소코드,회계년도,부가가치(IFRS연결)(백만원),부가가치율(IFRS연결),부가가치(IFRS)(백만원),부가가치율(IFRS),통계청 한국표준산업분류 코드 10차(대분류),통계청 한국표준산업분류 10차(대분류),통계청 한국표준산업분류 10차(중분류)
(주)CMG제약,058820,2011/12,3472.17,19.56,3669.25,20.67,21,제조업,의료용 물질 및 의약품 제조업
(주)CMG제약,058820,2012/12,269.31,1.66,-88.04,-0.54,21,제조업,의료용 물질 및 의약품 제조업
(주)CMG제약,058820,2013/12,6994.9,34.29,6952.08,34.21,21,제조업,의료용 물질 및 의약품 제조업
(주)CMG제약,058820,2014/12,7061.34,31.04,7065.04,31.05,21,제조업,의료용 물질 및 의약품 제조업
(주)CMG제약,058820,2015/12,4315.37,15.96,4316.8,15.96,21,제조업,의료용 물질 및 의약품 제조업
(주)CMG제약,058820,2016/12,10518.86,31.9,10518.86,31.9,21,제조업,의료용 물질 및 의약품 제조업
(주)CMG제약,058820,2017/12,13710.01,33.01,13710.01,33.01,21,제조업,의료용 물질 및 의약품 제조업
(주)CMG제약,058820,2018/12,16847.65,33.79,16847.65,33.79,21,제조업,의료용 물질 및 의약품 제조업
(주)CMG제약,058820,2019/12,19033.25,32.47,19033.25,32.47,21,제조업,의료용 물질 및 의약품 제조업
(주)CMG제약,058820,2020/12,,,17019.7,26.4,21,제조업,의료용 물질 및 의약품 제조업
(주)CMG제약,058820,2021/12,,,19294.17,27.77,21,제조업,의료용 물질 및 의약품 제조업
(주)CMG제약,058820,2022/12,,,15933.04,19.38,21,제조업,의료용 물질 및 의약품 제조업
(주)DB하이텍,000990,2011/12,217837.57,39.45,216914,40.6,26,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
(주)DB하이텍,000990,2012/12,245655.23,41.58,241800.39,41.41,26,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
(주)DB하이텍,000990,2013/12,191554.48,38.8,198528.8,40.21,26,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
(주)DB하이텍,000990,2014/12,187341.51,33,207672.46,36.58,26,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
(주)DB하이텍,000990,2015/12,386127.3,57.93,382610.36,57.4,26,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
(주)DB하이텍,000990,2016/12,341049.1,44.11,336460.47,43.52,26,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
(주)DB하이텍,000990,2017/12,329388.04,48.46,292737.25,43.07,26,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
(주)DB하이텍,000990,2018/12,309084.25,46.18,316543.96,47.3,26,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
(주)DB하이텍,000990,2019/12,379212.5,46.97,394709.63,48.89,26,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
(주)DB하이텍,000990,2020/12,483956.34,51.71,482506.07,51.55,26,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
(주)DB하이텍,000990,2021/12,744906.75,61.33,744057.87,61.26,26,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
(주)DB하이텍,000990,2022/12,1068759.34,63.8,1067662.72,63.73,26,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
(주)ES큐브,050120,2011/12,12044.17,22.56,7961.63,19.09,46,도매 및 소매업,도매 및 상품 중개업
(주)ES큐브,050120,2012/12,17991.74,32.14,11617.33,26.3,46,도매 및 소매업,도매 및 상품 중개업
(주)ES큐브,050120,2013/12,1434.39,2.45,-5722.54,-12.49,46,도매 및 소매업,도매 및 상품 중개업
(주)ES큐브,050120,2014/12,5773,12.98,1481.4,3.98,46,도매 및 소매업,도매 및 상품 중개업
(주)ES큐브,050120,2015/12,2670.29,6.33,6263.14,16.98,46,도매 및 소매업,도매 및 상품 중개업
