회사명,거래소코드,회계년도,통계청 한국표준산업분류 코드 10차(대분류),통계청 한국표준산업분류 10차(대분류),통계청 한국표준산업분류 10차(중분류)
(주)CMG제약,058820,2011/12,21,제조업,의료용 물질 및 의약품 제조업
(주)CMG제약,058820,2012/12,21,제조업,의료용 물질 및 의약품 제조업
(주)CMG제약,058820,2013/12,21,제조업,의료용 물질 및 의약품 제조업
(주)CMG제약,058820,2014/12,21,제조업,의료용 물질 및 의약품 제조업
(주)CMG제약,058820,2015/12,21,제조업,의료용 물질 및 의약품 제조업
(주)CMG제약,058820,2016/12,21,제조업,의료용 물질 및 의약품 제조업
(주)CMG제약,058820,2017/12,21,제조업,의료용 물질 및 의약품 제조업
(주)CMG제약,058820,2018/12,21,제조업,의료용 물질 및 의약품 제조업
(주)CMG제약,058820,2019/12,21,제조업,의료용 물질 및 의약품 제조업
(주)CMG제약,058820,2020/12,21,제조업,의료용 물질 및 의약품 제조업
(주)CMG제약,058820,2021/12,21,제조업,의료용 물질 및 의약품 제조업
(주)CMG제약,058820,2022/12,21,제조업,의료용 물질 및 의약품 제조업
(주)DB하이텍,000990,2011/12,26,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
(주)DB하이텍,000990,2012/12,26,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
(주)DB하이텍,000990,2013/12,26,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
(주)DB하이텍,000990,2014/12,26,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
(주)DB하이텍,000990,2015/12,26,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
(주)DB하이텍,000990,2016/12,26,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
(주)DB하이텍,000990,2017/12,26,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
(주)DB하이텍,000990,2018/12,26,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
(주)DB하이텍,000990,2019/12,26,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
(주)DB하이텍,000990,2020/12,26,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
(주)DB하이텍,000990,2021/12,26,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
(주)DB하이텍,000990,2022/12,26,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
(주)ES큐브,050120,2011/12,46,도매 및 소매업,도매 및 상품 중개업
(주)ES큐브,050120,2012/12,46,도매 및 소매업,도매 및 상품 중개업
(주)ES큐브,050120,2013/12,46,도매 및 소매업,도매 및 상품 중개업
(주)ES큐브,050120,2014/12,46,도매 및 소매업,도매 및 상품 중개업
(주)ES큐브,050120,2015/12,46,도매 및 소매업,도매 및 상품 중개업
(주)ES큐브,050120,2016/12,46,도매 및 소매업,도매 및 상품 중개업
(주)ES큐브,050120,2017/12,46,도매 및 소매업,도매 및 상품 중개업
(주)ES큐브,050120,2018/12,46,도매 및 소매업,도매 및 상품 중개업
(주)ES큐브,050120,2019/12,46,도매 및 소매업,도매 및 상품 중개업
(주)ES큐브,050120,2020/12,46,도매 및 소매업,도매 및 상품 중개업
(주)ES큐브,050120,2021/12,46,도매 및 소매업,도매 및 상품 중개업
(주)ES큐브,050120,2022/12,46,도매 및 소매업,도매 및 상품 중개업
(주)HJ중공업,097230,2011/12,41,건설업,종합 건설업
(주)HJ중공업,097230,2012/12,41,건설업,종합 건설업
(주)HJ중공업,097230,2013/12,41,건설업,종합 건설업
(주)HJ중공업,097230,2014/12,41,건설업,종합 건설업
(주)HJ중공업,097230,2015/12,41,건설업,종합 건설업
(주)HJ중공업,097230,2016/12,41,건설업,종합 건설업
(주)HJ중공업,097230,2017/12,41,건설업,종합 건설업
(주)HJ중공업,097230,2018/12,41,건설업,종합 건설업
(주)HJ중공업,097230,2019/12,41,건설업,종합 건설업
(주)HJ중공업,097230,2020/12,41,건설업,종합 건설업
(주)HJ중공업,097230,2021/12,41,건설업,종합 건설업
(주)HJ중공업,097230,2022/12,41,건설업,종합 건설업
(주)MH에탄올,023150,2011/12,11,제조업,음료 제조업
(주)MH에탄올,023150,2012/12,11,제조업,음료 제조업
(주)MH에탄올,023150,2013/12,11,제조업,음료 제조업
(주)MH에탄올,023150,2014/12,11,제조업,음료 제조업
(주)MH에탄올,023150,2015/12,11,제조업,음료 제조업
(주)MH에탄올,023150,2016/12,11,제조업,음료 제조업
(주)MH에탄올,023150,2017/12,11,제조업,음료 제조업
(주)MH에탄올,023150,2018/12,11,제조업,음료 제조업
(주)MH에탄올,023150,2019/12,11,제조업,음료 제조업
(주)MH에탄올,023150,2020/12,11,제조업,음료 제조업
(주)MH에탄올,023150,2021/12,11,제조업,음료 제조업
(주)MH에탄올,023150,2022/12,11,제조업,음료 제조업
(주)SH에너지화학,002360,2011/12,20,제조업,화학물질 및 화학제품 제조업; 의약품 제외
(주)SH에너지화학,002360,2012/12,20,제조업,화학물질 및 화학제품 제조업; 의약품 제외
(주)SH에너지화학,002360,2013/12,20,제조업,화학물질 및 화학제품 제조업; 의약품 제외
(주)SH에너지화학,002360,2014/12,20,제조업,화학물질 및 화학제품 제조업; 의약품 제외
(주)SH에너지화학,002360,2015/12,20,제조업,화학물질 및 화학제품 제조업; 의약품 제외
(주)SH에너지화학,002360,2016/12,20,제조업,화학물질 및 화학제품 제조업; 의약품 제외
(주)SH에너지화학,002360,2017/12,20,제조업,화학물질 및 화학제품 제조업; 의약품 제외
(주)SH에너지화학,002360,2018/12,20,제조업,화학물질 및 화학제품 제조업; 의약품 제외
(주)SH에너지화학,002360,2019/12,20,제조업,화학물질 및 화학제품 제조업; 의약품 제외
(주)SH에너지화학,002360,2020/12,20,제조업,화학물질 및 화학제품 제조업; 의약품 제외
(주)SH에너지화학,002360,2021/12,20,제조업,화학물질 및 화학제품 제조업; 의약품 제외
(주)SH에너지화학,002360,2022/12,20,제조업,화학물질 및 화학제품 제조업; 의약품 제외
(주)SIMPAC,009160,2011/12,24,제조업,1차 금속 제조업
(주)SIMPAC,009160,2012/12,24,제조업,1차 금속 제조업
(주)SIMPAC,009160,2013/12,24,제조업,1차 금속 제조업
(주)SIMPAC,009160,2014/12,24,제조업,1차 금속 제조업
(주)SIMPAC,009160,2015/12,24,제조업,1차 금속 제조업
(주)SIMPAC,009160,2016/12,24,제조업,1차 금속 제조업
(주)SIMPAC,009160,2017/12,24,제조업,1차 금속 제조업
(주)SIMPAC,009160,2018/12,24,제조업,1차 금속 제조업
(주)SIMPAC,009160,2019/12,24,제조업,1차 금속 제조업
(주)SIMPAC,009160,2020/12,24,제조업,1차 금속 제조업
(주)SIMPAC,009160,2021/12,24,제조업,1차 금속 제조업
(주)SIMPAC,009160,2022/12,24,제조업,1차 금속 제조업
(주)SNT에너지,100840,2011/12,29,제조업,기타 기계 및 장비 제조업
(주)SNT에너지,100840,2012/12,29,제조업,기타 기계 및 장비 제조업
(주)SNT에너지,100840,2013/12,29,제조업,기타 기계 및 장비 제조업
(주)SNT에너지,100840,2014/12,29,제조업,기타 기계 및 장비 제조업
(주)SNT에너지,100840,2015/12,29,제조업,기타 기계 및 장비 제조업
(주)SNT에너지,100840,2016/12,29,제조업,기타 기계 및 장비 제조업
(주)SNT에너지,100840,2017/12,29,제조업,기타 기계 및 장비 제조업
(주)SNT에너지,100840,2018/12,29,제조업,기타 기계 및 장비 제조업
(주)SNT에너지,100840,2019/12,29,제조업,기타 기계 및 장비 제조업
(주)SNT에너지,100840,2020/12,29,제조업,기타 기계 및 장비 제조업
(주)SNT에너지,100840,2021/12,29,제조업,기타 기계 및 장비 제조업
(주)SNT에너지,100840,2022/12,29,제조업,기타 기계 및 장비 제조업
(주)SNT홀딩스,036530,2011/12,71,"전문, 과학 및 기술 서비스업",전문 서비스업
(주)SNT홀딩스,036530,2012/12,71,"전문, 과학 및 기술 서비스업",전문 서비스업
(주)SNT홀딩스,036530,2013/12,71,"전문, 과학 및 기술 서비스업",전문 서비스업
(주)SNT홀딩스,036530,2014/12,71,"전문, 과학 및 기술 서비스업",전문 서비스업
(주)SNT홀딩스,036530,2015/12,71,"전문, 과학 및 기술 서비스업",전문 서비스업
(주)SNT홀딩스,036530,2016/12,71,"전문, 과학 및 기술 서비스업",전문 서비스업
(주)SNT홀딩스,036530,2017/12,71,"전문, 과학 및 기술 서비스업",전문 서비스업
(주)SNT홀딩스,036530,2018/12,71,"전문, 과학 및 기술 서비스업",전문 서비스업
(주)SNT홀딩스,036530,2019/12,71,"전문, 과학 및 기술 서비스업",전문 서비스업
(주)SNT홀딩스,036530,2020/12,71,"전문, 과학 및 기술 서비스업",전문 서비스업
(주)SNT홀딩스,036530,2021/12,71,"전문, 과학 및 기술 서비스업",전문 서비스업
