,회사명,거래소코드,회계년도,내수변화,수출변화,생산변화
0,(주)CMG제약,58820,2011/12,+,+,+
8,(주)CMG제약,58820,2012/12,+,-,+
12,(주)CMG제약,58820,2013/12,+,+,+
20,(주)CMG제약,58820,2014/12,+,-,+
58,(주)CMG제약,58820,2015/12,+,-,+
94,(주)CMG제약,58820,2016/12,+,+,+
133,(주)CMG제약,58820,2017/12,+,-,+
166,(주)CMG제약,58820,2018/12,+,+,+
202,(주)CMG제약,58820,2019/12,+,-,+
209,(주)CMG제약,58820,2020/12,+,+,+
214,(주)CMG제약,58820,2021/12,+,-,+
221,(주)ES큐브,50120,2011/12,0,0,0
225,(주)ES큐브,50120,2012/12,+,+,+
227,(주)ES큐브,50120,2013/12,-,-,-
229,(주)ES큐브,50120,2014/12,-,+,-
235,(주)ES큐브,50120,2015/12,-,+,-
241,(주)ES큐브,50120,2016/12,-,+,-
251,(주)ES큐브,50120,2017/12,-,+,-
257,(주)ES큐브,50120,2018/12,-,-,-
260,(주)ES큐브,50120,2019/12,-,-,-
267,(주)ES큐브,50120,2020/12,0,0,0
273,(주)ES큐브,50120,2021/12,0,0,0
277,(주)가비아,79940,2011/12,0,0,0
285,(주)가비아,79940,2012/12,+,0,+
288,(주)가비아,79940,2013/12,+,+,+
293,(주)가비아,79940,2014/12,-,-,-
300,(주)가비아,79940,2015/12,0,0,0
304,(주)가비아,79940,2016/12,+,+,+
305,(주)가비아,79940,2017/12,+,+,+
307,(주)가비아,79940,2018/12,-,-,-
318,(주)가비아,79940,2019/12,0,0,0
322,(주)가비아,79940,2020/12,0,0,0
327,(주)가비아,79940,2021/12,+,+,+
337,(주)강스템바이오텍,217730,2015/12,0,0,0
346,(주)강스템바이오텍,217730,2016/12,-,+,-
383,(주)강스템바이오텍,217730,2017/12,+,+,+
391,(주)강스템바이오텍,217730,2018/12,+,-,+
396,(주)강스템바이오텍,217730,2019/12,-,0,-
405,(주)강스템바이오텍,217730,2020/12,+,0,+
415,(주)강스템바이오텍,217730,2021/12,+,+,+
416,(주)강원에너지,114190,2011/11,0,0,0
425,(주)강원에너지,114190,2012/12,+,+,+
428,(주)강원에너지,114190,2013/12,-,-,-
431,(주)강원에너지,114190,2014/12,+,-,+
440,(주)강원에너지,114190,2015/12,-,-,-
441,(주)강원에너지,114190,2016/12,-,+,-
446,(주)강원에너지,114190,2017/12,+,+,+
473,(주)강원에너지,114190,2018/12,+,-,+
497,(주)강원에너지,114190,2019/12,-,-,-
522,(주)강원에너지,114190,2020/12,-,-,-
528,(주)강원에너지,114190,2021/12,+,-,+
535,(주)고려시멘트,198440,2017/12,0,0,0
540,(주)고려시멘트,198440,2018/12,-,0,-
542,(주)고려시멘트,198440,2019/12,-,0,-
547,(주)고려시멘트,198440,2020/12,-,0,-
549,(주)고려시멘트,198440,2021/12,-,0,-
576,(주)고바이오랩,348150,2020/12,0,0,0
597,(주)고바이오랩,348150,2021/12,-,+,-
606,(주)고영테크놀러지,98460,2011/12,0,0,0
611,(주)고영테크놀러지,98460,2012/12,+,+,+
618,(주)고영테크놀러지,98460,2013/12,+,-,+
620,(주)고영테크놀러지,98460,2014/12,-,+,+
627,(주)고영테크놀러지,98460,2015/12,-,+,+
634,(주)고영테크놀러지,98460,2019/12,-,-,-
639,(주)고영테크놀러지,98460,2020/12,0,0,0
643,(주)고영테크놀러지,98460,2021/12,0,0,0
644,(주)골드앤에스,35290,2011/12,0,0,0
654,(주)골드앤에스,35290,2012/12,-,0,-
662,(주)골드앤에스,35290,2013/12,-,0,-
666,(주)골드앤에스,35290,2014/12,+,+,+
675,(주)골드앤에스,35290,2015/12,-,+,-
683,(주)골드앤에스,35290,2016/12,-,-,-
692,(주)골드앤에스,35290,2017/12,-,-,-
700,(주)골드앤에스,35290,2018/12,-,+,-
711,(주)골드앤에스,35290,2019/12,-,+,-
719,(주)골드앤에스,35290,2020/12,-,-,-
727,(주)골드앤에스,35290,2021/12,+,-,+
